Year,GeoAreaName,Value
2021,Albania,NaN
2021,Azerbaijan,NaN
2021,Austria,NaN
2021,Armenia,NaN
2021,Belgium,NaN
2021,Bosnia and Herzegovina,NaN
2021,Bulgaria,NaN
2021,Belarus,100
2021,Croatia,NaN
2021,Cyprus,NaN
2021,Czechia,NaN
2020,Denmark,100
2021,Estonia,NaN
2021,Finland,NaN
2017,France,100
2021,Georgia,60
2021,Germany,100
2021,Greece,NaN
2021,Hungary,100
2021,Iceland,NaN
2021,Ireland,NaN
2021,Italy,NaN
2021,Kazakhstan,NaN
2021,Kyrgyzstan,NaN
2021,Latvia,NaN
2021,Liechtenstein,NaN
2021,Lithuania,NaN
2021,Luxembourg,NaN
2021,Malta,NaN
2021,Republic of Moldova,NaN
2021,Montenegro,NaN
2021,Netherlands,NaN
2021,Norway,NaN
2021,Poland,NaN
2021,Portugal,NaN
2021,Romania,NaN
2021,Serbia,NaN
2021,Slovakia,NaN
2021,Slovenia,NaN
2021,Spain,NaN
2020,Sweden,100
2021,Switzerland,100
2021,Tajikistan,NaN
2021,Türkiye,NaN
2021,Turkmenistan,NaN
2021,Ukraine,87
2021,North Macedonia,NaN
2021,Uzbekistan,NaN
2021,Uzbekistan,NaN
