Year,GeoAreaName,Value
2005,Belarus,0.59107
2006,Belarus,0.42338
2007,Belarus,0.82927
2008,Belarus,1.98377
2009,Belarus,2.4675
2010,Belarus,0.72003
2011,Belarus,2.09149
2012,Belarus,0.84645
2013,Belarus,2.42865
2000,Albania,12.30489
2001,Albania,40.10598
2002,Albania,16.80937
2003,Albania,17.92974
2004,Albania,11.7774
2005,Albania,12.0842
2006,Albania,12.56529
2007,Albania,12.57246
2008,Albania,12.58622
2000,Serbia,24.04334
2001,Serbia,19.92147
2002,Serbia,5.8956
2003,Serbia,6.96581
2004,Serbia,16.87047
2005,Serbia,10.69829
2006,Serbia,13.28432
2007,Serbia,14.31467
2008,Serbia,21.31639
2009,Albania,19.55027
2010,Albania,14.77644
2011,Albania,14.12755
2012,Albania,14.4988
2013,Albania,12.12337
2014,Albania,15.10063
2015,Albania,42.49713
2016,Albania,24.59517
2017,Albania,23.41968
2009,Serbia,74.46116
2010,Serbia,28.36215
2011,Serbia,84.90734
2012,Serbia,29.56662
2013,Serbia,90.83333
2014,Serbia,26.68658
2015,Serbia,20.72739
2016,Serbia,6.99256
2017,Serbia,3.65707
2018,Albania,35.49435
2019,Albania,29.64498
2020,Albania,30.39862
2000,Azerbaijan,78.29432
2001,Azerbaijan,24.84125
2002,Azerbaijan,19.41847
2003,Azerbaijan,17.39161
2004,Azerbaijan,20.04119
2005,Azerbaijan,24.65681
2018,Serbia,39.32813
2019,Serbia,53.86758
2020,Serbia,52.10769
2000,Slovenia,0.00307
2001,Slovenia,10.07342
2002,Slovenia,0.23998
2000,Tajikistan,24.43419
2001,Tajikistan,25.7149
2002,Tajikistan,37.62625
2014,Belarus,1.55059
2015,Belarus,2.14973
2016,Belarus,8.32809
2017,Belarus,25.71132
2018,Belarus,17.99726
2019,Belarus,5.5224
2020,Belarus,122.33277
2000,Croatia,20.39804
2001,Croatia,39.96844
2006,Azerbaijan,16.11454
2007,Azerbaijan,22.11732
2008,Azerbaijan,24.03268
2009,Azerbaijan,28.88008
2010,Azerbaijan,17.20642
2011,Azerbaijan,9.07161
2012,Azerbaijan,18.74157
2013,Azerbaijan,25.61741
2014,Azerbaijan,38.37748
2003,Tajikistan,8.6068
2004,Tajikistan,18.55982
2005,Tajikistan,20.61745
2006,Tajikistan,15.43907
