Year,GeoAreaName,Age,Sex,Value
2000,Albania,<1Y,BOTHSEX,1355
2000,Albania,<1Y,MALE,812
2000,Albania,<1Y,FEMALE,543
2001,Albania,<1Y,FEMALE,481
2001,Albania,<1Y,MALE,729
2001,Albania,<1Y,BOTHSEX,1210
2002,Albania,<1Y,BOTHSEX,1071
2002,Albania,<1Y,MALE,648
2002,Albania,<1Y,FEMALE,423
2003,Albania,<1Y,FEMALE,373
2003,Albania,<1Y,MALE,580
2003,Albania,<1Y,BOTHSEX,953
2004,Albania,<1Y,BOTHSEX,848
2004,Albania,<1Y,MALE,518
2004,Albania,<1Y,FEMALE,330
2005,Albania,<1Y,FEMALE,288
2005,Albania,<1Y,MALE,455
2005,Albania,<1Y,BOTHSEX,743
2006,Albania,<1Y,BOTHSEX,646
2006,Albania,<1Y,MALE,395
2006,Albania,<1Y,FEMALE,251
2007,Albania,<1Y,MALE,343
2007,Albania,<1Y,FEMALE,222
2007,Albania,<1Y,BOTHSEX,565
2008,Albania,<1Y,BOTHSEX,502
2008,Albania,<1Y,MALE,303
2008,Albania,<1Y,FEMALE,199
2009,Albania,<1Y,MALE,270
2009,Albania,<1Y,FEMALE,183
2009,Albania,<1Y,BOTHSEX,453
2010,Albania,<1Y,FEMALE,169
2010,Albania,<1Y,MALE,244
2010,Albania,<1Y,BOTHSEX,413
2011,Albania,<1Y,BOTHSEX,379
2011,Albania,<1Y,MALE,222
2011,Albania,<1Y,FEMALE,157
2012,Albania,<1Y,FEMALE,147
2012,Albania,<1Y,MALE,205
2012,Albania,<1Y,BOTHSEX,352
2013,Albania,<1Y,BOTHSEX,330
2013,Albania,<1Y,MALE,191
2013,Albania,<1Y,FEMALE,139
2014,Albania,<1Y,FEMALE,132
2014,Albania,<1Y,MALE,179
2014,Albania,<1Y,BOTHSEX,311
2015,Albania,<1Y,BOTHSEX,293
2015,Albania,<1Y,MALE,168
2015,Albania,<1Y,FEMALE,125
2016,Albania,<1Y,FEMALE,119
2016,Albania,<1Y,MALE,158
2016,Albania,<1Y,BOTHSEX,277
2017,Albania,<1Y,BOTHSEX,265
2017,Albania,<1Y,FEMALE,114
2017,Albania,<1Y,MALE,151
2018,Albania,<1Y,MALE,146
2018,Albania,<1Y,FEMALE,110
2018,Albania,<1Y,BOTHSEX,256
2019,Albania,<1Y,FEMALE,108
2019,Albania,<1Y,BOTHSEX,250
2019,Albania,<1Y,MALE,142
2001,Iceland,<1Y,MALE,7
2002,Iceland,<1Y,BOTHSEX,12
2002,Iceland,<1Y,FEMALE,5
2002,Iceland,<1Y,MALE,7
2003,Iceland,<1Y,MALE,6
2003,Iceland,<1Y,BOTHSEX,11
2003,Iceland,<1Y,FEMALE,5
2004,Iceland,<1Y,MALE,6
2004,Iceland,<1Y,FEMALE,5
2004,Iceland,<1Y,BOTHSEX,11
2005,Iceland,<1Y,FEMALE,5
2005,Iceland,<1Y,MALE,5
2020,Albania,<1Y,MALE,142
2020,Albania,<1Y,BOTHSEX,249
2020,Albania,<1Y,FEMALE,107
2021,Albania,<1Y,FEMALE,107
2021,Albania,<1Y,BOTHSEX,247
2021,Albania,<1Y,MALE,140
2000,Azerbaijan,<1Y,MALE,4936
2000,Azerbaijan,<1Y,FEMALE,3673
2000,Azerbaijan,<1Y,BOTHSEX,8609
2001,Azerbaijan,<1Y,BOTHSEX,7868
2001,Azerbaijan,<1Y,FEMALE,3338
2001,Azerbaijan,<1Y,MALE,4530
2000,Croatia,<1Y,BOTHSEX,330
2000,Croatia,<1Y,MALE,185
2000,Croatia,<1Y,FEMALE,145
2001,Croatia,<1Y,MALE,173
2001,Croatia,<1Y,FEMALE,136
2001,Croatia,<1Y,BOTHSEX,309
2002,Croatia,<1Y,BOTHSEX,290
2002,Croatia,<1Y,FEMALE,128
2002,Croatia,<1Y,MALE,162
2003,Croatia,<1Y,MALE,151
2003,Croatia,<1Y,BOTHSEX,271
2003,Croatia,<1Y,FEMALE,120
2005,Iceland,<1Y,BOTHSEX,10
2006,Iceland,<1Y,BOTHSEX,10
2006,Iceland,<1Y,MALE,5
2006,Iceland,<1Y,FEMALE,5
2007,Iceland,<1Y,FEMALE,4
2007,Iceland,<1Y,MALE,6
2007,Iceland,<1Y,BOTHSEX,10
2008,Iceland,<1Y,BOTHSEX,10
2008,Iceland,<1Y,MALE,5
2008,Iceland,<1Y,FEMALE,5
2009,Iceland,<1Y,FEMALE,5
2009,Iceland,<1Y,MALE,6
2004,Croatia,<1Y,BOTHSEX,258
2004,Croatia,<1Y,FEMALE,115
2004,Croatia,<1Y,MALE,143
2005,Croatia,<1Y,MALE,140
2005,Croatia,<1Y,BOTHSEX,253
2005,Croatia,<1Y,FEMALE,113
2006,Croatia,<1Y,FEMALE,108
2006,Croatia,<1Y,BOTHSEX,243
2006,Croatia,<1Y,MALE,135
2007,Croatia,<1Y,MALE,127
2007,Croatia,<1Y,BOTHSEX,230
2007,Croatia,<1Y,FEMALE,103
2009,Iceland,<1Y,BOTHSEX,11
2010,Iceland,<1Y,FEMALE,5
2010,Iceland,<1Y,BOTHSEX,11
2010,Iceland,<1Y,MALE,6
2011,Iceland,<1Y,FEMALE,4
2011,Iceland,<1Y,MALE,6
2011,Iceland,<1Y,BOTHSEX,10
2012,Iceland,<1Y,BOTHSEX,9
2012,Iceland,<1Y,MALE,5
2012,Iceland,<1Y,FEMALE,4
2013,Iceland,<1Y,FEMALE,4
2013,Iceland,<1Y,MALE,5
2008,Croatia,<1Y,FEMALE,101
2008,Croatia,<1Y,BOTHSEX,225
2008,Croatia,<1Y,MALE,124
2009,Croatia,<1Y,MALE,122
2009,Croatia,<1Y,BOTHSEX,221
2009,Croatia,<1Y,FEMALE,99
2010,Croatia,<1Y,MALE,118
2010,Croatia,<1Y,FEMALE,94
2010,Croatia,<1Y,BOTHSEX,212
2011,Croatia,<1Y,MALE,109
2011,Croatia,<1Y,BOTHSEX,197
2011,Croatia,<1Y,FEMALE,88
2002,Azerbaijan,<1Y,MALE,4194
2002,Azerbaijan,<1Y,FEMALE,3072
2002,Azerbaijan,<1Y,BOTHSEX,7266
2003,Azerbaijan,<1Y,BOTHSEX,6867
2003,Azerbaijan,<1Y,FEMALE,2895
2003,Azerbaijan,<1Y,MALE,3972
2004,Azerbaijan,<1Y,BOTHSEX,6655
2004,Azerbaijan,<1Y,MALE,3855
2004,Azerbaijan,<1Y,FEMALE,2800
2005,Azerbaijan,<1Y,BOTHSEX,6490
2005,Azerbaijan,<1Y,MALE,3765
2005,Azerbaijan,<1Y,FEMALE,2725
2000,Netherlands,<1Y,BOTHSEX,1041
2000,Netherlands,<1Y,FEMALE,454
2000,Netherlands,<1Y,MALE,587
2001,Netherlands,<1Y,FEMALE,445
2001,Netherlands,<1Y,BOTHSEX,1021
2001,Netherlands,<1Y,MALE,576
2002,Netherlands,<1Y,BOTHSEX,984
2002,Netherlands,<1Y,FEMALE,428
2002,Netherlands,<1Y,MALE,556
2003,Netherlands,<1Y,MALE,536
2003,Netherlands,<1Y,FEMALE,411
2003,Netherlands,<1Y,BOTHSEX,947
2013,Iceland,<1Y,BOTHSEX,9
2014,Iceland,<1Y,BOTHSEX,9
2014,Iceland,<1Y,MALE,5
2014,Iceland,<1Y,FEMALE,4
2015,Iceland,<1Y,FEMALE,4
2015,Iceland,<1Y,MALE,5
2015,Iceland,<1Y,BOTHSEX,9
2016,Iceland,<1Y,BOTHSEX,9
2016,Iceland,<1Y,MALE,5
2016,Iceland,<1Y,FEMALE,4
2017,Iceland,<1Y,FEMALE,4
2017,Iceland,<1Y,MALE,4
2012,Croatia,<1Y,FEMALE,83
2012,Croatia,<1Y,BOTHSEX,187
2012,Croatia,<1Y,MALE,104
2013,Croatia,<1Y,MALE,100
2013,Croatia,<1Y,BOTHSEX,179
2013,Croatia,<1Y,FEMALE,79
2014,Croatia,<1Y,FEMALE,75
2014,Croatia,<1Y,BOTHSEX,171
2014,Croatia,<1Y,MALE,96
2015,Croatia,<1Y,MALE,90
2015,Croatia,<1Y,BOTHSEX,162
2015,Croatia,<1Y,FEMALE,72
2006,Azerbaijan,<1Y,MALE,3688
2006,Azerbaijan,<1Y,FEMALE,2668
2006,Azerbaijan,<1Y,BOTHSEX,6356
2007,Azerbaijan,<1Y,BOTHSEX,6285
2007,Azerbaijan,<1Y,FEMALE,2633
2007,Azerbaijan,<1Y,MALE,3652
2008,Azerbaijan,<1Y,MALE,3611
2008,Azerbaijan,<1Y,FEMALE,2598
2008,Azerbaijan,<1Y,BOTHSEX,6209
2009,Azerbaijan,<1Y,BOTHSEX,6089
2009,Azerbaijan,<1Y,FEMALE,2545
2009,Azerbaijan,<1Y,MALE,3544
2017,Iceland,<1Y,BOTHSEX,8
2018,Iceland,<1Y,BOTHSEX,9
2018,Iceland,<1Y,MALE,5
2018,Iceland,<1Y,FEMALE,4
2019,Iceland,<1Y,FEMALE,4
2019,Iceland,<1Y,BOTHSEX,9
2019,Iceland,<1Y,MALE,5
2020,Iceland,<1Y,MALE,5
2020,Iceland,<1Y,BOTHSEX,9
2020,Iceland,<1Y,FEMALE,4
2021,Iceland,<1Y,BOTHSEX,10
2021,Iceland,<1Y,MALE,6
2016,Croatia,<1Y,MALE,87
2016,Croatia,<1Y,FEMALE,69
2016,Croatia,<1Y,BOTHSEX,156
2017,Croatia,<1Y,MALE,85
2017,Croatia,<1Y,BOTHSEX,152
2017,Croatia,<1Y,FEMALE,67
2018,Croatia,<1Y,FEMALE,66
2018,Croatia,<1Y,BOTHSEX,150
2018,Croatia,<1Y,MALE,84
2019,Croatia,<1Y,BOTHSEX,148
2019,Croatia,<1Y,MALE,83
2019,Croatia,<1Y,FEMALE,65
2020,Croatia,<1Y,MALE,80
2020,Croatia,<1Y,FEMALE,63
2020,Croatia,<1Y,BOTHSEX,143
2021,Croatia,<1Y,FEMALE,61
2021,Croatia,<1Y,BOTHSEX,138
2021,Croatia,<1Y,MALE,77
2000,Cyprus,<1Y,FEMALE,30
2000,Cyprus,<1Y,BOTHSEX,68
2000,Cyprus,<1Y,MALE,38
2001,Cyprus,<1Y,MALE,35
