Year,GeoAreaName,Age,Freq,Location,Sex,Value
2000,Armenia,,,,,54
2001,Armenia,,,,,57
2002,Armenia,,,,,59
2003,Armenia,,,,,64
2004,Armenia,,,,,69
2005,Armenia,,,,,92
2006,Armenia,,,,,75
2007,Armenia,,,,,72
2008,Armenia,,,,,71
2009,Armenia,,,,,68
2010,Armenia,,,,,61
2011,Armenia,,,,,55
2012,Armenia,,,,,53
2013,Armenia,,,,,60
2014,Armenia,,,,,57
2015,Armenia,,,,,50
2016,Armenia,,,,,44
2017,Armenia,,,,,36
2018,Armenia,,,,,31
2019,Armenia,,,,,26
2020,Armenia,,,,,25
2021,Armenia,,,,,27
2000,Belgium,,,,,14
2001,Belgium,,,,,15
2002,Belgium,,,,,13
2003,Belgium,,,,,12
2004,Belgium,,,,,12
2005,Belgium,,,,,12
2006,Belgium,,,,,11
2007,Belgium,,,,,10
2008,Belgium,,,,,10
2009,Belgium,,,,,9.8
2010,Belgium,,,,,11
2011,Belgium,,,,,10
2012,Belgium,,,,,9.5
2013,Belgium,,,,,9.4
2014,Belgium,,,,,9.1
2015,Belgium,,,,,9.5
2016,Belgium,,,,,10
2017,Belgium,,,,,9.3
2018,Belgium,,,,,9.2
2019,Belgium,,,,,8.9
2020,Belgium,,,,,7.7
2021,Belgium,,,,,8.1
2000,Bosnia and Herzegovina,,,,,83
2001,Bosnia and Herzegovina,,,,,82
2002,Bosnia and Herzegovina,,,,,56
2003,Bosnia and Herzegovina,,,,,59
2004,Bosnia and Herzegovina,,,,,78
2005,Bosnia and Herzegovina,,,,,70
2006,Bosnia and Herzegovina,,,,,59
2007,Bosnia and Herzegovina,,,,,79
2008,Bosnia and Herzegovina,,,,,57
2000,Latvia,,,,,95
2001,Latvia,,,,,97
2002,Latvia,,,,,89
2003,Latvia,,,,,85
2004,Latvia,,,,,80
2005,Latvia,,,,,73
2006,Latvia,,,,,67
2007,Latvia,,,,,65
2008,Latvia,,,,,56
2020,Turkmenistan,,,,,46
2021,Turkmenistan,,,,,47
2000,Ukraine,,,,,114
2001,Ukraine,,,,,119
2002,Ukraine,,,,,123
2003,Ukraine,,,,,126
2004,Ukraine,,,,,127
2005,Ukraine,,,,,127
2006,Ukraine,,,,,125
2000,Albania,,,,,22
2001,Albania,,,,,20
2002,Albania,,,,,22
2003,Albania,,,,,20
2004,Albania,,,,,20
2005,Albania,,,,,19
2006,Albania,,,,,18
2007,Albania,,,,,17
2008,Albania,,,,,16
2009,Bosnia and Herzegovina,,,,,58
2010,Bosnia and Herzegovina,,,,,45
2011,Bosnia and Herzegovina,,,,,46
2012,Bosnia and Herzegovina,,,,,49
2013,Bosnia and Herzegovina,,,,,44
2014,Bosnia and Herzegovina,,,,,43
2015,Bosnia and Herzegovina,,,,,40
2016,Bosnia and Herzegovina,,,,,33
2017,Bosnia and Herzegovina,,,,,29
2009,Latvia,,,,,51
2010,Latvia,,,,,50
2011,Latvia,,,,,48
2012,Latvia,,,,,54
2013,Latvia,,,,,49
2014,Latvia,,,,,42
2015,Latvia,,,,,40
2016,Latvia,,,,,37
2017,Latvia,,,,,32
2009,Albania,,,,,17
2010,Albania,,,,,17
2011,Albania,,,,,17
2012,Albania,,,,,16
2013,Albania,,,,,19
2014,Albania,,,,,16
2015,Albania,,,,,17
2016,Albania,,,,,17
2017,Albania,,,,,20
2018,Latvia,,,,,28
2019,Latvia,,,,,24
2020,Latvia,,,,,20
2021,Latvia,,,,,16
2000,Lithuania,,,,,85
2001,Lithuania,,,,,84
2002,Lithuania,,,,,79
2003,Lithuania,,,,,87
2004,Lithuania,,,,,68
2018,Bosnia and Herzegovina,,,,,25
2019,Bosnia and Herzegovina,,,,,27
2020,Bosnia and Herzegovina,,,,,26
2021,Bosnia and Herzegovina,,,,,25
2000,Bulgaria,,,,,52
2001,Bulgaria,,,,,61
2002,Bulgaria,,,,,53
2003,Bulgaria,,,,,52
2004,Bulgaria,,,,,49
2005,Lithuania,,,,,72
2006,Lithuania,,,,,82
2007,Lithuania,,,,,79
2008,Lithuania,,,,,75
2009,Lithuania,,,,,69
2010,Lithuania,,,,,64
2011,Lithuania,,,,,65
2012,Lithuania,,,,,61
2013,Lithuania,,,,,60
2018,Albania,,,,,18
2019,Albania,,,,,16
2020,Albania,,,,,16
2021,Albania,,,,,17
2000,Azerbaijan,,,,,80
2001,Azerbaijan,,,,,75
2002,Azerbaijan,,,,,78
2003,Azerbaijan,,,,,57
2005,Bulgaria,,,,,52
2006,Bulgaria,,,,,51
2007,Bulgaria,,,,,47
2008,Bulgaria,,,,,49
2009,Bulgaria,,,,,44
2010,Bulgaria,,,,,41
2011,Bulgaria,,,,,37
2012,Bulgaria,,,,,35
2013,Bulgaria,,,,,33
2014,Lithuania,,,,,57
2015,Lithuania,,,,,54
2016,Lithuania,,,,,53
2017,Lithuania,,,,,50
2018,Lithuania,,,,,43
2019,Lithuania,,,,,41
2020,Lithuania,,,,,28
2021,Lithuania,,,,,26
2000,Luxembourg,,,,,12
2001,Luxembourg,,,,,8.1
2002,Luxembourg,,,,,8
2003,Luxembourg,,,,,14
2004,Luxembourg,,,,,7.8
2005,Luxembourg,,,,,9.2
2006,Luxembourg,,,,,8
2007,Luxembourg,,,,,9.3
2008,Luxembourg,,,,,6.6
2009,Luxembourg,,,,,6.2
2014,Bulgaria,,,,,31
2015,Bulgaria,,,,,28
2016,Bulgaria,,,,,27
2017,Bulgaria,,,,,25
2018,Bulgaria,,,,,23
2019,Bulgaria,,,,,21
2020,Bulgaria,,,,,19
2021,Bulgaria,,,,,17
2000,Belarus,,,,,86
2004,Azerbaijan,,,,,80
2005,Azerbaijan,,,,,88
2006,Azerbaijan,,,,,83
2007,Azerbaijan,,,,,79
2008,Azerbaijan,,,,,108
2009,Azerbaijan,,,,,133
2010,Azerbaijan,,,,,104
2011,Azerbaijan,,,,,125
2012,Azerbaijan,,,,,86
2010,Luxembourg,,,,,6.6
2011,Luxembourg,,,,,5.5
2012,Luxembourg,,,,,9.8
2013,Luxembourg,,,,,8
2014,Luxembourg,,,,,5
2015,Luxembourg,,,,,6.1
2016,Luxembourg,,,,,5.7
2017,Luxembourg,,,,,6.2
2018,Luxembourg,,,,,7.9
2019,Luxembourg,,,,,8.9
2020,Luxembourg,,,,,5.8
2021,Luxembourg,,,,,6.1
2000,Malta,,,,,4.6
2001,Malta,,,,,4.6
2002,Malta,,,,,6.8
2003,Malta,,,,,2
2004,Malta,,,,,5.1
2005,Malta,,,,,6.2
2001,Belarus,,,,,70
2002,Belarus,,,,,66
2003,Belarus,,,,,77
2004,Belarus,,,,,71
2005,Belarus,,,,,69
2006,Belarus,,,,,68
2007,Belarus,,,,,71
2008,Belarus,,,,,68
2009,Belarus,,,,,70
2010,Belarus,,,,,68
2011,Belarus,,,,,62
2012,Belarus,,,,,63
2013,Belarus,,,,,59
2014,Belarus,,,,,51
2015,Belarus,,,,,50
2016,Belarus,,,,,42
2017,Belarus,,,,,37
2018,Belarus,,,,,31
2013,Azerbaijan,,,,,78
2014,Azerbaijan,,,,,76
2015,Azerbaijan,,,,,71
2016,Azerbaijan,,,,,66
2017,Azerbaijan,,,,,66
2018,Azerbaijan,,,,,63
2019,Azerbaijan,,,,,60
2020,Azerbaijan,,,,,58
2021,Azerbaijan,,,,,63
2006,Malta,,,,,8.4
2007,Malta,,,,,11
2008,Malta,,,,,13
2009,Malta,,,,,12
2010,Malta,,,,,8
2011,Malta,,,,,8.1
2012,Malta,,,,,11
2013,Malta,,,,,13
2014,Malta,,,,,12
2019,Belarus,,,,,29
2020,Belarus,,,,,28
2021,Belarus,,,,,30
2000,Croatia,,,,,41
2001,Croatia,,,,,35
2002,Croatia,,,,,37
2003,Croatia,,,,,36
2004,Croatia,,,,,30
2000,Austria,,,,,17
2001,Austria,,,,,14
2002,Austria,,,,,15
2003,Austria,,,,,13
2004,Austria,,,,,13
2005,Austria,,,,,13
2006,Austria,,,,,12
2007,Austria,,,,,11
2008,Austria,,,,,10
2005,Croatia,,,,,27
2006,Croatia,,,,,27
2007,Croatia,,,,,25
2008,Croatia,,,,,26
2009,Croatia,,,,,22
2010,Croatia,,,,,18
2011,Croatia,,,,,16
2012,Croatia,,,,,14
2013,Croatia,,,,,14
2015,Malta,,,,,8.1
2016,Malta,,,,,12
2017,Malta,,,,,10
2018,Malta,,,,,13
2019,Malta,,,,,22
2020,Malta,,,,,31
2021,Malta,,,,,12
2000,Republic of Moldova,,,,,80
2001,Republic of Moldova,,,,,99
2009,Austria,,,,,9.1
2010,Austria,,,,,9.1
2011,Austria,,,,,9.2
2012,Austria,,,,,8.5
2013,Austria,,,,,8.5
