Year,GeoAreaName,Age,Name of non-communicable disease,Sex,Value
2000,Kyrgyzstan,30-70,,BOTHSEX,33.5
2000,Kyrgyzstan,30-70,,FEMALE,25.6
2000,Kyrgyzstan,30-70,,MALE,41.8
2005,Kyrgyzstan,30-70,,BOTHSEX,32.5
2005,Kyrgyzstan,30-70,,FEMALE,24.5
2005,Kyrgyzstan,30-70,,MALE,41
2010,Kyrgyzstan,30-70,,BOTHSEX,27.9
2010,Kyrgyzstan,30-70,,FEMALE,20.3
2010,Kyrgyzstan,30-70,,MALE,36.2
2015,Kyrgyzstan,30-70,,MALE,33.1
2015,Kyrgyzstan,30-70,,BOTHSEX,24.9
2015,Kyrgyzstan,30-70,,FEMALE,17.7
2019,Kyrgyzstan,30-70,,BOTHSEX,20.3
2019,Kyrgyzstan,30-70,,FEMALE,15
2019,Kyrgyzstan,30-70,,MALE,26.5
2000,Latvia,30-70,,BOTHSEX,27.9
2000,Latvia,30-70,,FEMALE,17.9
2000,Latvia,30-70,,MALE,40
2005,Latvia,30-70,,BOTHSEX,28.4
2005,Latvia,30-70,,FEMALE,17.3
2005,Latvia,30-70,,MALE,41.6
2010,Latvia,30-70,,BOTHSEX,26
2010,Latvia,30-70,,FEMALE,16.6
2010,Latvia,30-70,,MALE,37.5
2000,Albania,30-70,,FEMALE,12.9
2000,Albania,30-70,,BOTHSEX,18.7
2000,Albania,30-70,,MALE,23.5
2005,Albania,30-70,,MALE,25.2
2005,Albania,30-70,,FEMALE,14.5
2005,Albania,30-70,,BOTHSEX,20.3
2010,Albania,30-70,,MALE,21.8
2010,Albania,30-70,,FEMALE,17
2015,Latvia,30-70,,BOTHSEX,22
2015,Latvia,30-70,,FEMALE,13.9
2015,Latvia,30-70,,MALE,31.9
2019,Latvia,30-70,,BOTHSEX,21.6
2019,Latvia,30-70,,FEMALE,13.5
2019,Latvia,30-70,,MALE,31.2
2000,Lithuania,30-70,,BOTHSEX,24.2
2000,Lithuania,30-70,,MALE,34.6
2000,Lithuania,30-70,,FEMALE,15.5
2005,Lithuania,30-70,,BOTHSEX,25.7
2005,Lithuania,30-70,,FEMALE,15.4
2005,Lithuania,30-70,,MALE,37.7
2010,Lithuania,30-70,,MALE,35
2010,Lithuania,30-70,,BOTHSEX,23.7
2010,Lithuania,30-70,,FEMALE,14.2
2015,Lithuania,30-70,,FEMALE,13.2
2010,Albania,30-70,,BOTHSEX,19.5
2015,Albania,30-70,,FEMALE,10
2015,Albania,30-70,,BOTHSEX,13.6
2015,Albania,30-70,,MALE,17
2019,Albania,30-70,,MALE,16.7
2019,Albania,30-70,,FEMALE,6
2019,Albania,30-70,,BOTHSEX,11.4
2000,Azerbaijan,30-70,,BOTHSEX,32.5
2000,Azerbaijan,30-70,,MALE,39.7
2000,Azerbaijan,30-70,,FEMALE,25.5
2005,Azerbaijan,30-70,,BOTHSEX,32.1
2005,Azerbaijan,30-70,,MALE,39.6
2005,Azerbaijan,30-70,,FEMALE,25
2010,Azerbaijan,30-70,,MALE,37.4
2010,Azerbaijan,30-70,,FEMALE,22.6
2010,Azerbaijan,30-70,,BOTHSEX,29.8
2015,Azerbaijan,30-70,,MALE,36.1
2015,Azerbaijan,30-70,,FEMALE,21.1
2015,Azerbaijan,30-70,,BOTHSEX,28.4
2019,Azerbaijan,30-70,,MALE,34.4
2019,Azerbaijan,30-70,,FEMALE,20.4
2019,Azerbaijan,30-70,,BOTHSEX,27.2
2000,Austria,30-70,,MALE,20.2
2000,Austria,30-70,,FEMALE,10.7
2000,Austria,30-70,,BOTHSEX,15.3
2005,Austria,30-70,,MALE,16.6
2005,Austria,30-70,,FEMALE,9.1
2005,Austria,30-70,,BOTHSEX,12.8
2010,Austria,30-70,,MALE,16.2
2010,Austria,30-70,,FEMALE,8.8
2010,Austria,30-70,,BOTHSEX,12.4
2015,Austria,30-70,,MALE,14.7
2015,Austria,30-70,,FEMALE,8.6
2015,Austria,30-70,,BOTHSEX,11.6
2019,Austria,30-70,,FEMALE,7.9
2019,Austria,30-70,,MALE,12.9
2019,Austria,30-70,,BOTHSEX,10.4
2000,Armenia,30-70,,FEMALE,20.2
2000,Armenia,30-70,,BOTHSEX,26.7
2000,Armenia,30-70,,MALE,34.1
2005,Armenia,30-70,,BOTHSEX,25.7
2005,Armenia,30-70,,MALE,33.9
2005,Armenia,30-70,,FEMALE,18.5
2010,Armenia,30-70,,MALE,33.9
2010,Armenia,30-70,,FEMALE,17.4
2010,Armenia,30-70,,BOTHSEX,25
2015,Armenia,30-70,,FEMALE,15.3
2015,Armenia,30-70,,BOTHSEX,22.3
2015,Armenia,30-70,,MALE,30.6
2019,Armenia,30-70,,MALE,28
2019,Armenia,30-70,,FEMALE,13.4
2019,Armenia,30-70,,BOTHSEX,19.9
2000,Belgium,30-70,,MALE,20.3
2000,Belgium,30-70,,FEMALE,10.7
2000,Belgium,30-70,,BOTHSEX,15.4
2005,Belgium,30-70,,MALE,17.7
2005,Belgium,30-70,,FEMALE,9.9
2005,Belgium,30-70,,BOTHSEX,13.7
2010,Belgium,30-70,,FEMALE,9.7
2010,Belgium,30-70,,BOTHSEX,12.9
2010,Belgium,30-70,,MALE,16.3
2015,Belgium,30-70,,MALE,14.2
2015,Belgium,30-70,,FEMALE,8.8
2015,Belgium,30-70,,BOTHSEX,11.5
2019,Belgium,30-70,,BOTHSEX,10.6
2019,Belgium,30-70,,MALE,13
2019,Belgium,30-70,,FEMALE,8.2
2000,Bosnia and Herzegovina,30-70,,FEMALE,17
2000,Bosnia and Herzegovina,30-70,,MALE,27.4
2000,Bosnia and Herzegovina,30-70,,BOTHSEX,22
2005,Bosnia and Herzegovina,30-70,,BOTHSEX,21.7
2005,Bosnia and Herzegovina,30-70,,FEMALE,16.2
2005,Bosnia and Herzegovina,30-70,,MALE,27.5
2010,Bosnia and Herzegovina,30-70,,BOTHSEX,20.1
2010,Bosnia and Herzegovina,30-70,,MALE,25.3
2010,Bosnia and Herzegovina,30-70,,FEMALE,15.2
2015,Bosnia and Herzegovina,30-70,,FEMALE,14.1
2015,Bosnia and Herzegovina,30-70,,MALE,24.6
2015,Bosnia and Herzegovina,30-70,,BOTHSEX,19.2
