Year,GeoAreaName,Location,Sex,Value
2000,Albania,,BOTHSEX,154
2000,Albania,,FEMALE,44
2000,Albania,,MALE,110
2005,Albania,,BOTHSEX,230
2005,Albania,,FEMALE,80
2005,Albania,,MALE,150
2010,Albania,,BOTHSEX,231
2010,Albania,,FEMALE,89
2010,Albania,,MALE,141
2015,Albania,,FEMALE,45
2015,Albania,,MALE,92
2015,Albania,,BOTHSEX,137
2019,Albania,,BOTHSEX,125
2019,Albania,,FEMALE,38
2019,Albania,,MALE,87
2000,Azerbaijan,,BOTHSEX,253
2000,Azerbaijan,,FEMALE,51
2000,Azerbaijan,,MALE,202
2005,Azerbaijan,,BOTHSEX,384
2005,Azerbaijan,,FEMALE,82
2005,Azerbaijan,,MALE,302
2010,Azerbaijan,,BOTHSEX,411
2010,Azerbaijan,,MALE,325
2010,Azerbaijan,,FEMALE,87
2015,Azerbaijan,,FEMALE,78
2015,Azerbaijan,,BOTHSEX,392
2015,Azerbaijan,,MALE,314
2019,Azerbaijan,,BOTHSEX,411
2019,Azerbaijan,,FEMALE,78
2019,Azerbaijan,,MALE,333
2000,Austria,,BOTHSEX,1606
2000,Austria,,FEMALE,439
2000,Austria,,MALE,1167
2005,Austria,,MALE,1059
2005,Austria,,BOTHSEX,1423
2005,Austria,,FEMALE,364
2010,Austria,,BOTHSEX,1355
2010,Austria,,FEMALE,326
2010,Austria,,MALE,1029
2015,Austria,,BOTHSEX,1388
2000,Republic of Moldova,,FEMALE,101
2000,Republic of Moldova,,MALE,622
2000,Republic of Moldova,,BOTHSEX,723
2005,Republic of Moldova,,BOTHSEX,807
2005,Republic of Moldova,,FEMALE,127
2005,Republic of Moldova,,MALE,679
2010,Republic of Moldova,,BOTHSEX,839
2010,Republic of Moldova,,FEMALE,123
2010,Republic of Moldova,,MALE,717
2015,Republic of Moldova,,BOTHSEX,658
2015,Austria,,FEMALE,337
2015,Austria,,MALE,1052
2019,Austria,,BOTHSEX,1307
2019,Austria,,MALE,1005
2019,Austria,,FEMALE,302
2000,Armenia,,MALE,73
2000,Armenia,,BOTHSEX,105
2000,Armenia,,FEMALE,32
2005,Armenia,,BOTHSEX,126
2005,Armenia,,FEMALE,33
2015,Republic of Moldova,,FEMALE,114
2015,Republic of Moldova,,MALE,543
2019,Republic of Moldova,,FEMALE,87
2019,Republic of Moldova,,MALE,506
2019,Republic of Moldova,,BOTHSEX,593
2000,Montenegro,,MALE,93
2000,Montenegro,,BOTHSEX,128
2000,Montenegro,,FEMALE,35
2005,Montenegro,,BOTHSEX,134
2005,Montenegro,,MALE,99
2005,Armenia,,MALE,93
2010,Armenia,,BOTHSEX,194
2010,Armenia,,FEMALE,53
2010,Armenia,,MALE,141
2015,Armenia,,BOTHSEX,180
2015,Armenia,,FEMALE,58
2015,Armenia,,MALE,122
2019,Armenia,,FEMALE,20
2019,Armenia,,MALE,78
2019,Armenia,,BOTHSEX,98
2005,Montenegro,,FEMALE,35
2010,Montenegro,,FEMALE,33
2010,Montenegro,,BOTHSEX,127
2010,Montenegro,,MALE,94
2015,Montenegro,,BOTHSEX,130
2015,Montenegro,,FEMALE,35
2015,Montenegro,,MALE,95
2019,Montenegro,,BOTHSEX,132
2019,Montenegro,,FEMALE,33
2019,Montenegro,,MALE,98
2000,Belgium,,BOTHSEX,2264
2000,Belgium,,FEMALE,677
2000,Belgium,,MALE,1588
2005,Belgium,,MALE,1569
2005,Belgium,,FEMALE,615
2005,Belgium,,BOTHSEX,2184
2010,Belgium,,BOTHSEX,2244
2010,Belgium,,FEMALE,680
2010,Belgium,,MALE,1565
2015,Belgium,,BOTHSEX,2099
2015,Belgium,,FEMALE,669
2015,Belgium,,MALE,1430
2019,Belgium,,BOTHSEX,2111
2019,Belgium,,FEMALE,690
2019,Belgium,,MALE,1421
2000,Bosnia and Herzegovina,,BOTHSEX,339
2000,Bosnia and Herzegovina,,FEMALE,76
2000,Bosnia and Herzegovina,,MALE,263
2005,Bosnia and Herzegovina,,MALE,320
2005,Bosnia and Herzegovina,,BOTHSEX,405
