Year,GeoAreaName,Age,Sex,Value
2016,Albania,15+,BOTHSEX,5.9
2016,Albania,15+,FEMALE,2.1
2016,Albania,15+,MALE,9.9
2016,Azerbaijan,15+,MALE,10
2016,Azerbaijan,15+,FEMALE,2.1
2016,Azerbaijan,15+,BOTHSEX,6
2016,Austria,15+,BOTHSEX,12
2016,Austria,15+,FEMALE,6.1
2016,Austria,15+,MALE,18.1
2016,Armenia,15+,BOTHSEX,5.7
2016,Armenia,15+,FEMALE,2.2
2016,Armenia,15+,MALE,9.9
2016,Belgium,15+,FEMALE,4.3
2016,Belgium,15+,MALE,12.1
2016,Belgium,15+,BOTHSEX,8.1
2016,Bosnia and Herzegovina,15+,BOTHSEX,6
2016,Bosnia and Herzegovina,15+,FEMALE,2.2
2016,Bosnia and Herzegovina,15+,MALE,9.8
2016,Bulgaria,15+,MALE,12.2
2016,Bulgaria,15+,BOTHSEX,6.9
2016,Bulgaria,15+,FEMALE,1.9
2016,Belarus,15+,BOTHSEX,18.8
2016,Belarus,15+,MALE,33.9
2016,Belarus,15+,FEMALE,6.2
2016,Croatia,15+,FEMALE,2.2
2016,Croatia,15+,MALE,9.8
2016,Croatia,15+,BOTHSEX,5.8
2016,Cyprus,15+,MALE,10.5
2016,Cyprus,15+,BOTHSEX,6.9
2016,Cyprus,15+,FEMALE,3.2
2016,Czechia,15+,FEMALE,1.7
2016,Czechia,15+,BOTHSEX,6
2016,Czechia,15+,MALE,10.6
2016,Denmark,15+,FEMALE,4.2
2016,Denmark,15+,MALE,10.9
2016,Denmark,15+,BOTHSEX,7.5
2016,Estonia,15+,MALE,22.2
2016,Estonia,15+,BOTHSEX,12.2
2016,Estonia,15+,FEMALE,3.8
2016,Finland,15+,FEMALE,3.8
2016,Finland,15+,BOTHSEX,9.1
2016,Finland,15+,MALE,14.8
2016,France,15+,MALE,11.1
2016,France,15+,BOTHSEX,7
2016,France,15+,FEMALE,3.1
2016,Georgia,15+,BOTHSEX,4.6
2016,Georgia,15+,FEMALE,1
2016,Georgia,15+,MALE,8.8
2016,Germany,15+,MALE,9.8
2016,Germany,15+,FEMALE,4
2016,Germany,15+,BOTHSEX,6.8
2016,Greece,15+,MALE,9.4
2016,Greece,15+,FEMALE,2.9
2016,Greece,15+,BOTHSEX,6.1
2016,Hungary,15+,MALE,36.9
2016,Hungary,15+,FEMALE,7.2
2016,Hungary,15+,BOTHSEX,21.2
2016,Iceland,15+,FEMALE,2
2016,Iceland,15+,MALE,6.7
2016,Iceland,15+,BOTHSEX,4.4
2016,Ireland,15+,MALE,13
2016,Ireland,15+,FEMALE,4.1
2016,Ireland,15+,BOTHSEX,8.5
2016,Italy,15+,MALE,1.7
2016,Italy,15+,FEMALE,1
2016,Italy,15+,BOTHSEX,1.3
2016,Kazakhstan,15+,MALE,10.3
2016,Kazakhstan,15+,FEMALE,2.2
2016,Kazakhstan,15+,BOTHSEX,6
2016,Kyrgyzstan,15+,FEMALE,2.1
2016,Kyrgyzstan,15+,BOTHSEX,5.9
2016,Kyrgyzstan,15+,MALE,9.9
2016,Latvia,15+,FEMALE,4.6
2016,Latvia,15+,MALE,28.8
2016,Latvia,15+,BOTHSEX,15.5
2016,Lithuania,15+,BOTHSEX,11
2016,Lithuania,15+,FEMALE,3.6
2016,Lithuania,15+,MALE,19.9
2016,Luxembourg,15+,MALE,10.5
2016,Luxembourg,15+,BOTHSEX,6.6
2016,Luxembourg,15+,FEMALE,2.7
2016,Malta,15+,BOTHSEX,3.6
2016,Malta,15+,MALE,5.6
2016,Malta,15+,FEMALE,1.6
2016,Republic of Moldova,15+,MALE,10.3
2016,Republic of Moldova,15+,FEMALE,2.2
2016,Republic of Moldova,15+,BOTHSEX,6
2016,Montenegro,15+,BOTHSEX,6
