Year,GeoAreaName,Age,Location,Sex,Value
2000,Albania,10-14,,FEMALE,0.00
2001,Albania,10-14,,FEMALE,0.00
2002,Albania,15-19,,FEMALE,13.80
2002,Albania,10-14,,FEMALE,0.00
2003,Albania,10-14,,FEMALE,0.00
2003,Albania,15-19,,FEMALE,15.93
2004,Albania,10-14,,FEMALE,0.00
2005,Albania,10-14,,FEMALE,0.00
2006,Albania,10-14,,FEMALE,0.00
2006,Albania,15-19,,FEMALE,17.67
2007,Albania,10-14,,FEMALE,0.00
2008,Albania,10-14,,FEMALE,0.00
2008,Albania,15-19,,FEMALE,18.43
2009,Albania,10-14,,FEMALE,0.00
2009,Albania,15-19,,FEMALE,18.99
2010,Albania,10-14,,FEMALE,0.00
2010,Albania,15-19,,FEMALE,19.42
2011,Albania,15-19,,FEMALE,20.57
2012,Albania,15-19,,FEMALE,21.02
2013,Albania,15-19,,FEMALE,20.42
2015,Albania,15-19,,FEMALE,19.96
2016,Albania,15-19,,FEMALE,17.35
2017,Albania,15-19,,FEMALE,15.99
2017,Albania,10-14,,FEMALE,0.21
2000,Finland,10-14,,FEMALE,0.03
2001,Finland,15-19,,FEMALE,10.61
2002,Finland,10-14,,FEMALE,0.03
2003,Finland,15-19,,FEMALE,10.37
2003,Finland,10-14,,FEMALE,0.04
2004,Finland,10-14,,FEMALE,0.04
2005,Finland,10-14,,FEMALE,0.05
2006,Finland,10-14,,FEMALE,0.03
2006,Finland,15-19,,FEMALE,9.44
2007,Finland,15-19,,FEMALE,9.10
2008,Finland,10-14,,FEMALE,0.04
2009,Finland,10-14,,FEMALE,0.04
2009,Finland,15-19,,FEMALE,8.47
2010,Finland,15-19,,FEMALE,8.42
2010,Finland,10-14,,FEMALE,0.03
2011,Finland,10-14,,FEMALE,0.02
2011,Finland,15-19,,FEMALE,7.71
2012,Finland,15-19,,FEMALE,7.49
2013,Finland,10-14,,FEMALE,0.03
2015,Finland,15-19,,FEMALE,6.17
2016,Finland,15-19,,FEMALE,5.50
2019,Finland,15-19,,FEMALE,4.11
2019,Finland,10-14,,FEMALE,0.01
2020,Finland,15-19,,FEMALE,3.87
2021,Finland,15-19,,FEMALE,3.69
2021,Finland,10-14,,FEMALE,0.01
2000,France,15-19,,FEMALE,11.07
2000,France,10-14,,FEMALE,0.09
2001,France,10-14,,FEMALE,0.09
2002,France,15-19,,FEMALE,10.86
2002,France,10-14,,FEMALE,0.08
2003,France,10-14,,FEMALE,0.08
2004,France,10-14,,FEMALE,0.09
2005,France,10-14,,FEMALE,0.09
2006,France,10-14,,FEMALE,0.09
2008,France,15-19,,FEMALE,10.19
2009,France,10-14,,FEMALE,0.10
2009,France,15-19,,FEMALE,9.93
2010,France,15-19,,FEMALE,9.82
2010,France,10-14,,FEMALE,0.11
2011,France,10-14,,FEMALE,0.10
2011,France,15-19,,FEMALE,9.54
2013,France,15-19,,FEMALE,8.92
2014,France,15-19,,FEMALE,8.45
2015,France,10-14,,FEMALE,0.10
2018,France,15-19,,FEMALE,6.24
2019,France,10-14,,FEMALE,0.08
2019,France,15-19,,FEMALE,6.12
2018,Albania,10-14,,FEMALE,0.26
2018,Albania,15-19,,FEMALE,14.27
2019,Albania,15-19,,FEMALE,14.03
2019,Albania,10-14,,FEMALE,0.29
2020,Albania,15-19,,FEMALE,13.15
2000,Azerbaijan,10-14,,FEMALE,0.00
2001,Azerbaijan,10-14,,FEMALE,0.00
2001,Azerbaijan,15-19,,FEMALE,25.59
2002,Azerbaijan,10-14,,FEMALE,0.00
2002,Azerbaijan,15-19,,FEMALE,25.54
2003,Azerbaijan,10-14,,FEMALE,0.00
2004,Azerbaijan,10-14,,FEMALE,0.00
2001,Switzerland,10-14,,FEMALE,0.02
2002,Switzerland,15-19,,FEMALE,5.60
2003,Switzerland,15-19,,FEMALE,5.26
2004,Switzerland,10-14,,FEMALE,0.02
2006,Switzerland,15-19,,FEMALE,4.55
2007,Switzerland,15-19,,FEMALE,4.32
2007,Switzerland,10-14,,FEMALE,0.02
2008,Switzerland,15-19,,FEMALE,4.28
2009,Switzerland,10-14,,FEMALE,0.03
2009,Switzerland,15-19,,FEMALE,4.10
2010,Switzerland,10-14,,FEMALE,0.02
2010,Switzerland,15-19,,FEMALE,3.92
2011,Switzerland,10-14,,FEMALE,0.02
2012,Switzerland,15-19,,FEMALE,3.43
2013,Switzerland,10-14,,FEMALE,0.03
2014,Switzerland,15-19,,FEMALE,2.93
2015,Switzerland,10-14,,FEMALE,0.03
2017,Switzerland,15-19,,FEMALE,2.41
2018,Switzerland,10-14,,FEMALE,0.02
2019,Switzerland,10-14,,FEMALE,0.02
2019,Switzerland,15-19,,FEMALE,1.97
2020,Switzerland,15-19,,FEMALE,1.66
2020,Switzerland,10-14,,FEMALE,0.01
2021,Switzerland,10-14,,FEMALE,0.01
2020,France,10-14,,FEMALE,0.08
2020,France,15-19,,FEMALE,5.70
2000,Georgia,10-14,,FEMALE,0.42
2001,Georgia,15-19,,FEMALE,27.54
2002,Georgia,15-19,,FEMALE,33.08
2003,Georgia,15-19,,FEMALE,33.05
2005,Georgia,15-19,,FEMALE,39.33
2006,Georgia,10-14,,FEMALE,0.17
2007,Georgia,10-14,,FEMALE,0.11
2008,Georgia,10-14,,FEMALE,0.16
2008,Georgia,15-19,,FEMALE,43.64
2010,Georgia,15-19,,FEMALE,48.37
2021,Switzerland,15-19,,FEMALE,1.31
2005,Tajikistan,10-14,,FEMALE,0.25
2005,Tajikistan,15-19,,FEMALE,38.47
2008,Tajikistan,15-19,,FEMALE,33.89
2010,Tajikistan,15-19,,FEMALE,47.48
2010,Tajikistan,10-14,,FEMALE,0.12
2011,Tajikistan,15-19,,FEMALE,53.61
2013,Tajikistan,15-19,,FEMALE,51.54
2013,Tajikistan,10-14,,FEMALE,0.00
2015,Tajikistan,15-19,,FEMALE,46.30
2015,Tajikistan,10-14,,FEMALE,0.00
2010,Georgia,10-14,,FEMALE,0.20
2011,Georgia,15-19,,FEMALE,48.14
2012,Georgia,15-19,,FEMALE,45.03
2012,Georgia,10-14,,FEMALE,0.24
2013,Georgia,10-14,,FEMALE,0.20
2013,Georgia,15-19,,FEMALE,46.23
2014,Georgia,15-19,,FEMALE,46.48
2014,Georgia,10-14,,FEMALE,0.21
2016,Georgia,10-14,,FEMALE,0.20
2017,Georgia,10-14,,FEMALE,0.10
2017,Georgia,15-19,,FEMALE,36.19
2018,Georgia,15-19,,FEMALE,31.95
2018,Georgia,10-14,,FEMALE,0.05
2019,Georgia,15-19,,FEMALE,29.30
2019,Georgia,10-14,,FEMALE,0.10
2020,Georgia,15-19,,FEMALE,27.20
2020,Georgia,10-14,,FEMALE,0.07
2000,Germany,10-14,,FEMALE,0.16
2000,Germany,15-19,,FEMALE,13.62
2001,Germany,10-14,,FEMALE,0.20
2001,Germany,15-19,,FEMALE,13.63
2002,Germany,10-14,,FEMALE,0.21
2002,Germany,15-19,,FEMALE,12.92
2003,Germany,15-19,,FEMALE,12.13
2016,Tajikistan,10-14,,FEMALE,0.00
2016,Tajikistan,15-19,,FEMALE,40.30
2017,Tajikistan,10-14,,FEMALE,0.00
2019,Tajikistan,10-14,,FEMALE,0.00
2019,Tajikistan,15-19,,FEMALE,41.74
2002,Türkiye,15-19,,FEMALE,43.03
2004,Türkiye,10-14,,FEMALE,0.27
2005,Türkiye,15-19,,FEMALE,41.03
2007,Türkiye,15-19,,FEMALE,37.67
2008,Türkiye,15-19,,FEMALE,35.93
2010,Türkiye,10-14,,FEMALE,0.11
2011,Türkiye,10-14,,FEMALE,0.12
2003,Germany,10-14,,FEMALE,0.18
2004,Germany,10-14,,FEMALE,0.18
2004,Germany,15-19,,FEMALE,11.44
2005,Germany,10-14,,FEMALE,0.18
2005,Germany,15-19,,FEMALE,11.06
2006,Germany,15-19,,FEMALE,10.64
2006,Germany,10-14,,FEMALE,0.17
2007,Germany,10-14,,FEMALE,0.18
2007,Germany,15-19,,FEMALE,10.46
2008,Germany,10-14,,FEMALE,0.16
2009,Germany,15-19,,FEMALE,9.55
2010,Germany,15-19,,FEMALE,9.37
2011,Türkiye,15-19,,FEMALE,31.26
2012,Türkiye,15-19,,FEMALE,29.64
2012,Türkiye,10-14,,FEMALE,0.12
2013,Türkiye,10-14,,FEMALE,0.10
2013,Türkiye,15-19,,FEMALE,28.04
2014,Türkiye,15-19,,FEMALE,26.87
2014,Türkiye,10-14,,FEMALE,0.10
2015,Türkiye,10-14,,FEMALE,0.08
2015,Türkiye,15-19,,FEMALE,24.89
2016,Türkiye,10-14,,FEMALE,0.08
2016,Türkiye,15-19,,FEMALE,23.59
2017,Türkiye,15-19,,FEMALE,21.71
2010,Germany,10-14,,FEMALE,0.13
2011,Germany,10-14,,FEMALE,0.14
2011,Germany,15-19,,FEMALE,8.59
2012,Germany,15-19,,FEMALE,8.29
2012,Germany,10-14,,FEMALE,0.13
2013,Germany,10-14,,FEMALE,0.13
2014,Germany,15-19,,FEMALE,7.99
2015,Germany,15-19,,FEMALE,8.07
2018,Germany,15-19,,FEMALE,7.42
2019,Germany,15-19,,FEMALE,6.92
2020,Germany,15-19,,FEMALE,6.51
2020,Germany,10-14,,FEMALE,0.07
2017,Türkiye,10-14,,FEMALE,0.08
2018,Türkiye,10-14,,FEMALE,0.06
2018,Türkiye,15-19,,FEMALE,19.20
2019,Türkiye,15-19,,FEMALE,17.32
2019,Türkiye,10-14,,FEMALE,0.05
2020,Türkiye,10-14,,FEMALE,0.04
2020,Türkiye,15-19,,FEMALE,15.15
2000,Turkmenistan,15-19,,FEMALE,26.14
2001,Turkmenistan,15-19,,FEMALE,24.13
2004,Turkmenistan,15-19,,FEMALE,19.75
2008,Turkmenistan,15-19,,FEMALE,22.51
2008,Turkmenistan,10-14,,FEMALE,0.00
2005,Azerbaijan,10-14,,FEMALE,0.00
2006,Azerbaijan,15-19,,FEMALE,37.34
2007,Azerbaijan,15-19,,FEMALE,39.38
2008,Azerbaijan,10-14,,FEMALE,0.01
2010,Azerbaijan,10-14,,FEMALE,0.02
2010,Azerbaijan,15-19,,FEMALE,48.57
2012,Azerbaijan,15-19,,FEMALE,51.38
2012,Azerbaijan,10-14,,FEMALE,0.01
2013,Azerbaijan,15-19,,FEMALE,50.98
2016,Azerbaijan,15-19,,FEMALE,52.79
2017,Azerbaijan,10-14,,FEMALE,0.00
2018,Azerbaijan,10-14,,FEMALE,0.00
2011,Turkmenistan,10-14,,FEMALE,0.00
2011,Turkmenistan,15-19,,FEMALE,26.20
2012,Turkmenistan,15-19,,FEMALE,29.55
2012,Turkmenistan,10-14,,FEMALE,0.00
2013,Turkmenistan,15-19,,FEMALE,28.20
2014,Turkmenistan,15-19,,FEMALE,28.45
2014,Turkmenistan,10-14,,FEMALE,0.00
2015,Turkmenistan,10-14,,FEMALE,0.00
2017,Turkmenistan,10-14,,FEMALE,0.00
2017,Turkmenistan,15-19,,FEMALE,27.46
2018,Turkmenistan,10-14,,FEMALE,0.00
2000,Greece,10-14,,FEMALE,0.26
2001,Greece,10-14,,FEMALE,0.41
2002,Greece,15-19,,FEMALE,10.54
2003,Greece,15-19,,FEMALE,10.62
2004,Greece,15-19,,FEMALE,10.47
2004,Greece,10-14,,FEMALE,0.43
