Year,GeoAreaName,Value
2002,Türkiye,6.00768
2003,Türkiye,4.72933
2004,Türkiye,5.57019
2005,Türkiye,5.11324
2006,Türkiye,5.00167
2007,Türkiye,5.14158
2008,Türkiye,3.7376
2009,Türkiye,3.58882
2010,Türkiye,3.8607
2011,Türkiye,3.34209
2012,Türkiye,3.1011
2013,Türkiye,3.63089
2014,Türkiye,3.69254
2015,Türkiye,3.5145
2016,Türkiye,3.18637
2002,Ukraine,12.40763
2003,Ukraine,10.21778
2004,Ukraine,10.33047
2005,Ukraine,8.2047
2006,Ukraine,8.36225
2007,Ukraine,9.06774
2008,Ukraine,5.8268
2009,Ukraine,6.82567
2010,Ukraine,6.905
2011,Ukraine,7.01449
2012,Ukraine,7.68779
2013,Ukraine,7.20657
2014,Ukraine,7.7555
2015,Ukraine,7.13276
2016,Ukraine,8.93405
2017,Ukraine,7.30401
2018,Ukraine,7.78259
2019,Ukraine,8.3191
2000,North Macedonia,1.98576
2002,North Macedonia,6.57851
2003,North Macedonia,6.72612
2004,North Macedonia,7.18694
2005,North Macedonia,7.06134
2006,North Macedonia,7.84399
2000,Uzbekistan,8.14168
2002,Albania,23.36561
2005,Albania,19.51402
2008,Albania,13.90679
2012,Albania,16.72465
2002,Azerbaijan,6.97322
2003,Azerbaijan,6.99131
2004,Azerbaijan,7.6283
2005,Azerbaijan,8.12186
2001,Armenia,11.99441
2002,Armenia,11.47464
2003,Armenia,10.60732
2004,Armenia,16.45503
2005,Armenia,12.03623
2006,Armenia,10.83256
2007,Armenia,8.30388
2008,Armenia,8.26417
2009,Armenia,9.74234
2010,Armenia,17.51972
2011,Armenia,12.79564
2012,Armenia,13.89678
2013,Armenia,16.05122
2014,Armenia,19.47494
2015,Armenia,22.42575
2016,Armenia,19.28705
2017,Armenia,20.97595
2009,Belgium,11.44744
2001,Bosnia and Herzegovina,14.10151
2004,Bosnia and Herzegovina,7.13646
2007,Bosnia and Herzegovina,10.2528
2011,Bosnia and Herzegovina,8.55873
2015,Bosnia and Herzegovina,8.17694
2000,Bulgaria,8.81388
2001,Bulgaria,7.28048
2005,Bulgaria,10.33527
2010,Bulgaria,12.8421
2015,Bulgaria,13.06995
2016,Bulgaria,22.28678
2017,Bulgaria,21.15524
2018,Bulgaria,21.27513
2000,Belarus,2.7
2001,Belarus,4.1
2002,Belarus,3.8
2003,Belarus,4
2004,Belarus,3.3
2005,Belarus,2.3
2006,Belarus,2.9
2007,Belarus,3.4
2008,Belarus,4.1
2009,Belarus,3.5
2010,Belarus,4.4
2011,Belarus,4.6
2012,Belarus,5.7
2013,Belarus,7
2014,Belarus,6.5
2015,Belarus,8.3
2016,Belarus,9.5
2017,Belarus,10.2
2018,Belarus,10
2019,Belarus,9.3
2020,Belarus,13.5
2004,Croatia,2.39456
2008,Croatia,2.2739
2009,Croatia,2.46357
2010,Croatia,2.79948
2009,Cyprus,16.05152
2015,Cyprus,14.74258
2010,Czechia,2.21941
2010,Denmark,2.93015
2000,Estonia,6.62551
2001,Estonia,6.7656
2002,Estonia,7.15234
2003,Estonia,10.04479
2004,Estonia,11.57043
2005,Estonia,10.79251
2006,Estonia,14.58167
2007,Estonia,12.76024
2010,Estonia,8.79013
2006,Finland,7.11505
2012,Finland,6.28066
2016,Finland,6.72405
2000,Georgia,12.37981
2001,Georgia,13.94963
2002,Georgia,13.76678
2003,Georgia,12.04843
2004,Georgia,11.76487
2005,Georgia,15.03594
2006,Georgia,16.2931
2007,Georgia,17.74407
2008,Georgia,22.12052
2009,Georgia,26.05968
2010,Georgia,24.95896
2011,Georgia,23.97163
2012,Georgia,23.30754
2013,Georgia,24.61247
2017,Georgia,31.20792
2010,Germany,1.52847
2010,Greece,14.63678
2016,Greece,16.89378
2000,Hungary,8.26001
2001,Hungary,8.34188
2002,Hungary,9.6985
2003,Hungary,12.36843
2004,Hungary,10.26821
2005,Hungary,10.61658
2006,Hungary,10.09031
2007,Hungary,11.53812
2010,Hungary,7.37811
2009,Ireland,5.59299
2001,Italy,8.8088
2010,Italy,9.29076
2001,Kazakhstan,2.16789
2002,Kazakhstan,2.11899
2003,Kazakhstan,2.31707
2004,Kazakhstan,2.62902
2005,Kazakhstan,1.70365
2007,Kazakhstan,3.28591
2008,Kazakhstan,3.65423
2009,Kazakhstan,2.64711
2010,Kazakhstan,3.3706
2011,Kazakhstan,1.82553
2012,Kazakhstan,1.90575
2013,Kazakhstan,1.80659
2014,Kazakhstan,1.93469
2015,Kazakhstan,2.53855
2000,Kyrgyzstan,2.36389
2001,Kyrgyzstan,2.68133
2002,Kyrgyzstan,2.40115
2003,Kyrgyzstan,1.27879
2004,Kyrgyzstan,8.62118
2005,Kyrgyzstan,4.61277
2006,Kyrgyzstan,3.96002
2007,Kyrgyzstan,2.63713
2008,Kyrgyzstan,3.66914
2009,Kyrgyzstan,3.96812
2010,Kyrgyzstan,1.50403
2016,Kyrgyzstan,3.47397
2002,Latvia,9.19287
2003,Latvia,10.49733
2004,Latvia,12.08431
2005,Latvia,12.47875
2006,Latvia,10.91482
2007,Latvia,15.37224
2008,Latvia,15.09538
2009,Latvia,15.46334
2010,Latvia,17.18019
2011,Latvia,18.59534
2012,Latvia,17.77253
2013,Latvia,18.04096
2014,Latvia,18.84479
2015,Latvia,19.41652
2016,Latvia,21.40697
2000,Lithuania,10.06374
2001,Lithuania,11.4849
2002,Lithuania,12.08224
2003,Lithuania,11.51156
2004,Lithuania,11.98402
2008,Lithuania,12.85017
2010,Luxembourg,3.38401
2012,Luxembourg,3.58621
2013,Luxembourg,3.33182
2014,Luxembourg,2.96724
2015,Luxembourg,3.34634
2016,Luxembourg,3.52172
2008,Malta,16.20221
2015,Malta,15.94034
2000,Republic of Moldova,6.89107
2001,Republic of Moldova,8.75712
2002,Republic of Moldova,9.58301
2003,Republic of Moldova,10.60799
2004,Republic of Moldova,9.44137
2005,Republic of Moldova,10.75419
2006,Republic of Moldova,15.05706
2007,Republic of Moldova,14.45398
2008,Republic of Moldova,14.92926
2009,Republic of Moldova,16.53252
2010,Republic of Moldova,18.10576
2011,Republic of Moldova,15.63052
2012,Republic of Moldova,16.3087
2013,Republic of Moldova,16.04522
2014,Republic of Moldova,16.33582
2015,Republic of Moldova,18.48619
2016,Republic of Moldova,18.68421
2005,Montenegro,8.56665
2006,Montenegro,6.50025
2007,Montenegro,7.64397
2008,Montenegro,6.85613
2009,Montenegro,7.4182
2010,Montenegro,7.02829
2011,Montenegro,9.306
2012,Montenegro,7.78289
2013,Montenegro,9.13231
2014,Montenegro,8.86138
2015,Montenegro,10.26834
2000,Poland,12.39474
2001,Poland,12.39831
2002,Poland,12.29443
2003,Poland,11.72819
2004,Poland,12.73766
2005,Poland,14.61314
2006,Poland,13.81506
2007,Poland,14.18166
2008,Poland,14.0041
2009,Poland,14.3952
2010,Poland,13.45948
2011,Poland,13.89794
2012,Poland,13.92779
2013,Poland,13.29149
2014,Poland,12.61313
2015,Poland,13.73244
2016,Poland,14.11255
2011,Portugal,18.37757
2000,Romania,7.02793
2001,Romania,7.00315
2002,Romania,7.60729
2003,Romania,7.95013
2004,Romania,9.61965
2005,Romania,10.06198
2006,Romania,10.61855
2007,Romania,10.57294
2008,Romania,11.47571
2009,Romania,12.14717
2010,Romania,12.26467
2011,Romania,13.01703
2012,Romania,11.99163
2013,Romania,12.54732
2015,Romania,13.94886
2016,Romania,13.42163
2003,Serbia,7.75371
2004,Serbia,8.56894
2005,Serbia,10.83027
2006,Serbia,10.28314
2007,Serbia,11.41313
2008,Serbia,9.58335
2009,Serbia,8.29695
2010,Serbia,9.83929
2013,Serbia,9.02515
2015,Serbia,8.04729
2004,Slovakia,5.28194
2005,Slovakia,5.10269
2006,Slovakia,3.7631
2007,Slovakia,3.73972
2008,Slovakia,4.34251
2009,Slovakia,4.48397
2010,Slovakia,3.7773
2015,Slovakia,2.65124
2007,Slovenia,2.63176
2010,Slovenia,4.5861
2012,Slovenia,4.1748
2015,Slovenia,2.51343
2018,Slovenia,3.69475
2006,Spain,5.42075
2007,Spain,5.39604
2008,Spain,5.84136
2009,Spain,5.53518
2010,Spain,5.69591
2011,Spain,5.65922
2012,Spain,5.62917
2013,Spain,5.92804
2014,Spain,6.39422
2015,Spain,7.02349
2016,Spain,7.27895
