Year,GeoAreaName,Value
2002,Albania,5.63629
2005,Albania,4.4974
2008,Albania,4.0759
2012,Albania,4.9454
2002,Azerbaijan,1.1944
2003,Azerbaijan,1.19815
2004,Azerbaijan,1.14587
2005,Azerbaijan,1.09788
2001,Armenia,5.92386
2002,Armenia,5.95909
2003,Armenia,5.57404
2004,Armenia,7.49614
2005,Armenia,6.18306
2006,Armenia,5.90793
2007,Armenia,4.06197
2008,Armenia,3.53123
2009,Armenia,3.67525
2010,Armenia,5.34746
2011,Armenia,3.32178
2012,Armenia,4.4832
2013,Armenia,4.87132
2014,Armenia,6.03367
2015,Armenia,7.58287
2016,Armenia,5.7482
2017,Armenia,7.09431
2009,Belgium,1.3945
2001,Bosnia and Herzegovina,3.44682
2004,Bosnia and Herzegovina,0.45228
2007,Bosnia and Herzegovina,1.8951
2011,Bosnia and Herzegovina,1.27258
2015,Bosnia and Herzegovina,1.38621
2000,Bulgaria,0.69401
2001,Bulgaria,0.96339
2005,Bulgaria,0.44334
2010,Bulgaria,0.7577
2015,Bulgaria,1.27279
2016,Bulgaria,2.95882
2017,Bulgaria,2.86667
2018,Bulgaria,3.06732
2000,Belarus,0.3
2001,Belarus,0.2
2002,Belarus,0.2
2003,Belarus,0.2
2004,Belarus,0.1
2005,Belarus,0.1
2006,Belarus,0.1
2007,Belarus,0.2
2008,Belarus,0.2
2009,Belarus,0.2
2010,Belarus,0.2
2011,Belarus,0.3
2012,Belarus,0.2
2013,Belarus,0.5
2014,Belarus,0.4
2015,Belarus,0.5
2016,Belarus,0.6
2017,Belarus,0.7
2018,Belarus,0.5
2019,Belarus,0.6
2020,Belarus,0.6
2004,Croatia,0.13771
2008,Croatia,0.29732
2009,Croatia,0.13084
2010,Croatia,0.25681
2009,Cyprus,1.48041
2015,Cyprus,1.59415
2010,Czechia,0.05269
2010,Denmark,0.49398
2000,Estonia,1.02066
2001,Estonia,1.1988
2002,Estonia,1.12054
2003,Estonia,1.54059
2004,Estonia,1.93293
2005,Estonia,1.82565
2006,Estonia,3.04948
2007,Estonia,2.66158
2010,Estonia,1.18824
2006,Finland,0.8362
2012,Finland,0.94361
2016,Finland,0.6581
2000,Georgia,4.73363
2001,Georgia,4.42996
2002,Georgia,4.09416
2003,Georgia,3.90052
2004,Georgia,3.76983
2005,Georgia,4.83151
2006,Georgia,5.43991
2007,Georgia,5.88031
2008,Georgia,7.8989
2009,Georgia,9.54516
2010,Georgia,7.8503
2011,Georgia,7.09378
2012,Georgia,6.71603
2013,Georgia,6.79226
2017,Georgia,9.73797
2010,Germany,0.09587
2010,Greece,1.77928
2016,Greece,1.61979
2000,Hungary,0.77975
2001,Hungary,0.57927
2002,Hungary,0.74566
2003,Hungary,1.25757
2004,Hungary,0.89976
2005,Hungary,0.75788
2006,Hungary,0.5879
2007,Hungary,0.97548
2010,Hungary,0.30962
2009,Ireland,0.47965
2001,Italy,1.27229
2010,Italy,1.08318
2001,Kazakhstan,0.08749
2002,Kazakhstan,0.11498
2003,Kazakhstan,0.15185
2004,Kazakhstan,0.13438
2005,Kazakhstan,0.0607
2007,Kazakhstan,0.55004
