Year,GeoAreaName,Age,Sex,Value
2019,Albania,,,3.22905
2019,Azerbaijan,,,3.63793
2019,Austria,,,1.98124
2019,Armenia,,,5.8323
2019,Belgium,,,5.31389
2019,Bosnia and Herzegovina,,,1.93309
2019,Bulgaria,,,2.89465
2019,Belarus,,,1.62349
2019,Croatia,,,2.68612
2019,Cyprus,,,1.6013
2019,Czechia,,,4.07404
2019,Denmark,,,4.13999
2019,Estonia,,,2.5888
2019,Finland,,,0.79283
2019,France,,,3.37249
2019,Georgia,,,3.34649
2019,Germany,,,3.1701
2019,Greece,,,7.62636
2019,Hungary,,,2.01519
2019,Iceland,,,2.3627
2019,Ireland,,,2.70668
2019,Italy,,,3.00942
2019,Kazakhstan,,,3.22385
2019,Kyrgyzstan,,,2.31012
2019,Latvia,,,2.63137
2019,Lithuania,,,2.60711
2019,Luxembourg,,,1.88336
2019,Malta,,,4.586
2019,Republic of Moldova,,,3.56871
2019,Montenegro,,,1.82606
2019,Netherlands,,,3.36827
2019,Norway,,,3.60729
2019,Poland,,,5.3972
2019,Portugal,,,6.75577
2019,Romania,,,7.20148
2019,Serbia,,,3.86262
2019,Slovakia,,,3.61629
2019,Slovenia,,,1.90312
2019,Spain,,,3.17336
2019,Sweden,,,3.03952
2019,Switzerland,,,2.53251
2019,Tajikistan,,,9.00041
2019,Türkiye,,,2.47572
2019,Turkmenistan,,,5.65504
2019,Ukraine,,,2.3391
2019,North Macedonia,,,1.04409
2019,Uzbekistan,,,2.90016
2019,Uzbekistan,,,2.90016
