Year,GeoAreaName,Value
2000,Albania,N
2001,Albania,90
2002,Albania,93
2003,Albania,93
2004,Albania,96
2005,Albania,97
2006,Albania,94
2007,Albania,95
2008,Albania,98
2009,Albania,98
2010,Albania,98
2000,Ireland,N
2001,Ireland,N
2002,Ireland,N
2003,Ireland,N
2004,Ireland,N
2005,Ireland,N
2006,Ireland,N
2007,Ireland,N
2008,Ireland,N
2011,Albania,99
2012,Albania,99
2013,Albania,99
2014,Albania,98
2015,Albania,98
2016,Albania,98
2017,Albania,98
2018,Albania,96
2019,Albania,96
2020,Albania,94
2021,Albania,92
2000,Azerbaijan,N
2009,Ireland,N
2010,Ireland,N
2011,Ireland,N
2012,Ireland,N
2013,Ireland,N
2014,Ireland,N
2015,Ireland,N
2016,Ireland,N
2017,Ireland,N
2001,Azerbaijan,65
2002,Azerbaijan,67
2003,Azerbaijan,66
2004,Azerbaijan,67
2005,Azerbaijan,67
2006,Azerbaijan,68
2007,Azerbaijan,75
2008,Azerbaijan,79
2009,Azerbaijan,83
2010,Azerbaijan,89
2011,Azerbaijan,92
2018,Ireland,N
2019,Ireland,N
2020,Ireland,N
2021,Ireland,N
2000,Italy,N
2001,Italy,N
2002,Italy,N
2003,Italy,N
2004,Italy,N
2012,Azerbaijan,95
2013,Azerbaijan,98
2014,Azerbaijan,98
2015,Azerbaijan,98
2016,Azerbaijan,98
2017,Azerbaijan,97
2018,Azerbaijan,96
2019,Azerbaijan,97
2020,Azerbaijan,79
2021,Azerbaijan,90
2000,Austria,35
2001,Austria,34
2002,Austria,39
2003,Austria,46
2004,Austria,47
2005,Austria,54
2006,Austria,61
2007,Austria,56
2008,Austria,62
2009,Austria,64
2010,Austria,69
2011,Austria,73
2012,Austria,78
2013,Austria,82
2014,Austria,87
2015,Austria,88
2016,Austria,89
2017,Austria,84
2018,Austria,84
2019,Austria,86
2020,Austria,88
2021,Austria,88
2000,Armenia,94
2001,Armenia,96
2002,Armenia,95
2003,Armenia,93
2004,Armenia,94
2005,Armenia,92
2006,Armenia,85
2007,Armenia,93
2008,Armenia,94
2009,Armenia,96
2010,Armenia,97
2011,Armenia,98
2012,Armenia,97
2013,Armenia,97
2014,Armenia,97
2005,Italy,N
2006,Italy,N
2007,Italy,N
2008,Italy,N
2009,Italy,N
2010,Italy,N
2011,Italy,N
2012,Italy,N
2013,Italy,84
2015,Armenia,97
2016,Armenia,97
2017,Armenia,97
2018,Armenia,96
2019,Armenia,96
2020,Armenia,94
2021,Armenia,94
2000,Belgium,N
2001,Belgium,N
2002,Belgium,N
2003,Belgium,N
2004,Belgium,N
2005,Belgium,N
2006,Belgium,78
2007,Belgium,78
2008,Belgium,81
2009,Belgium,83
2010,Belgium,83
2011,Belgium,83
2012,Belgium,85
2013,Belgium,85
2014,Belgium,85
2014,Italy,83
2015,Italy,83
2016,Italy,82
2017,Italy,86
2018,Italy,89
2019,Italy,88
2020,Italy,86
2021,Italy,86
2000,Kazakhstan,98
2001,Kazakhstan,95
2002,Kazakhstan,98
2003,Kazakhstan,99
2015,Belgium,85
2016,Belgium,85
2017,Belgium,85
2018,Belgium,85
2019,Belgium,85
2020,Belgium,85
2021,Belgium,85
2000,Bosnia and Herzegovina,74
2001,Bosnia and Herzegovina,86
2002,Bosnia and Herzegovina,90
2003,Bosnia and Herzegovina,85
2004,Bosnia and Herzegovina,88
2005,Bosnia and Herzegovina,90
2006,Bosnia and Herzegovina,93
2007,Bosnia and Herzegovina,95
2008,Bosnia and Herzegovina,92
2009,Bosnia and Herzegovina,88
2010,Bosnia and Herzegovina,91
2011,Bosnia and Herzegovina,88
2012,Bosnia and Herzegovina,94
2013,Bosnia and Herzegovina,93
2014,Bosnia and Herzegovina,92
2015,Bosnia and Herzegovina,88
2016,Bosnia and Herzegovina,78
2017,Bosnia and Herzegovina,80
2018,Bosnia and Herzegovina,76
2019,Bosnia and Herzegovina,76
2020,Bosnia and Herzegovina,76
