Year,GeoAreaName,Value
2010,Serbia,2.66261
2011,Serbia,1.95957
2012,Serbia,1.43708
2013,Serbia,1.76939
2014,Serbia,2.05266
2015,Serbia,1.03597
2016,Serbia,0.85287
2017,Serbia,26.6813
2010,Albania,4.40335
2011,Albania,4.52879
2012,Albania,2.51329
2013,Albania,0.94768
2014,Albania,1.1726
2015,Albania,0.58614
2016,Albania,0.33221
2017,Albania,0.4505
2018,Serbia,0.01367
2019,Serbia,26.355
2020,Serbia,11.2206
2010,Tajikistan,28.9861
2011,Tajikistan,25.1746
2012,Tajikistan,28.69183
2013,Tajikistan,24.4374
2014,Tajikistan,31.73251
2018,Albania,6.68456
2019,Albania,4.33135
2020,Albania,3.63684
2010,Azerbaijan,9.17891
2011,Azerbaijan,13.58863
2012,Azerbaijan,4.30957
2013,Azerbaijan,10.21897
2014,Azerbaijan,8.07125
2015,Tajikistan,25.36398
2016,Tajikistan,26.79736
2017,Tajikistan,39.31164
2018,Tajikistan,28.83659
2019,Tajikistan,27.14396
2020,Tajikistan,42.61049
2010,Türkiye,0.64257
2011,Türkiye,0.6831
2015,Azerbaijan,5.59275
2016,Azerbaijan,3.77694
2017,Azerbaijan,8.63173
2018,Azerbaijan,3.15344
2019,Azerbaijan,4.04179
2020,Azerbaijan,5.88653
2010,Armenia,14.95535
2011,Armenia,10.89527
2012,Türkiye,2.30136
2013,Türkiye,2.82472
2014,Türkiye,1.8172
2015,Türkiye,1.94606
2016,Türkiye,30.6657
2017,Türkiye,175.65972
2018,Türkiye,66.59454
2019,Türkiye,75.79745
2012,Armenia,9.18155
2013,Armenia,9.78491
2014,Armenia,5.85621
2015,Armenia,5.66641
2016,Armenia,15.60067
2017,Armenia,4.1032
2018,Armenia,6.00322
2019,Armenia,1.57315
2020,Türkiye,15.68784
2010,Turkmenistan,5.49245
2011,Turkmenistan,5.52445
2012,Turkmenistan,1.70478
2013,Turkmenistan,5.68049
2014,Turkmenistan,4.2452
2015,Turkmenistan,2.58476
2016,Turkmenistan,10.3132
2020,Armenia,6.21371
2010,Bosnia and Herzegovina,7.76131
2011,Bosnia and Herzegovina,6.07939
2012,Bosnia and Herzegovina,6.6857
2013,Bosnia and Herzegovina,5.31045
2014,Bosnia and Herzegovina,10.4097
2015,Bosnia and Herzegovina,4.37475
2016,Bosnia and Herzegovina,36.32561
2017,Turkmenistan,2.85811
2018,Turkmenistan,1.7359
2019,Turkmenistan,2.66701
2020,Turkmenistan,3.56751
2010,Ukraine,4.84361
2011,Ukraine,19.2629
2012,Ukraine,20.98895
2013,Ukraine,21.84225
2017,Bosnia and Herzegovina,33.90383
2018,Bosnia and Herzegovina,9.99989
2019,Bosnia and Herzegovina,5.45266
2020,Bosnia and Herzegovina,10.17597
2010,Belarus,10.21152
2011,Belarus,5.36766
2012,Belarus,6.44978
2013,Belarus,5.67835
2014,Ukraine,26.86686
2015,Ukraine,54.53057
2016,Ukraine,69.55873
2017,Ukraine,35.80766
2018,Ukraine,49.49681
2019,Ukraine,58.9383
2020,Ukraine,36.44066
2010,North Macedonia,0.62858
2011,North Macedonia,2.66955
2012,North Macedonia,-0.15615
2013,North Macedonia,1.84526
2014,North Macedonia,0.48866
2015,North Macedonia,1.3376
2016,North Macedonia,1.05693
2017,North Macedonia,0.80888
2018,North Macedonia,-0.15053
2019,North Macedonia,1.17031
2020,North Macedonia,2.7013
2010,Uzbekistan,19.95904
2011,Uzbekistan,17.88561
2012,Uzbekistan,34.85919
2013,Uzbekistan,26.37851
2014,Uzbekistan,30.89895
2015,Uzbekistan,23.45388
2014,Belarus,5.76556
2015,Belarus,1.32981
2016,Belarus,6.14184
2017,Belarus,3.07328
2018,Belarus,3.86968
2019,Belarus,6.21673
2020,Belarus,3.5859
2010,Croatia,0.08366
2010,Georgia,18.91892
2011,Georgia,15.09874
2012,Georgia,6.50344
2013,Georgia,8.75377
2014,Georgia,6.33868
2015,Georgia,3.12542
2016,Georgia,8.8623
2017,Georgia,7.66514
2018,Georgia,2.25836
2019,Georgia,4.81005
2020,Georgia,6.48601
2010,Kazakhstan,28.66198
2011,Kazakhstan,18.3567
2012,Kazakhstan,13.49472
2013,Kazakhstan,7.51217
2014,Kazakhstan,9.22518
2015,Kazakhstan,4.56994
2016,Kazakhstan,6.94033
2017,Kazakhstan,11.63611
2018,Kazakhstan,5.98842
2019,Kazakhstan,7.0955
2020,Kazakhstan,7.38303
2010,Kyrgyzstan,10.96795
2011,Kyrgyzstan,20.07248
2012,Kyrgyzstan,19.92661
2013,Kyrgyzstan,16.51316
2014,Kyrgyzstan,25.22288
2015,Kyrgyzstan,22.39774
2016,Kyrgyzstan,18.01469
2017,Kyrgyzstan,25.39018
2018,Kyrgyzstan,24.28794
2019,Kyrgyzstan,19.96605
2020,Kyrgyzstan,23.95893
2010,Republic of Moldova,17.75167
2011,Republic of Moldova,25.81109
2012,Republic of Moldova,26.30786
2013,Republic of Moldova,24.59292
2014,Republic of Moldova,12.29684
2015,Republic of Moldova,11.42317
2016,Republic of Moldova,14.48967
2017,Republic of Moldova,12.34819
2018,Republic of Moldova,8.39284
2019,Republic of Moldova,8.97244
2020,Republic of Moldova,7.91953
2010,Montenegro,0.77749
2011,Montenegro,0.17557
2012,Montenegro,0.28461
2013,Montenegro,0.21292
2014,Montenegro,-0.02372
2015,Montenegro,-0.3829
2016,Montenegro,0.78639
2017,Montenegro,-0.41988
2018,Montenegro,-0.28069
2019,Montenegro,-0.27585
2020,Montenegro,0.58611
2016,Uzbekistan,59.07729
2017,Uzbekistan,40.23937
2018,Uzbekistan,32.09672
2019,Uzbekistan,46.1586
2020,Uzbekistan,96.71081
2020,Uzbekistan,96.71081
