Year,GeoAreaName,Type of occupation,Value
2000,Albania,PHAR,3.38
2000,Albania,DENT,4.58
2000,Albania,NURSMID,39.50
2000,Albania,PHYS,13.59
2001,Albania,PHYS,13.00
2001,Albania,NURSMID,38.03
2001,Albania,DENT,4.84
2001,Albania,PHAR,3.44
2002,Albania,PHYS,11.70
2002,Albania,DENT,4.30
2002,Albania,NURSMID,36.72
2002,Albania,PHAR,3.50
2003,Albania,NURSMID,36.33
2003,Albania,DENT,4.37
2003,Albania,PHYS,11.96
2003,Albania,PHAR,3.56
2004,Albania,PHYS,12.08
2004,Albania,NURSMID,36.36
2000,Italy,PHYS,34.42
2000,Italy,NURSMID,57.38
2000,Italy,DENT,5.62
2000,Italy,PHAR,11.04
2001,Italy,PHAR,11.06
2001,Italy,DENT,5.44
2001,Italy,NURSMID,57.87
2001,Italy,PHYS,35.06
2002,Italy,PHYS,35.63
2005,Albania,NURSMID,36.72
2006,Albania,PHYS,12.07
2006,Albania,PHAR,3.91
2006,Albania,DENT,3.45
2006,Albania,NURSMID,42.44
2007,Albania,PHAR,4.16
2007,Albania,PHYS,12.18
2007,Albania,NURSMID,42.83
2008,Albania,PHAR,3.59
2000,Croatia,PHAR,4.71
2000,Croatia,PHYS,22.95
2000,Croatia,DENT,6.54
2000,Croatia,NURSMID,48.71
2001,Croatia,NURSMID,49.23
2001,Croatia,PHYS,23.41
2001,Croatia,PHAR,4.96
2001,Croatia,DENT,6.70
2002,Croatia,PHYS,23.62
2002,Italy,NURSMID,58.49
2002,Italy,DENT,5.43
2002,Italy,PHAR,11.23
2003,Italy,PHYS,36.24
2003,Italy,DENT,5.40
2003,Italy,NURSMID,54.84
2003,Italy,PHAR,11.51
2004,Italy,PHYS,36.87
2004,Italy,NURSMID,53.56
2009,Albania,PHAR,4.12
2009,Albania,NURSMID,42.50
2009,Albania,PHYS,12.48
2010,Albania,PHAR,4.55
2010,Albania,PHYS,12.49
2010,Albania,NURSMID,40.66
2011,Albania,PHYS,12.34
2011,Albania,NURSMID,42.16
2011,Albania,PHAR,4.79
2002,Croatia,NURSMID,49.72
2002,Croatia,PHAR,5.10
2002,Croatia,DENT,6.75
2003,Croatia,PHAR,5.26
2003,Croatia,NURSMID,50.15
2003,Croatia,PHYS,24.25
2003,Croatia,DENT,6.92
2004,Croatia,PHAR,5.43
2004,Croatia,PHYS,24.97
2004,Italy,DENT,5.70
2004,Italy,PHAR,9.16
2005,Italy,PHAR,8.59
2005,Italy,DENT,6.01
2005,Italy,NURSMID,52.18
2005,Italy,PHYS,37.07
2006,Italy,PHAR,7.53
2006,Italy,DENT,6.33
2006,Italy,PHYS,37.06
2012,Albania,PHYS,12.78
2012,Albania,NURSMID,44.53
