Year,GeoAreaName,IHR Capacity,Value
2018,Azerbaijan,SPAR12,100
2018,Azerbaijan,SPAR13,80
2018,Azerbaijan,SPAR02,90
2018,Azerbaijan,SPAR04,60
2018,Azerbaijan,SPAR06,90
2018,Azerbaijan,SPAR07,80
2018,Azerbaijan,SPAR08,73
2018,Azerbaijan,SPAR09,93
2018,Azerbaijan,SPAR10,100
2019,Azerbaijan,SPAR07,80
2019,Azerbaijan,SPAR08,73
2019,Azerbaijan,SPAR09,93
2019,Azerbaijan,SPAR05,87
2019,Azerbaijan,SPAR06,90
2019,Azerbaijan,SPAR01,80
2019,Azerbaijan,SPAR02,90
2019,Azerbaijan,SPAR03,80
2019,Azerbaijan,SPAR04,80
2019,Azerbaijan,SPAR10,100
2019,Azerbaijan,SPAR11,80
2019,Azerbaijan,SPAR12,100
2019,Azerbaijan,SPAR13,100
2020,Azerbaijan,SPAR08,80
2020,Azerbaijan,SPAR10,80
2020,Azerbaijan,SPAR11,80
2020,Azerbaijan,SPAR12,100
2020,Azerbaijan,SPAR13,80
2020,Azerbaijan,SPAR09,93
2020,Azerbaijan,SPAR07,100
2020,Azerbaijan,SPAR06,80
2020,Azerbaijan,SPAR01,100
2020,Azerbaijan,SPAR02,90
2020,Azerbaijan,SPAR03,80
2020,Azerbaijan,SPAR04,80
2020,Azerbaijan,SPAR05,80
2021,Azerbaijan,SPAR2-C14,80
2017,Albania,IHR06,57
2017,Albania,IHR07,40
2017,Albania,IHR09,15
2017,Albania,IHR10,67
2017,Albania,IHR11,33
2010,Armenia,IHR05,75
2010,Armenia,IHR07,100
2010,Armenia,IHR08,80
2010,Armenia,IHR12,85
2010,Armenia,IHR09,9
2021,Azerbaijan,SPAR2-C15,80
2021,Azerbaijan,SPAR2-C13,80
2021,Azerbaijan,SPAR2-C12,80
2021,Azerbaijan,SPAR2-C10,100
2021,Azerbaijan,SPAR2-C01,80
2017,Albania,IHR12,23
2017,Albania,IHR05,17
2017,Albania,IHR01,75
2017,Albania,IHR02,57
2017,Albania,IHR03,60
2021,Azerbaijan,SPAR2-C02,87
2021,Azerbaijan,SPAR2-C08,87
2021,Azerbaijan,SPAR2-C09,47
2021,Azerbaijan,SPAR2-C11,80
2021,Azerbaijan,SPAR2-C03,100
2017,Albania,IHR04,35
2017,Albania,IHR13,62
2017,Albania,IHR08,63
2019,Albania,SPAR13,40
2019,Albania,SPAR12,20
2019,Albania,SPAR01,73
2010,Azerbaijan,IHR01,25
2010,Azerbaijan,IHR02,50
2010,Azerbaijan,IHR03,84
2010,Azerbaijan,IHR04,83
2010,Azerbaijan,IHR12,21
2021,Azerbaijan,SPAR2-C04,76
2021,Azerbaijan,SPAR2-C05,100
2021,Azerbaijan,SPAR2-C06,90
2021,Azerbaijan,SPAR2-C07,93
2010,Austria,IHR01,50
2019,Albania,SPAR02,90
2019,Albania,SPAR09,47
2019,Albania,SPAR10,40
2019,Albania,SPAR11,80
2019,Albania,SPAR03,80
2019,Albania,SPAR04,60
2010,Azerbaijan,IHR13,60
2010,Azerbaijan,IHR11,40
2010,Azerbaijan,IHR09,54
2010,Azerbaijan,IHR06,70
2010,Azerbaijan,IHR05,35
2010,Austria,IHR02,83
2010,Austria,IHR12,78
2010,Austria,IHR06,100
2010,Austria,IHR03,96
2010,Austria,IHR09,75
2010,Austria,IHR10,92
2010,Austria,IHR11,93
2010,Austria,IHR04,100
2010,Austria,IHR05,100
2010,Austria,IHR07,66
2010,Azerbaijan,IHR07,16
2010,Azerbaijan,IHR08,70
2010,Azerbaijan,IHR10,84
2011,Azerbaijan,IHR13,58
2011,Azerbaijan,IHR02,73
2019,Albania,SPAR05,53
2019,Albania,SPAR06,100
2019,Albania,SPAR07,80
2019,Albania,SPAR08,40
2020,Albania,SPAR04,80
2020,Albania,SPAR05,60
2010,Austria,IHR08,92
2010,Austria,IHR13,93
2011,Austria,IHR01,75
2011,Austria,IHR09,100
2011,Austria,IHR08,90
2011,Austria,IHR04,100
2011,Austria,IHR07,100
2011,Austria,IHR13,100
2011,Austria,IHR10,100
2011,Austria,IHR02,90
2011,Azerbaijan,IHR05,100
2011,Azerbaijan,IHR06,57
2011,Azerbaijan,IHR04,86
2011,Azerbaijan,IHR09,64
2011,Azerbaijan,IHR11,75
2011,Austria,IHR12,100
2011,Austria,IHR06,100
2011,Austria,IHR05,100
2011,Austria,IHR03,95
2011,Austria,IHR11,100
2020,Albania,SPAR06,90
2020,Albania,SPAR07,60
2020,Albania,SPAR08,67
2020,Albania,SPAR12,80
2020,Albania,SPAR01,67
2020,Albania,SPAR02,100
2011,Azerbaijan,IHR12,75
2011,Azerbaijan,IHR10,100
2011,Azerbaijan,IHR01,75
2011,Azerbaijan,IHR03,90
2011,Azerbaijan,IHR08,80
2012,Austria,IHR07,80
2012,Austria,IHR06,100
2012,Austria,IHR05,100
2012,Austria,IHR04,100
2012,Austria,IHR13,93
2011,Azerbaijan,IHR07,100
2013,Azerbaijan,IHR03,100
2013,Azerbaijan,IHR11,93
2013,Azerbaijan,IHR10,100
2013,Azerbaijan,IHR01,50
2012,Austria,IHR12,92
2012,Austria,IHR11,100
2012,Austria,IHR10,100
2012,Austria,IHR09,91
2012,Austria,IHR01,75
2013,Azerbaijan,IHR07,100
2013,Azerbaijan,IHR12,85
2013,Azerbaijan,IHR09,86
2013,Azerbaijan,IHR13,77
2013,Azerbaijan,IHR02,83
2010,Armenia,IHR01,50
2010,Armenia,IHR02,66
2010,Armenia,IHR03,92
2010,Armenia,IHR04,85
2010,Armenia,IHR10,92
2012,Austria,IHR08,91
2012,Austria,IHR03,95
2012,Austria,IHR02,90
2013,Austria,IHR04,100
2013,Austria,IHR05,83
2013,Austria,IHR02,90
2013,Austria,IHR11,93
2013,Austria,IHR09,91
2013,Austria,IHR01,100
2013,Austria,IHR07,100
2020,Albania,SPAR03,80
2020,Albania,SPAR09,60
2020,Albania,SPAR10,60
2020,Albania,SPAR11,80
2020,Albania,SPAR13,60
2010,Bosnia and Herzegovina,IHR10,76
2013,Azerbaijan,IHR06,57
2013,Azerbaijan,IHR08,96
2013,Azerbaijan,IHR04,94
2013,Azerbaijan,IHR05,75
2014,Azerbaijan,IHR12,85
2014,Azerbaijan,IHR13,77
2014,Azerbaijan,IHR02,83
2014,Azerbaijan,IHR03,100
2014,Azerbaijan,IHR04,94
2014,Azerbaijan,IHR05,75
2013,Austria,IHR08,100
2013,Austria,IHR03,80
