Year,GeoAreaName,Value
2016,Latvia,2
2017,Latvia,1.7
2018,Latvia,5.7
2019,Latvia,12.28
2020,Latvia,13.64
2016,Lithuania,11.6
2017,Lithuania,8.8
2018,Lithuania,8.4
2019,Lithuania,9.3
2020,Lithuania,9.8
2017,Luxembourg,9.5
2018,Luxembourg,7.7
2019,Luxembourg,6.22
2020,Luxembourg,3.08
2017,Malta,43.3
2018,Malta,36.4
2019,Malta,22.08
2020,Malta,19.57
2020,Republic of Moldova,55.56
2017,Netherlands,1.5
2018,Netherlands,1.2
2019,Netherlands,1.65
2020,Netherlands,1.54
2016,Norway,1.1
2017,Norway,1
2018,Norway,0.9
2019,Norway,1.27
2020,Norway,2.01
2017,Poland,15.2
2018,Poland,15.9
2019,Poland,14.94
2020,Poland,14.7
2016,Sweden,1.8
2017,Sweden,1.2
2018,Sweden,1.9
2019,Sweden,1.8
2020,Sweden,5.12
2016,Switzerland,4.9
2017,Switzerland,4.7
2018,Switzerland,5.8
2019,Switzerland,3.91
2020,Switzerland,25
2017,Austria,5.9
2018,Austria,6.4
2019,Austria,5.26
2020,Austria,4.47
2020,Belgium,6.79
2016,Bosnia and Herzegovina,18
2017,Bosnia and Herzegovina,25.8
2018,Bosnia and Herzegovina,16.3
2019,Bosnia and Herzegovina,10.55
2020,Bosnia and Herzegovina,23.21
2017,Croatia,28.5
2018,Croatia,26.4
2019,Croatia,24.86
2020,Croatia,50
2017,Cyprus,31.2
2018,Cyprus,40.2
2019,Cyprus,100
2020,Cyprus,49.52
2017,Czechia,13.2
2018,Czechia,13.6
2019,Czechia,12.52
2020,Czechia,9.33
2020,Denmark,1.94
2016,Finland,2.2
2017,Finland,1.9
2018,Finland,2
2019,Finland,2.07
2020,Finland,1.19
2017,France,12.9
2018,France,12.1
2019,France,12.52
2020,France,12.08
2017,Georgia,4.2
2018,Georgia,11.6
2019,Georgia,12.52
2020,Georgia,20.14
2016,Germany,10.3
2017,Germany,9.1
2018,Germany,7.6
2019,Germany,6.8
2020,Germany,5.58
2017,Greece,38.4
2018,Greece,36.4
2019,Greece,43.41
2020,Greece,41.16
2017,Ireland,16.3
2018,Ireland,12.4
2019,Ireland,14.96
2020,Ireland,13.99
2020,Ukraine,18.07
2016,North Macedonia,48.5
2017,North Macedonia,54.4
2018,North Macedonia,53.5
2019,North Macedonia,45
2020,North Macedonia,100
2018,Italy,34
2019,Italy,38.75
2020,Italy,36.55
2020,Italy,36.55
