Year,GeoAreaName,Type of skill,Value
2019,Albania,COPA,0.82791
2019,Albania,SOFT,0.82642
2019,Albania,PCPR,0.76814
2019,Albania,EPRS,1.04374
2019,Albania,TRAF,0.8558
2020,Albania,EPRS,0.95598
2020,Albania,PRVCY,0.94125
2020,Albania,TRAF,0.93528
2020,Albania,SOFT,0.90053
2020,Albania,COPA,0.87511
2020,Albania,PCPR,0.80648
2021,Albania,EPRS,1.06312
2021,Albania,TRAF,0.93677
2021,Albania,COPA,0.92706
2021,Albania,PCPR,0.92522
2021,Albania,SOFT,0.90635
2021,Albania,VRFY,0.88916
2021,Albania,PRVCY,0.82756
2017,Azerbaijan,TRAF,0.94642
2017,Azerbaijan,SOFT,0.94642
2017,Azerbaijan,ARSP,0.94642
2017,Azerbaijan,CMFL,0.94641
2017,Azerbaijan,EMAIL,0.94641
2017,Azerbaijan,COPA,0.94641
2017,Azerbaijan,INST,0.94641
2017,Azerbaijan,EPRS,0.94641
2017,Azerbaijan,PCPR,0.9464
2018,Azerbaijan,TRAF,0.9487
2018,Azerbaijan,SOFT,0.9487
2018,Azerbaijan,ARSP,0.9487
2018,Azerbaijan,CMFL,0.9487
2018,Azerbaijan,COPA,0.9487
2018,Azerbaijan,PCPR,0.94869
2018,Azerbaijan,EPRS,0.9487
2018,Azerbaijan,INST,0.9487
2018,Azerbaijan,EMAIL,0.9487
2019,Azerbaijan,TRAF,0.95089
2019,Azerbaijan,SOFT,0.95089
2019,Azerbaijan,EMAIL,0.95089
2019,Azerbaijan,COPA,0.95089
2019,Azerbaijan,ARSP,0.95089
2019,Azerbaijan,INST,0.95088
2019,Azerbaijan,EPRS,0.95088
2020,Azerbaijan,INST,0.95187
2020,Azerbaijan,ARSP,0.95187
2020,Azerbaijan,EMAIL,0.95187
2020,Azerbaijan,TRAF,0.95187
2020,Azerbaijan,COPA,0.95187
2020,Azerbaijan,SOFT,0.95187
2020,Azerbaijan,EPRS,0.95187
2021,Azerbaijan,INST,0.9537
2021,Azerbaijan,EMAIL,0.9537
2021,Azerbaijan,ARSP,0.9537
2021,Azerbaijan,COPA,0.9537
2021,Azerbaijan,SOFT,0.9537
2021,Azerbaijan,EPRS,0.9537
2021,Azerbaijan,TRAF,0.9537
2010,Austria,EMAIL,0.88451
2011,Austria,EMAIL,0.89925
2011,Austria,COPA,0.85449
2011,Austria,ARSP,0.8325
2011,Austria,EPRS,0.8178
2011,Austria,TRAF,0.75093
2011,Austria,INST,0.66394
2011,Austria,PCPR,0.50071
2011,Austria,CMFL,0.85639
2012,Austria,INST,0.63789
2015,Serbia,TRAF,0.82762
2015,Serbia,CMFL,0.74862
2015,Serbia,PCPR,0.46338
2015,Serbia,SOFT,0.62242
2015,Serbia,ARSP,0.86423
2015,Serbia,EPRS,0.89738
2015,Serbia,COPA,0.85515
2016,Serbia,PCPR,0.66218
2016,Serbia,EPRS,1.06622
2016,Serbia,CMFL,0.96458
2016,Serbia,ARSP,0.9377
2012,Austria,CMFL,0.86671
2012,Austria,COPA,0.86106
2012,Austria,TRAF,0.76545
2012,Austria,EPRS,0.75213
2012,Austria,ARSP,0.7085
2012,Austria,PCPR,0.38681
2013,Austria,EMAIL,0.88019
2014,Austria,CMFL,0.87705
2014,Austria,COPA,0.82507
2014,Austria,TRAF,0.82227
2014,Austria,EPRS,0.77308
2014,Austria,ARSP,0.73067
2014,Austria,INST,0.67458
2014,Austria,PCPR,0.39922
2015,Austria,COPA,0.82544
2015,Austria,CMFL,0.79792
2015,Austria,TRAF,0.7586
2015,Austria,EPRS,0.72431
2015,Austria,ARSP,0.65888
2015,Austria,SOFT,0.65582
2015,Austria,PCPR,0.21178
2016,Austria,CMFL,0.83966
2016,Austria,EPRS,0.83565
2016,Austria,TRAF,0.81299
2016,Austria,PCPR,0.26105
2017,Austria,EPRS,0.86365
2017,Austria,CMFL,0.81687
2017,Austria,TRAF,0.79292
2017,Austria,SOFT,0.73823
2017,Austria,PCPR,0.23462
2021,Austria,PCPR,0.29978
2021,Austria,COPA,0.93401
2021,Austria,SOFT,0.83237
2010,Belgium,EMAIL,0.91185
2011,Belgium,EMAIL,0.93133
2011,Belgium,COPA,0.92625
2011,Belgium,CMFL,0.91253
2011,Belgium,ARSP,0.84858
2011,Belgium,TRAF,0.80546
2011,Belgium,EPRS,0.7985
2011,Belgium,INST,0.67628
2011,Belgium,PCPR,0.37624
2012,Belgium,COPA,0.92064
2012,Belgium,CMFL,0.90895
2012,Belgium,EPRS,0.8399
2012,Belgium,ARSP,0.79913
2012,Belgium,INST,0.66475
2012,Belgium,PCPR,0.39528
2012,Belgium,TRAF,0.8732
2013,Belgium,EMAIL,0.92674
2014,Belgium,COPA,0.94598
2014,Belgium,CMFL,0.89887
2014,Belgium,TRAF,0.87605
2014,Belgium,EPRS,0.84057
2014,Belgium,ARSP,0.83489
2014,Belgium,INST,0.67169
2014,Belgium,PCPR,0.35818
2015,Belgium,EPRS,0.83212
2015,Belgium,ARSP,0.79783
2015,Belgium,SOFT,0.76838
2015,Belgium,PCPR,0.21835
2015,Belgium,COPA,0.94053
2015,Belgium,CMFL,0.91259
2015,Belgium,TRAF,0.89687
2016,Belgium,COPA,0.92032
2016,Belgium,CMFL,0.90531
2016,Belgium,TRAF,0.85501
2016,Belgium,EPRS,0.83851
2016,Belgium,ARSP,0.82761
2016,Belgium,INST,0.68194
2016,Belgium,PCPR,0.29338
2017,Belgium,COPA,0.98687
2017,Belgium,CMFL,0.97929
2017,Belgium,TRAF,0.89889
2017,Belgium,EPRS,0.85393
2017,Belgium,ARSP,0.85226
2017,Belgium,INST,0.74347
2016,Serbia,TRAF,0.94092
2017,Serbia,EPRS,0.80461
2017,Serbia,ARSP,0.7192
2017,Serbia,PCPR,0.50776
2017,Serbia,CMFL,0.85615
2017,Serbia,TRAF,0.81544
2021,Serbia,COPA,0.85704
2021,Serbia,ARSP,0.8435
2021,Serbia,SOFT,0.8267
2021,Serbia,PCPR,0.33245
2010,Slovakia,EMAIL,0.92934
2017,Belgium,PCPR,0.32243
2019,Belgium,EPRS,0.91958
2019,Belgium,COPA,0.90126
2019,Belgium,TRAF,0.88762
2019,Belgium,SOFT,0.82127
2019,Belgium,ARSP,0.78542
2019,Belgium,PCPR,0.2338
2021,Belgium,EPRS,0.89506
2021,Belgium,PCPR,0.15185
2021,Belgium,SOFT,0.78785
2021,Belgium,ARSP,0.81405
2011,Slovakia,EMAIL,0.96622
2011,Slovakia,CMFL,0.96179
2011,Slovakia,COPA,0.99046
2011,Slovakia,PCPR,0.27205
2011,Slovakia,INST,0.58292
2011,Slovakia,TRAF,0.79431
2011,Slovakia,EPRS,0.74336
2011,Slovakia,ARSP,0.97342
2012,Slovakia,TRAF,0.8406
2012,Slovakia,INST,0.61502
2012,Slovakia,EPRS,0.80014
2012,Slovakia,COPA,0.96652
2021,Belgium,TRAF,0.84353
2021,Belgium,VRFY,0.85188
2017,Bosnia and Herzegovina,ARSP,1.03128
2017,Bosnia and Herzegovina,CMFL,0.94207
2017,Bosnia and Herzegovina,TRAF,0.88954
2017,Bosnia and Herzegovina,SOFT,0.79713
2017,Bosnia and Herzegovina,EPRS,0.73845
2017,Bosnia and Herzegovina,PCPR,0.31226
2017,Bosnia and Herzegovina,COPA,0.84348
2019,Bosnia and Herzegovina,CMFL,0.94222
2012,Slovakia,CMFL,0.95145
2012,Slovakia,ARSP,0.94974
2012,Slovakia,PCPR,0.35154
2013,Slovakia,EMAIL,1.00987
2014,Slovakia,ARSP,1.00009
2014,Slovakia,TRAF,0.81134
2014,Slovakia,EPRS,0.80272
2014,Slovakia,INST,0.60581
2014,Slovakia,PCPR,0.4288
2014,Slovakia,COPA,0.99642
2014,Slovakia,CMFL,0.99588
2015,Slovakia,ARSP,0.95587
2015,Slovakia,EPRS,0.96592
2015,Slovakia,CMFL,0.94739
2015,Slovakia,TRAF,0.87452
2015,Slovakia,SOFT,0.54945
2015,Slovakia,PCPR,0.24962
2016,Slovakia,TRAF,0.86529
2016,Slovakia,ARSP,0.92724
2016,Slovakia,SOFT,0.59727
2016,Slovakia,PCPR,0.27576
2016,Slovakia,EPRS,0.98523
2016,Slovakia,CMFL,0.92601
2019,Slovakia,EMAIL,0.97513
2019,Bosnia and Herzegovina,TRAF,0.91255
2019,Bosnia and Herzegovina,EMAIL,0.75366
2019,Bosnia and Herzegovina,COPA,0.73837
2019,Bosnia and Herzegovina,ARSP,0.70046
2019,Bosnia and Herzegovina,EPRS,0.69955
2019,Bosnia and Herzegovina,PCPR,0.2854
2021,Bosnia and Herzegovina,TRAF,0.9637
2021,Bosnia and Herzegovina,COPA,0.92088
2021,Bosnia and Herzegovina,EMAIL,0.92076
2021,Bosnia and Herzegovina,EPRS,0.8413
2019,Slovakia,EPRS,0.99968
2019,Slovakia,CMFL,0.91527
2019,Slovakia,PCPR,0.4235
2019,Slovakia,TRAF,0.95772
2021,Slovakia,EPRS,0.90056
2021,Slovakia,EMAIL,1.0722
2021,Slovakia,COPA,0.94442
2021,Slovakia,ARSP,0.87732
2021,Slovakia,SOFT,0.78671
2021,Slovakia,VRFY,0.76398
2021,Bosnia and Herzegovina,SOFT,0.82858
2021,Bosnia and Herzegovina,SCRTY,0.82165
2021,Bosnia and Herzegovina,INST,0.74426
2021,Bosnia and Herzegovina,PRVCY,0.68684
2010,Bulgaria,EMAIL,1.01743
2011,Bulgaria,ARSP,1.12645
2011,Bulgaria,COPA,1.05405
2011,Bulgaria,CMFL,0.98181
2011,Bulgaria,EMAIL,0.97381
2011,Bulgaria,TRAF,0.82103
2011,Bulgaria,EPRS,0.82077
2011,Bulgaria,PCPR,0.72939
2011,Bulgaria,INST,0.66808
2012,Bulgaria,ARSP,1.1025
2012,Bulgaria,COPA,1.07228
2012,Bulgaria,CMFL,1.01636
2012,Bulgaria,EPRS,0.90869
2012,Bulgaria,TRAF,0.86132
2012,Bulgaria,PCPR,0.73575
2012,Bulgaria,INST,0.71819
2013,Bulgaria,EMAIL,0.99284
2014,Bulgaria,ARSP,1.04072
2014,Bulgaria,COPA,0.98967
2014,Bulgaria,CMFL,0.97907
2014,Bulgaria,TRAF,0.84518
2014,Bulgaria,EPRS,0.81629
2014,Bulgaria,INST,0.6277
2014,Bulgaria,PCPR,0.59027
2016,Bulgaria,EPRS,1.06221
2016,Bulgaria,CMFL,0.98127
2016,Bulgaria,TRAF,0.9681
2016,Bulgaria,PCPR,0.33573
2017,Bulgaria,TRAF,0.93992
2017,Bulgaria,PCPR,0.32713
2017,Bulgaria,EPRS,1.04839
2017,Bulgaria,CMFL,0.96344
2019,Bulgaria,EPRS,1.08544
2019,Bulgaria,COPA,0.98293
2019,Bulgaria,TRAF,0.95414
2019,Bulgaria,PCPR,0.33765
2021,Bulgaria,COPA,1.01101
2021,Bulgaria,EPRS,0.99117
2021,Bulgaria,VRFY,0.86942
2021,Slovakia,PCPR,0.24545
2010,Slovenia,EMAIL,0.99917
2011,Slovenia,ARSP,1.04308
2011,Slovenia,COPA,0.96104
2011,Slovenia,INST,0.6417
2011,Slovenia,PCPR,0.26956
2011,Slovenia,TRAF,0.82936
2011,Slovenia,CMFL,0.93866
2011,Slovenia,EMAIL,0.96937
2011,Slovenia,EPRS,0.9926
2012,Slovenia,EPRS,0.88537
2012,Slovenia,COPA,0.94299
2012,Slovenia,ARSP,0.91016
2012,Slovenia,CMFL,0.88326
2012,Slovenia,TRAF,0.75334
2012,Slovenia,INST,0.67213
2012,Slovenia,PCPR,0.38526
2013,Slovenia,EMAIL,1.00344
2014,Slovenia,ARSP,0.9816
2014,Slovenia,COPA,0.97803
2014,Slovenia,TRAF,0.88968
2014,Slovenia,EPRS,0.90136
2014,Slovenia,CMFL,0.96606
2021,Bulgaria,PCPR,0.46051
2018,Belarus,INST,0.65339
2018,Belarus,PCPR,0.39468
2018,Belarus,EPRS,1.10445
2018,Belarus,EMAIL,1.08475
2018,Belarus,ARSP,1.09745
2018,Belarus,COPA,1.08053
2018,Belarus,CMFL,1.04292
2018,Belarus,TRAF,0.937
2018,Belarus,SOFT,0.68592
2014,Slovenia,INST,0.63216
2014,Slovenia,PCPR,0.24365
2015,Slovenia,EPRS,1.06673
2015,Slovenia,CMFL,1.00655
2015,Slovenia,PCPR,0.33119
2015,Slovenia,TRAF,0.96917
2015,Slovenia,ARSP,1.02301
2015,Slovenia,SOFT,0.70433
2017,Slovenia,TRAF,0.95665
2017,Slovenia,PCPR,0.17359
2017,Slovenia,CMFL,1.06642
2019,Belarus,EPRS,1.27801
2019,Belarus,ARSP,1.15371
2019,Belarus,COPA,1.07999
2019,Belarus,EMAIL,1.07367
2019,Belarus,TRAF,0.98943
2019,Belarus,INST,0.71192
2019,Belarus,SOFT,0.70431
2019,Belarus,PCPR,0.54723
2020,Belarus,ARSP,1.2061
2020,Belarus,COPA,1.1146
2020,Belarus,EPRS,1.10907
2020,Belarus,EMAIL,1.09528
2020,Belarus,TRAF,1.03337
2020,Belarus,INST,0.72683
2020,Belarus,SOFT,0.70591
2020,Belarus,PCPR,0.23485
2021,Belarus,COPA,1.12668
2021,Belarus,EMAIL,1.11605
2021,Belarus,INST,0.69116
2021,Belarus,TRAF,0.99791
2019,Slovenia,EPRS,1.18863
2019,Slovenia,COPA,0.96409
2019,Slovenia,TRAF,0.95696
2019,Slovenia,SOFT,0.62922
2019,Slovenia,ARSP,1.03306
2021,Slovenia,ARSP,0.8708
2021,Slovenia,VRFY,0.77869
2021,Slovenia,COPA,0.98435
2021,Slovenia,TRAF,0.98435
2021,Slovenia,PCPR,0.30076
2021,Slovenia,SOFT,0.7645
