Year,GeoAreaName,Education level,Value
2016,Armenia,PRIMAR,20.01955
2016,Armenia,SECOND,72.06775
2018,Armenia,SECOND,100
2018,Armenia,PRIMAR,100
2018,Armenia,LOWSEC,100
2018,Armenia,UPPSEC,100
2019,Armenia,UPPSEC,100
2019,Armenia,LOWSEC,100
2019,Armenia,PRIMAR,100
2019,Armenia,SECOND,100
2020,Armenia,SECOND,100
2020,Armenia,PRIMAR,100
2020,Armenia,LOWSEC,100
2020,Armenia,UPPSEC,100
2021,Armenia,UPPSEC,100
2021,Armenia,LOWSEC,100
2021,Armenia,PRIMAR,100
2021,Armenia,SECOND,100
2010,Belgium,LOWSEC,100
2010,Belgium,UPPSEC,100
2010,Belgium,PRIMAR,100
2010,Belgium,SECOND,100
2011,Spain,SECOND,100
2012,Spain,PRIMAR,100
2012,Spain,SECOND,100
2012,Spain,UPPSEC,100
2012,Spain,LOWSEC,100
2013,Spain,LOWSEC,100
2013,Spain,UPPSEC,100
2013,Spain,PRIMAR,100
2013,Spain,SECOND,100
2014,Spain,SECOND,100
2014,Spain,PRIMAR,100
2012,Belgium,SECOND,100
2012,Belgium,PRIMAR,100
2012,Belgium,UPPSEC,100
2012,Belgium,LOWSEC,100
2013,Belgium,LOWSEC,100
2013,Belgium,UPPSEC,100
2013,Belgium,PRIMAR,100
2013,Belgium,SECOND,100
2014,Belgium,SECOND,100
2014,Belgium,PRIMAR,100
2014,Belgium,UPPSEC,100
2014,Spain,UPPSEC,100
2014,Spain,LOWSEC,100
2015,Spain,LOWSEC,100
2015,Spain,UPPSEC,100
2015,Spain,PRIMAR,100
2015,Spain,SECOND,100
2016,Spain,SECOND,100
2016,Spain,UPPSEC,100
2016,Spain,LOWSEC,100
2016,Spain,PRIMAR,100
2017,Spain,PRIMAR,100
2014,Belgium,LOWSEC,100
2015,Belgium,LOWSEC,100
2015,Belgium,UPPSEC,100
2015,Belgium,PRIMAR,100
2015,Belgium,SECOND,100
2016,Belgium,SECOND,100
2016,Belgium,PRIMAR,100
2016,Belgium,UPPSEC,100
2016,Belgium,LOWSEC,100
2017,Belgium,LOWSEC,100
2017,Belgium,UPPSEC,100
2017,Spain,LOWSEC,100
2017,Spain,UPPSEC,100
2017,Spain,SECOND,100
2018,Spain,SECOND,100
2018,Spain,UPPSEC,100
2018,Spain,LOWSEC,100
2018,Spain,PRIMAR,100
2019,Spain,PRIMAR,100
2019,Spain,LOWSEC,100
2019,Spain,UPPSEC,100
2019,Spain,SECOND,100
2017,Albania,UPPSEC,83.13492
2018,Albania,UPPSEC,81.61616
2018,Albania,LOWSEC,71.30112
2018,Albania,SECOND,74.07609
2018,Albania,PRIMAR,50.37594
2019,Albania,PRIMAR,49.01692
2019,Albania,SECOND,82.50283
2019,Albania,LOWSEC,82.82112
2019,Albania,UPPSEC,81.69014
2020,Albania,UPPSEC,100
2020,Albania,LOWSEC,100
2017,Belgium,PRIMAR,100
2017,Belgium,SECOND,100
2018,Belgium,SECOND,100
2018,Belgium,UPPSEC,100
2018,Belgium,LOWSEC,100
2018,Belgium,PRIMAR,100
2019,Belgium,PRIMAR,96.81515
2018,Bosnia and Herzegovina,SECOND,100
2019,Bosnia and Herzegovina,PRIMAR,27.8542
2015,Bulgaria,SECOND,92.34822
2015,Bulgaria,PRIMAR,43.30516
2018,Bulgaria,SECOND,99.57648
2019,Bulgaria,PRIMAR,36.05221
2016,Belarus,UPPSEC,100
2016,Belarus,LOWSEC,100
2016,Belarus,PRIMAR,100
2016,Belarus,SECOND,100
2017,Belarus,SECOND,100
2017,Belarus,PRIMAR,99.9678
2017,Belarus,LOWSEC,100
2017,Belarus,UPPSEC,100
2018,Belarus,UPPSEC,100
2020,Spain,SECOND,100
2020,Spain,UPPSEC,100
2020,Spain,LOWSEC,100
2020,Spain,PRIMAR,100
2021,Spain,PRIMAR,100
2021,Spain,LOWSEC,100
2021,Spain,UPPSEC,100
2021,Spain,SECOND,100
2015,Sweden,SECOND,94.69246
2015,Sweden,PRIMAR,87.19054
2018,Sweden,SECOND,99.07686
2018,Belarus,LOWSEC,100
2018,Belarus,PRIMAR,100
2018,Belarus,SECOND,100
2019,Belarus,SECOND,100
2019,Belarus,LOWSEC,100
2019,Belarus,PRIMAR,100
2019,Belarus,UPPSEC,100
2020,Belarus,UPPSEC,100
2020,Belarus,PRIMAR,100
2020,Belarus,SECOND,100
2020,Belarus,LOWSEC,100
2020,Albania,SECOND,100
2020,Albania,PRIMAR,54.32331
2021,Albania,PRIMAR,83.02048
2021,Albania,SECOND,78.32335
2021,Albania,LOWSEC,83.02048
2021,Albania,UPPSEC,67.26908
2016,Azerbaijan,SECOND,98.19868
2016,Azerbaijan,UPPSEC,98.73303
2016,Azerbaijan,PRIMAR,94.28507
2016,Azerbaijan,LOWSEC,97.76916
2017,Azerbaijan,LOWSEC,97.33139
2017,Azerbaijan,PRIMAR,93.93531
2017,Azerbaijan,UPPSEC,98.28158
2017,Azerbaijan,SECOND,97.75507
2018,Azerbaijan,SECOND,97.68568
2018,Azerbaijan,UPPSEC,98.37202
2018,Azerbaijan,PRIMAR,94.38936
2018,Azerbaijan,LOWSEC,97.13244
2019,Azerbaijan,LOWSEC,97.40165
2019,Azerbaijan,PRIMAR,94.88624
