Year,GeoAreaName,Education level,Sex,Value
2018,Albania,PRIMAR,FEMALE,90.90579
2018,Albania,PREPRI,FEMALE,85.82278
2018,Albania,PREPRI,MALE,0
2018,Albania,LOWSEC,FEMALE,59.39298
2018,Albania,LOWSEC,BOTHSEX,55.97
2018,Albania,LOWSEC,MALE,49.04714
2018,Albania,PRIMAR,MALE,84.3686
2018,Albania,PREPRI,BOTHSEX,85.82278
2018,Albania,PRIMAR,BOTHSEX,89.92081
2020,Albania,LOWSEC,MALE,60.34557
2020,Albania,SECOND,BOTHSEX,52.39228
2020,Albania,LOWSEC,BOTHSEX,51.32635
2020,Albania,LOWSEC,FEMALE,47.1803
2020,Albania,UPPSEC,FEMALE,57.00304
2020,Albania,SECOND,MALE,55.73248
2020,Albania,UPPSEC,BOTHSEX,54.16667
2020,Albania,SECOND,FEMALE,50.81885
2020,Albania,UPPSEC,MALE,48.38266
2021,Albania,UPPSEC,MALE,59.14454
2021,Albania,SECOND,FEMALE,65.10046
2021,Albania,UPPSEC,BOTHSEX,60.92731
2021,Albania,SECOND,MALE,71.21024
2021,Albania,UPPSEC,FEMALE,61.75068
2021,Albania,PRIMAR,FEMALE,60.08348
2021,Albania,SECOND,BOTHSEX,67.00588
2021,Albania,LOWSEC,MALE,78.40035
2021,Albania,PRIMAR,MALE,72.2099
2021,Albania,PRIMAR,BOTHSEX,61.76833
2021,Albania,LOWSEC,FEMALE,67.03762
2021,Albania,LOWSEC,BOTHSEX,70.55423
2000,Croatia,PRIMAR,FEMALE,100
2000,Croatia,LOWSEC,MALE,100
2000,Croatia,PRIMAR,MALE,100
2000,Croatia,PREPRI,MALE,89.47368
2000,Croatia,PREPRI,BOTHSEX,79.19021
2000,Croatia,PREPRI,FEMALE,79.15945
2000,Croatia,LOWSEC,BOTHSEX,100
2000,Croatia,LOWSEC,FEMALE,100
2000,Croatia,PRIMAR,BOTHSEX,100
2000,Croatia,UPPSEC,FEMALE,100
2000,Croatia,UPPSEC,BOTHSEX,100
2000,Croatia,SECOND,FEMALE,100
2000,Croatia,UPPSEC,MALE,100
2000,Croatia,SECOND,MALE,100
2000,Croatia,SECOND,BOTHSEX,100
2001,Croatia,SECOND,MALE,100
2001,Croatia,SECOND,BOTHSEX,100
2001,Croatia,UPPSEC,MALE,100
2001,Croatia,SECOND,FEMALE,100
2001,Croatia,UPPSEC,BOTHSEX,100
2001,Croatia,UPPSEC,FEMALE,100
2001,Croatia,PRIMAR,BOTHSEX,100
2001,Croatia,LOWSEC,FEMALE,100
2001,Croatia,LOWSEC,BOTHSEX,100
2001,Croatia,PREPRI,FEMALE,80.58833
2001,Croatia,PREPRI,BOTHSEX,80.62441
2001,Croatia,PREPRI,MALE,94.11765
2001,Croatia,PRIMAR,MALE,100
2001,Croatia,LOWSEC,MALE,100
2001,Croatia,PRIMAR,FEMALE,100
2021,Albania,PREPRI,MALE,0
2021,Albania,PREPRI,BOTHSEX,53.39731
2021,Albania,PREPRI,FEMALE,53.39731
2000,Azerbaijan,PRIMAR,MALE,99.98452
2000,Azerbaijan,PREPRI,FEMALE,79.15468
2000,Azerbaijan,PRIMAR,FEMALE,99.9226
2000,Azerbaijan,PREPRI,BOTHSEX,79.1496
2000,Azerbaijan,PREPRI,MALE,50
2000,Azerbaijan,PRIMAR,BOTHSEX,99.93328
2001,Azerbaijan,PRIMAR,BOTHSEX,99.94324
2001,Azerbaijan,PREPRI,MALE,0
