Year,GeoAreaName,Age,Location,Sex,Value
2020,Switzerland,45-54,ALLAREA,FEMALE,2.8875
2020,Switzerland,65+,URBAN,MALE,0.12917
2020,Switzerland,55-64,URBAN,MALE,0.55833
2020,Switzerland,15-24,RURAL,FEMALE,1.2125
2020,Switzerland,15+,RURAL,FEMALE,3.03333
2020,Switzerland,65+,ALLAREA,MALE,0.15417
2020,Switzerland,55-64,ALLAREA,MALE,0.47083
2020,Switzerland,45-54,ALLAREA,MALE,2.73333
2020,Switzerland,25-44,RURAL,MALE,4.49583
2020,Switzerland,25-44,ALLAREA,FEMALE,7.22917
2020,Switzerland,15-24,ALLAREA,FEMALE,1.57917
2020,Switzerland,15+,ALLAREA,FEMALE,3.05
2020,Switzerland,15-24,ALLAREA,MALE,0.90417
2020,Switzerland,15-24,URBAN,FEMALE,2.55833
2020,Switzerland,45-54,RURAL,MALE,2.42083
2020,Switzerland,25-44,URBAN,MALE,2.90417
2020,Switzerland,15+,URBAN,MALE,1.77083
2020,Switzerland,15+,URBAN,FEMALE,3.3
2011,Albania,65+,URBAN,MALE,0.55556
2011,Albania,10+,RURAL,FEMALE,3.33333
2011,Albania,65+,ALLAREA,MALE,0.34722
2011,Albania,10+,RURAL,MALE,0.34722
2011,Albania,10+,ALLAREA,FEMALE,2.98611
2011,Albania,10+,ALLAREA,MALE,0.34722
2011,Albania,65+,ALLAREA,FEMALE,1.38889
2011,Albania,65+,RURAL,FEMALE,1.11111
2011,Albania,65+,URBAN,FEMALE,1.59722
2020,Switzerland,65+,RURAL,MALE,0.18333
2020,Switzerland,55-64,RURAL,MALE,0.41667
2020,Switzerland,15-24,RURAL,MALE,0.90417
2020,Switzerland,15+,RURAL,MALE,1.97917
2020,Switzerland,65+,RURAL,FEMALE,0.10833
2020,Switzerland,55-64,RURAL,FEMALE,0.24583
2020,Switzerland,45-54,RURAL,FEMALE,3.07917
2020,Switzerland,45-54,URBAN,MALE,2.61667
2020,Switzerland,25-44,ALLAREA,MALE,3.85417
2020,Switzerland,25-44,RURAL,FEMALE,7.84167
2020,Switzerland,15+,ALLAREA,MALE,1.98333
2020,Switzerland,65+,ALLAREA,FEMALE,0.1125
2020,Switzerland,55-64,ALLAREA,FEMALE,0.40833
2020,Switzerland,15-24,URBAN,MALE,0.83333
2020,Switzerland,65+,URBAN,FEMALE,0.1375
2020,Switzerland,55-64,URBAN,FEMALE,0.51667
2020,Switzerland,45-54,URBAN,FEMALE,3.4375
2020,Switzerland,25-44,URBAN,FEMALE,6.70417
2011,Albania,10+,URBAN,FEMALE,2.70833
2011,Albania,10+,URBAN,MALE,0.41667
2011,Albania,65+,RURAL,MALE,0.27778
2009,Austria,10+,ALLAREA,FEMALE,2.89381
2009,Austria,65+,RURAL,MALE,0.43218
2009,Austria,55-64,RURAL,MALE,0.48312
2009,Austria,45-54,RURAL,MALE,0.7796
2009,Austria,15+,URBAN,FEMALE,2.95203
2009,Austria,55-64,URBAN,FEMALE,0.69722
2009,Austria,45-54,URBAN,FEMALE,0.95092
2006,Türkiye,25-44,ALLAREA,FEMALE,4.93285
2006,Türkiye,55-64,RURAL,MALE,0.66685
2006,Türkiye,15-24,RURAL,FEMALE,3.63657
2006,Türkiye,15+,RURAL,FEMALE,3.20763
2006,Türkiye,65+,ALLAREA,MALE,0.52611
2006,Türkiye,65+,RURAL,FEMALE,1.09408
2006,Türkiye,55-64,ALLAREA,MALE,0.65332
2006,Türkiye,45-54,ALLAREA,MALE,0.71423
2006,Türkiye,15+,RURAL,MALE,0.90013
2009,Austria,25-44,URBAN,FEMALE,6.76248
2009,Austria,25-44,RURAL,MALE,2.41844
2009,Austria,10+,RURAL,MALE,1.15612
2009,Austria,65+,RURAL,FEMALE,0.57632
2009,Austria,65+,URBAN,MALE,0.87505
2009,Austria,55-64,URBAN,MALE,0.28427
2009,Austria,10+,ALLAREA,MALE,1.37771
2009,Austria,65+,ALLAREA,FEMALE,0.58183
2009,Austria,15-24,ALLAREA,FEMALE,1.52585
2009,Austria,15+,ALLAREA,FEMALE,3.03468
2009,Austria,45-54,URBAN,MALE,3.37623
2009,Austria,25-44,URBAN,MALE,2.89903
2009,Austria,15+,URBAN,MALE,1.90707
2009,Austria,10+,URBAN,MALE,1.78134
2009,Austria,15-24,URBAN,MALE,0.08549
2009,Austria,10+,RURAL,FEMALE,2.93076
2009,Austria,10+,URBAN,FEMALE,2.82799
2009,Austria,15-24,URBAN,FEMALE,1.01553
2009,Austria,65+,URBAN,FEMALE,0.5936
2009,Austria,45-54,RURAL,FEMALE,1.28937
2009,Austria,25-44,RURAL,FEMALE,7.08241
2009,Austria,15-24,RURAL,FEMALE,1.83995
2009,Austria,15+,RURAL,FEMALE,3.0818
2009,Austria,55-64,RURAL,FEMALE,1.09529
2009,Austria,15-24,RURAL,MALE,0.61662
2009,Austria,15+,RURAL,MALE,1.23275
2009,Austria,55-64,ALLAREA,FEMALE,0.95407
2009,Austria,45-54,ALLAREA,FEMALE,1.16339
2009,Austria,15+,ALLAREA,MALE,1.47158
2009,Austria,65+,ALLAREA,MALE,0.58187
2009,Austria,55-64,ALLAREA,MALE,0.4186
2009,Austria,45-54,ALLAREA,MALE,1.70267
2009,Austria,25-44,ALLAREA,MALE,2.59618
2009,Austria,15-24,ALLAREA,MALE,0.42513
2009,Austria,25-44,ALLAREA,FEMALE,6.95977
2004,Armenia,15+,ALLAREA,MALE,1.11111
2004,Armenia,15+,ALLAREA,FEMALE,3.75
2008,Armenia,55-64,ALLAREA,MALE,0.62083
2008,Armenia,45-54,ALLAREA,MALE,0.2875
2006,Türkiye,45-54,URBAN,MALE,0.81107
2006,Türkiye,65+,URBAN,MALE,0.43942
2006,Türkiye,55-64,URBAN,MALE,0.64241
2006,Türkiye,15-24,URBAN,FEMALE,2.40684
2006,Türkiye,25-44,URBAN,MALE,1.25872
2006,Türkiye,55-64,RURAL,FEMALE,1.57399
2006,Türkiye,65+,RURAL,MALE,0.60919
2006,Türkiye,15+,URBAN,FEMALE,3.33968
2006,Türkiye,15-24,ALLAREA,FEMALE,2.85674
2008,Armenia,25-44,ALLAREA,MALE,0.96667
2008,Armenia,15-24,ALLAREA,MALE,0.63333
2008,Armenia,15-24,ALLAREA,FEMALE,3.62083
2008,Armenia,15+,URBAN,MALE,0.72083
2008,Armenia,65+,URBAN,FEMALE,1.725
2008,Armenia,55-64,URBAN,FEMALE,1.59583
