Year,GeoAreaName,Age,Sex,Value
2002,Albania,,FEMALE,13.1
2007,Albania,,FEMALE,20.5
2008,Albania,,FEMALE,23.7
2009,Albania,,FEMALE,22.5
2010,Albania,,FEMALE,19.1
2012,Albania,,FEMALE,16.1
2014,Albania,,FEMALE,18.7
2015,Albania,,FEMALE,19.8
2016,Albania,,FEMALE,24.1
2017,Albania,,FEMALE,22.7
2018,Albania,,FEMALE,29.3
2000,Croatia,,FEMALE,24.7
2001,Croatia,,FEMALE,24.7
2002,Croatia,,FEMALE,27.1
2003,Croatia,,FEMALE,24.6
2004,Croatia,,FEMALE,22.6
2005,Croatia,,FEMALE,24
2006,Croatia,,FEMALE,25.6
2007,Croatia,,FEMALE,20.7
2008,Croatia,,FEMALE,25.4
2009,Croatia,,FEMALE,25.2
2010,Croatia,,FEMALE,25.8
2019,Albania,,FEMALE,34.1
2000,Azerbaijan,,FEMALE,26.9
2001,Azerbaijan,,FEMALE,27.6
2002,Azerbaijan,,FEMALE,25.3
2003,Azerbaijan,,FEMALE,24.4
2004,Azerbaijan,,FEMALE,29.6
2005,Azerbaijan,,FEMALE,28.2
2006,Azerbaijan,,FEMALE,23.2
2007,Azerbaijan,,FEMALE,22.1
2008,Azerbaijan,,FEMALE,24.7
2009,Azerbaijan,,FEMALE,19.2
2011,Croatia,,FEMALE,24
2012,Croatia,,FEMALE,26.1
2013,Croatia,,FEMALE,24.4
2014,Croatia,,FEMALE,23.2
2015,Croatia,,FEMALE,26.7
2016,Croatia,,FEMALE,29.9
2017,Croatia,,FEMALE,29.1
2018,Croatia,,FEMALE,30
2019,Croatia,,FEMALE,26.4
2020,Croatia,,FEMALE,28.4
2021,Croatia,,FEMALE,28.9
2010,Azerbaijan,,FEMALE,25.5
2011,Azerbaijan,,FEMALE,32.8
2012,Azerbaijan,,FEMALE,34.2
2013,Azerbaijan,,FEMALE,33
2014,Azerbaijan,,FEMALE,34.5
2015,Azerbaijan,,FEMALE,35.1
2016,Azerbaijan,,FEMALE,34.9
2017,Azerbaijan,,FEMALE,34.5
2018,Azerbaijan,,FEMALE,38.1
2000,Cyprus,,FEMALE,14.8
2001,Cyprus,,FEMALE,19
2002,Cyprus,,FEMALE,17.6
2003,Cyprus,,FEMALE,17.5
2004,Cyprus,,FEMALE,15.3
2005,Cyprus,,FEMALE,14.8
2006,Cyprus,,FEMALE,16.2
2007,Cyprus,,FEMALE,15.4
2008,Cyprus,,FEMALE,16.1
2009,Cyprus,,FEMALE,12.2
2010,Cyprus,,FEMALE,13.8
2019,Azerbaijan,,FEMALE,35.8
2020,Azerbaijan,,FEMALE,35.5
2021,Azerbaijan,,FEMALE,36.2
2000,Austria,,FEMALE,30.1
2001,Austria,,FEMALE,30.1
2002,Austria,,FEMALE,29.3
2003,Austria,,FEMALE,27.4
2004,Austria,,FEMALE,26.7
2005,Austria,,FEMALE,26.8
2006,Austria,,FEMALE,27.9
2007,Austria,,FEMALE,26.2
2008,Austria,,FEMALE,28.1
2009,Austria,,FEMALE,27.4
2010,Austria,,FEMALE,28.9
2011,Austria,,FEMALE,27.5
2012,Austria,,FEMALE,30.1
2013,Austria,,FEMALE,29.4
2014,Austria,,FEMALE,30.3
2015,Austria,,FEMALE,29.7
2016,Austria,,FEMALE,31.8
2017,Austria,,FEMALE,31.8
2018,Austria,,FEMALE,31.6
2019,Austria,,FEMALE,33.2
2020,Austria,,FEMALE,32.8
2021,Austria,,FEMALE,35.5
2008,Armenia,,FEMALE,35.2
2011,Armenia,,FEMALE,31.7
2013,Armenia,,FEMALE,28.8
2014,Armenia,,FEMALE,32.4
2015,Armenia,,FEMALE,29.1
2016,Armenia,,FEMALE,29.5
2017,Armenia,,FEMALE,28.7
2018,Armenia,,FEMALE,25.7
2019,Armenia,,FEMALE,24.4
2020,Armenia,,FEMALE,28.1
2000,Belgium,,FEMALE,32.1
2001,Belgium,,FEMALE,32.9
2002,Belgium,,FEMALE,31.8
2003,Belgium,,FEMALE,29.9
2004,Belgium,,FEMALE,29.9
2005,Belgium,,FEMALE,31.8
2011,Cyprus,,FEMALE,15
2012,Cyprus,,FEMALE,15.8
2013,Cyprus,,FEMALE,18.9
2014,Cyprus,,FEMALE,17.3
2015,Cyprus,,FEMALE,22.8
2016,Cyprus,,FEMALE,25.7
2017,Cyprus,,FEMALE,20.7
2018,Cyprus,,FEMALE,17
2019,Cyprus,,FEMALE,21.4
2020,Cyprus,,FEMALE,24.2
2021,Cyprus,,FEMALE,21
2006,Belgium,,FEMALE,31.5
2007,Belgium,,FEMALE,33.9
2008,Belgium,,FEMALE,32.7
2009,Belgium,,FEMALE,34
2010,Belgium,,FEMALE,34.1
2011,Belgium,,FEMALE,29.9
2012,Belgium,,FEMALE,32.4
2013,Belgium,,FEMALE,31.4
2014,Belgium,,FEMALE,31.7
2015,Belgium,,FEMALE,32.6
2016,Belgium,,FEMALE,32.7
2017,Belgium,,FEMALE,33.6
2018,Belgium,,FEMALE,33.9
2019,Belgium,,FEMALE,32.7
2020,Belgium,,FEMALE,34.5
2021,Belgium,,FEMALE,35.4
2001,Bosnia and Herzegovina,,FEMALE,18.9
2006,Bosnia and Herzegovina,,FEMALE,20.8
2007,Bosnia and Herzegovina,,FEMALE,16.1
2008,Bosnia and Herzegovina,,FEMALE,23
2009,Bosnia and Herzegovina,,FEMALE,25.3
2010,Bosnia and Herzegovina,,FEMALE,23.8
2011,Bosnia and Herzegovina,,FEMALE,21.4
2012,Bosnia and Herzegovina,,FEMALE,24.2
2013,Bosnia and Herzegovina,,FEMALE,22.8
2014,Bosnia and Herzegovina,,FEMALE,24.2
2015,Bosnia and Herzegovina,,FEMALE,22
2016,Bosnia and Herzegovina,,FEMALE,21.6
2017,Bosnia and Herzegovina,,FEMALE,20.3
2018,Bosnia and Herzegovina,,FEMALE,25.9
2019,Bosnia and Herzegovina,,FEMALE,24.3
2020,Bosnia and Herzegovina,,FEMALE,25.1
2021,Bosnia and Herzegovina,,FEMALE,24.2
2000,Bulgaria,,FEMALE,29.8
2001,Bulgaria,,FEMALE,32.7
2002,Bulgaria,,FEMALE,33.5
2003,Bulgaria,,FEMALE,31.3
2004,Bulgaria,,FEMALE,34.4
2005,Bulgaria,,FEMALE,34
2006,Bulgaria,,FEMALE,31.6
2007,Bulgaria,,FEMALE,31.4
2008,Bulgaria,,FEMALE,32.3
2009,Bulgaria,,FEMALE,32.2
2010,Bulgaria,,FEMALE,33.3
2011,Bulgaria,,FEMALE,36.8
2012,Bulgaria,,FEMALE,36.4
2013,Bulgaria,,FEMALE,36.5
2014,Bulgaria,,FEMALE,36.7
2015,Bulgaria,,FEMALE,36.5
2016,Bulgaria,,FEMALE,37.9
2017,Bulgaria,,FEMALE,39.2
2018,Bulgaria,,FEMALE,38.6
2019,Bulgaria,,FEMALE,39
2000,Czechia,,FEMALE,24.9
2001,Czechia,,FEMALE,26.5
2002,Czechia,,FEMALE,25.9
2003,Czechia,,FEMALE,26.9
2004,Czechia,,FEMALE,27.8
2005,Czechia,,FEMALE,29.6
2006,Czechia,,FEMALE,28.9
2007,Czechia,,FEMALE,28.6
2008,Czechia,,FEMALE,28.1
2009,Czechia,,FEMALE,29
2010,Czechia,,FEMALE,27.7
2011,Czechia,,FEMALE,25.5
2012,Czechia,,FEMALE,26
2013,Czechia,,FEMALE,27
2014,Czechia,,FEMALE,27.6
2015,Czechia,,FEMALE,29.2
2016,Czechia,,FEMALE,25.3
2017,Czechia,,FEMALE,24.5
2018,Czechia,,FEMALE,26.4
2019,Czechia,,FEMALE,26.8
2020,Czechia,,FEMALE,27.8
2021,Czechia,,FEMALE,28.4
2000,Denmark,,FEMALE,24.2
2001,Denmark,,FEMALE,21
2002,Denmark,,FEMALE,21.4
2003,Denmark,,FEMALE,25.8
2004,Denmark,,FEMALE,23.8
2005,Denmark,,FEMALE,24.2
2006,Denmark,,FEMALE,24.5
2007,Denmark,,FEMALE,28.3
2008,Denmark,,FEMALE,23.6
2009,Denmark,,FEMALE,24.6
2010,Denmark,,FEMALE,21.9
2011,Denmark,,FEMALE,27.8
2012,Denmark,,FEMALE,28.4
2013,Denmark,,FEMALE,26.7
2014,Denmark,,FEMALE,26
2015,Denmark,,FEMALE,26.3
2016,Denmark,,FEMALE,27.5
2017,Denmark,,FEMALE,26.3
2018,Denmark,,FEMALE,26.1
2019,Denmark,,FEMALE,26.8
2020,Denmark,,FEMALE,27.9
2021,Denmark,,FEMALE,28.2
2000,Estonia,,FEMALE,40.4
2001,Estonia,,FEMALE,36.9
2002,Estonia,,FEMALE,37.9
2003,Estonia,,FEMALE,31.2
2004,Estonia,,FEMALE,35.2
2005,Estonia,,FEMALE,37.2
2006,Estonia,,FEMALE,33
2007,Estonia,,FEMALE,33.5
2008,Estonia,,FEMALE,35.9
2009,Estonia,,FEMALE,35.3
2010,Estonia,,FEMALE,36.1
2011,Estonia,,FEMALE,35.4
2012,Estonia,,FEMALE,31.8
2013,Estonia,,FEMALE,33.4
2014,Estonia,,FEMALE,32.6
2015,Estonia,,FEMALE,30.7
2016,Estonia,,FEMALE,36.2
2017,Estonia,,FEMALE,38.5
2018,Estonia,,FEMALE,36.1
2019,Estonia,,FEMALE,37.2
2020,Estonia,,FEMALE,37.4
2021,Estonia,,FEMALE,41.2
2000,Finland,,FEMALE,26.6
2001,Finland,,FEMALE,27.9
2002,Finland,,FEMALE,28.4
2003,Finland,,FEMALE,28.6
2004,Finland,,FEMALE,28.2
2005,Finland,,FEMALE,29.9
2006,Finland,,FEMALE,29.6
2007,Finland,,FEMALE,28.6
2008,Finland,,FEMALE,29.5
2009,Finland,,FEMALE,29.7
2010,Finland,,FEMALE,30.5
2011,Finland,,FEMALE,32
2012,Finland,,FEMALE,29.7
2013,Finland,,FEMALE,29.6
