Year,GeoAreaName,Age,Sex,Value
2000,Spain,,FEMALE,31.53
2001,Spain,,FEMALE,32.31
2002,Spain,,FEMALE,31.57
2003,Spain,,FEMALE,29.9
2004,Spain,,FEMALE,31.58
2005,Spain,,FEMALE,32.04
2006,Spain,,FEMALE,31.87
2007,Spain,,FEMALE,33.21
2008,Spain,,FEMALE,33.4
2009,Spain,,FEMALE,34.63
2010,Spain,,FEMALE,33.33
2011,Spain,,FEMALE,29.19
2012,Spain,,FEMALE,30.39
2013,Spain,,FEMALE,31.14
2014,Spain,,FEMALE,29.29
2015,Spain,,FEMALE,32.8
2016,Spain,,FEMALE,30.76
2017,Spain,,FEMALE,30.28
2018,Spain,,FEMALE,33.55
2019,Spain,,FEMALE,31.92
2020,Spain,,FEMALE,35.42
2021,Spain,,FEMALE,34.12
2000,Sweden,,FEMALE,30.66
2001,Sweden,,FEMALE,30.51
2002,Sweden,,FEMALE,30.71
2003,Sweden,,FEMALE,30.3
2004,Sweden,,FEMALE,30.27
2005,Sweden,,FEMALE,29.89
2006,Sweden,,FEMALE,32.1
2007,Sweden,,FEMALE,31.59
2008,Sweden,,FEMALE,32.08
2009,Sweden,,FEMALE,32.49
2010,Sweden,,FEMALE,31.36
2011,Sweden,,FEMALE,34.48
2012,Sweden,,FEMALE,35.49
2013,Sweden,,FEMALE,35.44
2014,Sweden,,FEMALE,37.12
2015,Sweden,,FEMALE,39.55
2016,Sweden,,FEMALE,39.3
2017,Sweden,,FEMALE,38.93
2018,Sweden,,FEMALE,38.1
2019,Sweden,,FEMALE,40.27
2020,Sweden,,FEMALE,42.29
2021,Sweden,,FEMALE,42.97
2000,Switzerland,,FEMALE,25.44
2001,Switzerland,,FEMALE,24.41
2002,Switzerland,,FEMALE,26.42
2003,Switzerland,,FEMALE,26.71
2004,Switzerland,,FEMALE,26.5
2005,Switzerland,,FEMALE,26.89
2006,Switzerland,,FEMALE,29.66
2007,Switzerland,,FEMALE,29.17
2008,Switzerland,,FEMALE,27.84
2009,Switzerland,,FEMALE,30.33
2010,Switzerland,,FEMALE,30.45
2011,Switzerland,,FEMALE,30.47
2012,Switzerland,,FEMALE,30.52
2013,Switzerland,,FEMALE,29.53
2014,Switzerland,,FEMALE,31.34
2015,Switzerland,,FEMALE,33.05
2016,Switzerland,,FEMALE,33.02
2017,Switzerland,,FEMALE,30.79
2018,Switzerland,,FEMALE,32.14
2019,Switzerland,,FEMALE,33.45
2020,Switzerland,,FEMALE,33.06
2021,Switzerland,,FEMALE,31.51
2000,Austria,,FEMALE,30.08
2001,Austria,,FEMALE,30.05
2002,Austria,,FEMALE,29.25
2003,Austria,,FEMALE,27.38
2004,Austria,,FEMALE,26.72
