Year,GeoAreaName,Sex,Value
2000,Austria,FEMALE,28.13
2001,Austria,FEMALE,29.38
2002,Austria,FEMALE,30.78
2003,Austria,FEMALE,28.5
2004,Austria,FEMALE,23.02
2005,Austria,FEMALE,21.5
2006,Austria,FEMALE,20.96
2007,Austria,FEMALE,21
2008,Austria,FEMALE,25.19
2009,Austria,FEMALE,23.25
2010,Austria,FEMALE,25.42
2011,Austria,FEMALE,26.07
2012,Austria,FEMALE,27.13
2013,Austria,FEMALE,26.33
2014,Austria,FEMALE,27.85
2015,Austria,FEMALE,27.88
2016,Austria,FEMALE,29.52
2017,Austria,FEMALE,29.19
2018,Austria,FEMALE,28.86
2019,Austria,FEMALE,32.01
2020,Austria,FEMALE,31.47
2021,Austria,FEMALE,34.31
2000,Belgium,FEMALE,24.53
2001,Belgium,FEMALE,28.38
2002,Belgium,FEMALE,27.97
2003,Belgium,FEMALE,27.33
2004,Belgium,FEMALE,26.91
2005,Belgium,FEMALE,30.24
2006,Belgium,FEMALE,31.13
2007,Belgium,FEMALE,33.54
2008,Belgium,FEMALE,31.9
2009,Belgium,FEMALE,34.57
2010,Belgium,FEMALE,34.77
2011,Belgium,FEMALE,30.45
2012,Belgium,FEMALE,31.67
2013,Belgium,FEMALE,30.75
2014,Belgium,FEMALE,31.3
2015,Belgium,FEMALE,31.04
2016,Belgium,FEMALE,31.98
2017,Belgium,FEMALE,32.94
2018,Belgium,FEMALE,32.87
2019,Belgium,FEMALE,35.07
2020,Belgium,FEMALE,36.45
2021,Belgium,FEMALE,34.45
2021,Bosnia and Herzegovina,FEMALE,20.17
2000,Bulgaria,FEMALE,37.46
2001,Bulgaria,FEMALE,40.52
2002,Bulgaria,FEMALE,42.31
2003,Bulgaria,FEMALE,37.8
2004,Bulgaria,FEMALE,41.43
2005,Bulgaria,FEMALE,40.61
2006,Bulgaria,FEMALE,37.56
2007,Bulgaria,FEMALE,36.41
2008,Bulgaria,FEMALE,36.23
2009,Bulgaria,FEMALE,36.42
2010,Bulgaria,FEMALE,38.59
2011,Bulgaria,FEMALE,38.04
2012,Bulgaria,FEMALE,36.8
2013,Bulgaria,FEMALE,37.46
2014,Bulgaria,FEMALE,34.27
2015,Bulgaria,FEMALE,37.35
2016,Bulgaria,FEMALE,38.58
2017,Bulgaria,FEMALE,41.78
2018,Bulgaria,FEMALE,39.62
2019,Bulgaria,FEMALE,39.35
2020,Bulgaria,FEMALE,42.12
2021,Bulgaria,FEMALE,38.02
2002,Croatia,FEMALE,26.75
2003,Croatia,FEMALE,28.26
2004,Croatia,FEMALE,17.51
2005,Croatia,FEMALE,28.21
2006,Croatia,FEMALE,27.47
2007,Croatia,FEMALE,22.72
2008,Croatia,FEMALE,32.1
2009,Croatia,FEMALE,37.2
2010,Croatia,FEMALE,27.43
2011,Croatia,FEMALE,23.57
2012,Croatia,FEMALE,25.77
2013,Croatia,FEMALE,23.87
2014,Croatia,FEMALE,24.37
2015,Croatia,FEMALE,26.12
2016,Croatia,FEMALE,29.5
2017,Croatia,FEMALE,27.88
2018,Croatia,FEMALE,26.09
2019,Croatia,FEMALE,24.27
2020,Croatia,FEMALE,29.13
2021,Croatia,FEMALE,29.61
2000,Cyprus,FEMALE,18.49
