Year,GeoAreaName,Value
2022,Albania,79
2022,Austria,NaN
2019,Armenia,87
2019,Belgium,NaN
2022,Bosnia and Herzegovina,70
2022,Bulgaria,62
2022,Belarus,83
2022,Croatia,98
2022,Cyprus,72
2022,Czechia,79
2022,Denmark,87
2022,Estonia,98
2022,Finland,98
2022,Georgia,94
2022,Germany,87
2022,Greece,72
2022,Hungary,93
2022,Kazakhstan,65
2019,Kyrgyzstan,73
2019,Latvia,70
2022,Lithuania,87
2019,Malta,NaN
2019,Republic of Moldova,NaN
2019,Montenegro,52
2022,Netherlands,100
2022,Norway,100
2022,Poland,89
2022,Portugal,95
2022,Romania,98
2022,Serbia,99
2022,Slovakia,86
2022,Slovenia,NaN
2019,Sweden,100
2019,Switzerland,94
2022,Türkiye,78
2022,Turkmenistan,94
2022,Ukraine,95
2022,North Macedonia,NaN
2022,Uzbekistan,92
2022,Uzbekistan,92
