Year,GeoAreaName,Value
2022,Albania,75
2019,Armenia,100
2019,Belgium,100
2022,Bosnia and Herzegovina,50
2022,Bulgaria,75
2022,Belarus,75
2022,Croatia,100
2022,Cyprus,50
2022,Czechia,75
2022,Denmark,50
2022,Estonia,75
2022,Finland,75
2022,Georgia,75
2022,Germany,56
2022,Greece,75
2022,Hungary,25
2022,Kazakhstan,75
2019,Kyrgyzstan,50
2019,Latvia,75
2022,Lithuania,75
2019,Republic of Moldova,75
2019,Montenegro,75
2022,Netherlands,100
2022,Norway,100
2022,Poland,75
2022,Portugal,50
2022,Romania,75
2022,Serbia,100
2022,Slovakia,50
2022,Slovenia,75
2019,Sweden,100
2019,Switzerland,25
2022,Türkiye,0
2022,Turkmenistan,50
2022,Ukraine,75
2022,Uzbekistan,50
2022,Uzbekistan,50
