Year,GeoAreaName,Value
2022,Albania,100
2022,Austria,NaN
2019,Armenia,93
2019,Belgium,100
2022,Bosnia and Herzegovina,33
2022,Bulgaria,37
2022,Belarus,85
2022,Croatia,100
2022,Cyprus,33
2022,Czechia,78
2022,Denmark,85
2022,Estonia,100
2022,Finland,100
2022,Georgia,100
2022,Germany,85
2022,Greece,33
2022,Hungary,100
2022,Kazakhstan,85
2019,Kyrgyzstan,70
2019,Latvia,33
2022,Lithuania,85
2019,Malta,100
2019,Republic of Moldova,67
2019,Montenegro,37
2022,Netherlands,100
2022,Norway,100
2022,Poland,85
2022,Portugal,100
2022,Romania,100
2022,Serbia,100
2022,Slovakia,78
2022,Slovenia,92
2019,Sweden,100
2019,Switzerland,100
2022,Türkiye,100
2022,Turkmenistan,100
2022,Ukraine,100
2022,North Macedonia,NaN
2022,Uzbekistan,100
2022,Uzbekistan,100
