Year,GeoAreaName,Value
2015,Croatia,NaN
2015,Cyprus,NaN
2015,Czechia,NaN
2015,Denmark,NaN
2015,Estonia,NaN
2015,Finland,NaN
2015,France,NaN
2015,Georgia,NaN
2015,Germany,NaN
2015,Greece,NaN
2015,Hungary,NaN
2015,Iceland,NaN
2015,Ireland,NaN
2015,Italy,NaN
2015,Kazakhstan,NaN
2012,Kyrgyzstan,40.2
2015,Latvia,NaN
2015,Liechtenstein,NaN
2015,Lithuania,NaN
2015,Luxembourg,NaN
2015,Malta,NaN
2015,Republic of Moldova,NaN
2015,Montenegro,NaN
2015,Netherlands,NaN
2015,Norway,NaN
2015,Poland,NaN
2015,Portugal,NaN
2015,Romania,NaN
2015,Serbia,NaN
2015,Slovakia,NaN
2015,Slovenia,NaN
2015,Spain,NaN
2015,Sweden,NaN
2015,Switzerland,NaN
2015,Tajikistan,NaN
2017,Albania,49.7
2015,Azerbaijan,NaN
2015,Austria,NaN
2015,Armenia,49.4
2015,Belgium,NaN
2015,Bosnia and Herzegovina,NaN
2015,Bulgaria,NaN
2015,Belarus,NaN
2015,Türkiye,NaN
2015,Turkmenistan,NaN
2015,Ukraine,NaN
2015,North Macedonia,NaN
2015,Uzbekistan,NaN
2015,Uzbekistan,NaN
