Year,GeoAreaName,Value
2020,Albania,13.35422
2022,Albania,19.46666
2020,Azerbaijan,57.39653
2022,Azerbaijan,41.33969
2020,Austria,98.59576
2022,Austria,98.20522
2020,Armenia,40.08308
2022,Armenia,0.5625
2020,Belgium,91.7866
2022,Belgium,85.0678
2020,Bosnia and Herzegovina,46.79664
2022,Bosnia and Herzegovina,65.30532
2020,Bulgaria,79.19239
2022,Bulgaria,72.08777
2020,Belarus,56.47111
2022,Belarus,80.31443
2020,Croatia,60.32014
2022,Croatia,33.97195
2020,Cyprus,67.18718
2022,Cyprus,72.63456
2020,Czechia,90.12544
2022,Czechia,91.28708
2020,Denmark,95.94201
2022,Denmark,98.79153
2020,Estonia,91.06382
2022,Estonia,92.2791
2020,Finland,92.28329
2022,Finland,89.73807
2020,France,92.50121
2022,France,87.94422
2020,Georgia,45.9906
2022,Georgia,48.76445
2020,Germany,99.26206
2022,Germany,98.96163
2020,Greece,92.65101
2022,Greece,89.68182
2020,Hungary,89.56422
2022,Hungary,82.0525
2020,Iceland,73.46891
2022,Iceland,3.04609
2020,Ireland,83.41705
2022,Ireland,51.86489
2020,Italy,94.74056
2022,Italy,70.22107
2020,Kazakhstan,35.66982
2022,Kazakhstan,36.33564
2020,Kyrgyzstan,18.89341
2022,Kyrgyzstan,19.00883
2020,Latvia,93.14523
2022,Latvia,87.42036
2020,Liechtenstein,98.1156
2020,Lithuania,93.35281
2022,Lithuania,96.75081
2020,Luxembourg,96.34825
2022,Luxembourg,98.63204
2020,Malta,15.35631
2022,Malta,1.07696
2020,Republic of Moldova,38.49442
2022,Republic of Moldova,46.1607
2020,Montenegro,45.0727
2022,Montenegro,55.27942
2020,Netherlands,99.81056
2022,Netherlands,99.79
2020,Norway,75.65636
2022,Norway,75.81466
2020,Poland,81.85183
2022,Poland,77.37506
2020,Portugal,73.58287
2022,Portugal,87.51369
2020,Romania,48.32247
2022,Romania,30.08521
2020,Serbia,27.05284
2022,Serbia,36.47714
2020,Slovakia,79.78519
2022,Slovakia,81.97028
2020,Slovenia,67.20513
2022,Slovenia,65.22262
2020,Spain,86.01582
2022,Spain,79.90253
2020,Sweden,95.2005
2022,Sweden,96.98074
2020,Switzerland,99.20436
2022,Switzerland,99.29131
2020,Türkiye,63.32585
2022,Türkiye,64.67512
2020,Ukraine,34.28519
2022,Ukraine,50.23122
2020,North Macedonia,9.12154
2022,North Macedonia,4.86253
2020,Uzbekistan,32.266
2020,Uzbekistan,32.266
