Year,GeoAreaName,Value
2017,Austria,80.44
2020,Austria,81.77
2017,Bosnia and Herzegovina,5.79
2020,Bosnia and Herzegovina,30.58
2017,Bulgaria,69.85
2020,Bulgaria,65.56
2020,Belarus,88.88
2020,Croatia,55.85
2017,Cyprus,61.67
2020,Cyprus,61.4
2017,Czechia,67.01
2020,Czechia,88.19
2020,Denmark,53.42
2017,Estonia,100
2020,Estonia,75.65
2017,Finland,95.98
2020,Finland,96.84
2017,France,83.53
2020,France,78.93
2020,Georgia,92
2017,Germany,38.99
2017,Greece,49.25
2020,Greece,40.62
2017,Hungary,57.66
2020,Hungary,59.33
2017,Iceland,100
2020,Iceland,100
2017,Ireland,61.69
2020,Ireland,59.44
2020,Kazakhstan,63.94
2017,Latvia,65.43
2020,Latvia,66.54
2017,Liechtenstein,80
2020,Liechtenstein,80
2017,Lithuania,99.55
2020,Lithuania,98.65
2017,Montenegro,94.12
2020,Montenegro,88.1
2017,Netherlands,95.88
2020,Netherlands,95.86
2017,Norway,100
2020,Norway,100
2017,Poland,33.71
2020,Poland,96.14
2017,Romania,61.37
2020,Romania,83.67
2020,Serbia,83.07
2017,Slovakia,71.86
2020,Slovakia,57.15
2017,Slovenia,75.81
2020,Slovenia,83.89
2017,Sweden,45.13
2020,Sweden,48.37
2017,Switzerland,100
2020,Switzerland,61.11
2017,North Macedonia,8.7
2020,North Macedonia,70.01
2020,North Macedonia,70.01
