Year,GeoAreaName,Value
2000,Poland,1429.46366
2001,Poland,2038.88277
2002,Poland,2648.51882
2003,Poland,2976.13777
2004,Poland,3021.84817
2005,Poland,3045.36088
2006,Poland,3054.66076
2007,Poland,3060.98404
2008,Poland,3069.45891
2009,Poland,3063.25675
2010,Poland,3055.46098
2011,Poland,3058.58255
2012,Poland,3053.62158
2013,Poland,3051.11314
2014,Poland,3066.37847
2015,Poland,3083.57985
2016,Poland,3082.21431
2017,Poland,3094.73219
2018,Poland,3116.23636
2019,Poland,3115.53017
2020,Poland,3105.42836
2021,Poland,3111.52228
2022,Poland,3109.09838
2000,Portugal,28.37742
2001,Portugal,56.01229
2002,Portugal,87.86263
2003,Portugal,118.0472
2004,Portugal,147.19946
2005,Portugal,149.92778
2006,Portugal,148.3804
2007,Portugal,151.96933
2008,Portugal,153.63502
2009,Portugal,160.50753
2010,Portugal,160.90318
2011,Portugal,172.60671
2012,Portugal,173.81637
2013,Portugal,171.4741
2014,Portugal,171.84414
2015,Portugal,181.08169
2016,Portugal,178.6421
2017,Portugal,181.36878
2018,Portugal,187.97947
2019,Portugal,189.97308
2020,Portugal,185.73993
2021,Portugal,188.35917
2022,Portugal,187.41361
2000,Romania,1052.7566
2001,Romania,1122.67588
2000,Croatia,44.36635
2001,Croatia,85.23859
2002,Croatia,129.35886
2003,Croatia,174.67184
2004,Croatia,212.88938
2005,Croatia,212.2641
2006,Croatia,216.1327
2007,Croatia,216.43909
2008,Croatia,212.42972
2009,Croatia,214.98108
2010,Croatia,212.41987
2011,Croatia,210.17045
2002,Romania,1226.58468
2003,Romania,1316.29142
2004,Romania,1613.68477
2005,Romania,1606.83046
2006,Romania,1619.92627
2007,Romania,1652.33087
2008,Romania,1660.05831
2009,Romania,1671.55919
2010,Romania,1674.65299
2011,Romania,1677.4307
2012,Romania,1647.53729
2013,Romania,1626.79792
2012,Croatia,206.59216
2013,Croatia,204.96126
2014,Croatia,208.16403
2015,Croatia,213.26686
2016,Croatia,215.75754
2017,Croatia,220.8182
2018,Croatia,225.37616
2019,Croatia,225.97564
2020,Croatia,223.97058
2021,Croatia,223.59722
2022,Croatia,222.41657
2000,Cyprus,1.67092
2001,Cyprus,2.52245
2002,Cyprus,3.42283
2003,Cyprus,4.6167
2004,Cyprus,5.40934
2005,Cyprus,6.0037
2006,Cyprus,6.7583
2007,Cyprus,7.18634
2008,Cyprus,7.14106
2009,Cyprus,6.53693
2010,Cyprus,6.02812
2011,Cyprus,5.65913
2012,Cyprus,5.84744
2013,Cyprus,6.33345
2014,Cyprus,7.19256
2015,Cyprus,7.38903
2016,Cyprus,7.77088
2017,Cyprus,7.59502
2018,Cyprus,7.22155
2019,Cyprus,6.72055
2020,Cyprus,7.18383
2021,Cyprus,7.53423
2022,Cyprus,7.97338
2000,Czechia,91.79015
2001,Czechia,150.9689
2002,Czechia,215.21729
2003,Czechia,273.67527
2004,Czechia,312.98815
2005,Czechia,318.5327
2006,Czechia,327.31723
2007,Czechia,332.01331
2008,Czechia,330.60282
2009,Czechia,333.66373
2010,Czechia,334.87342
2011,Czechia,337.10461
2012,Czechia,335.44014
2013,Czechia,337.4186
2014,Czechia,341.24555
2015,Czechia,340.94165
2016,Czechia,340.37086
2017,Czechia,345.22004
2018,Czechia,353.00982
2019,Czechia,353.90828
2020,Czechia,356.46907
2021,Czechia,359.12813
2022,Czechia,358.69117
2000,Denmark,193.71833
2001,Denmark,272.97126
2002,Denmark,350.92904
2003,Denmark,392.62703
2004,Denmark,393.73498
2005,Denmark,398.50959
2006,Denmark,401.08645
2007,Denmark,405.22895
2008,Denmark,409.57232
2009,Denmark,410.49517
2010,Denmark,411.17777
2011,Denmark,412.92193
2012,Denmark,414.35229
2013,Denmark,414.47252
2014,Denmark,419.5531
2014,Romania,1634.64545
2015,Romania,1646.29218
2016,Romania,1637.25045
2017,Romania,1645.44333
2018,Romania,1674.48088
2019,Romania,1679.03766
2020,Romania,1674.71252
2021,Romania,1679.76159
2022,Romania,1679.23789
2000,Serbia,77.17748
2001,Serbia,158.20199
2002,Serbia,243.15899
2000,Albania,42.70447
2001,Albania,87.79145
2002,Albania,132.53795
2003,Albania,177.68646
2004,Albania,221.65252
2005,Albania,224.26211
2006,Albania,225.10997
2007,Albania,226.11698
2008,Albania,224.14763
2009,Albania,223.45345
2010,Albania,223.31096
2011,Albania,223.34848
2003,Serbia,325.79692
2004,Serbia,405.78866
2005,Serbia,411.63119
2006,Serbia,414.43095
2007,Serbia,412.83906
2008,Serbia,411.67583
2009,Serbia,413.0459
2010,Serbia,413.34032
2011,Serbia,415.09506
2012,Serbia,416.48993
2013,Serbia,415.95971
2014,Serbia,420.44599
