Year,GeoAreaName,Value
2000,Croatia,11.83034
2001,Croatia,37.86266
2002,Croatia,79.28194
2003,Croatia,106.97287
2004,Croatia,132.9148
2005,Croatia,153.45403
2006,Croatia,167.57868
2007,Croatia,169.66638
2008,Croatia,170.67061
2009,Croatia,167.21149
2010,Croatia,172.45774
2011,Croatia,179.44279
2012,Croatia,157.43485
2013,Croatia,149.04332
2014,Croatia,180.08944
2015,Croatia,191.60018
2016,Croatia,178.89593
2017,Croatia,203.98868
2018,Croatia,220.21424
2019,Croatia,227.22309
2020,Croatia,212.58021
2021,Croatia,206.18243
2022,Croatia,200.18833
2000,Cyprus,3.05385
2009,Poland,627.22572
2010,Poland,633.74111
2011,Poland,621.23025
2012,Poland,629.58589
2013,Poland,618.8859
2014,Poland,666.50989
2015,Poland,672.40062
2016,Poland,680.06022
2017,Poland,702.08994
2018,Poland,747.7023
2019,Poland,778.00465
2020,Poland,813.78147
2001,Cyprus,4.65725
2002,Cyprus,6.91181
2003,Cyprus,9.77403
2004,Cyprus,10.69433
2005,Cyprus,11.72828
2006,Cyprus,12.22798
2007,Cyprus,12.04578
2008,Cyprus,11.01491
2009,Cyprus,10.63178
2010,Cyprus,9.94236
2011,Cyprus,10.66635
2012,Cyprus,10.66383
2021,Poland,857.72583
2022,Poland,882.09927
2000,Portugal,5.88494
2001,Portugal,25.7729
2002,Portugal,57.70167
2003,Portugal,80.24141
2004,Portugal,110.48211
2005,Portugal,132.19347
2006,Portugal,133.0441
2007,Portugal,120.92623
2008,Portugal,132.8045
2009,Portugal,120.93799
2010,Portugal,124.20875
2011,Portugal,136.30441
2012,Portugal,150.464
2013,Portugal,144.06963
2014,Portugal,161.42277
2015,Portugal,162.53584
2016,Portugal,162.41354
2017,Portugal,161.37226
2018,Portugal,164.36562
2019,Portugal,164.44564
2020,Portugal,165.89418
2021,Portugal,174.62866
2013,Cyprus,11.52561
2014,Cyprus,12.02385
2015,Cyprus,12.42611
2016,Cyprus,12.49024
2017,Cyprus,12.93463
2018,Cyprus,12.71865
2019,Cyprus,12.69684
2020,Cyprus,14.13687
2021,Cyprus,15.92645
2022,Cyprus,16.88418
2000,Czechia,14.80363
2001,Czechia,28.83828
2000,Albania,3.81988
2001,Albania,18.85284
2002,Albania,32.50621
2003,Albania,44.77272
2004,Albania,62.34261
2005,Albania,74.54477
2006,Albania,72.43665
2007,Albania,76.07659
2008,Albania,79.0602
2009,Albania,76.91731
2010,Albania,76.8536
2011,Albania,81.94908
2022,Portugal,198.04865
2000,Romania,171.25099
2001,Romania,301.92432
2002,Romania,430.13039
2003,Romania,531.22715
2004,Romania,661.56399
2005,Romania,800.55057
2006,Romania,837.16871
2007,Romania,945.98791
2008,Romania,966.30505
2009,Romania,944.59
2010,Romania,946.12685
2002,Czechia,38.16058
2003,Czechia,55.52782
2004,Czechia,69.87512
2005,Czechia,81.23562
2006,Czechia,87.10617
2007,Czechia,98.32754
2008,Czechia,102.60568
2009,Czechia,97.15754
2010,Czechia,97.69839
2011,Czechia,95.87003
2012,Czechia,98.61643
2013,Czechia,99.11288
2011,Romania,971.45666
2012,Romania,855.62608
2013,Romania,866.90077
2014,Romania,950.09279
2015,Romania,923.02013
2016,Romania,855.74177
2017,Romania,878.4628
2018,Romania,844.41206
2019,Romania,866.47735
2020,Romania,863.42701
2021,Romania,840.1223
2022,Romania,851.02682
2014,Czechia,103.91079
2015,Czechia,106.6411
2016,Czechia,109.97933
2017,Czechia,109.69518
2018,Czechia,108.06476
2019,Czechia,109.13238
2020,Czechia,111.57156
2021,Czechia,117.90284
2022,Czechia,123.40375
2000,Denmark,15.03683
2001,Denmark,26.78218
2002,Denmark,38.50453
2003,Denmark,51.35508
2004,Denmark,56.31017
2005,Denmark,68.63987
2006,Denmark,72.66644
2007,Denmark,75.13148
2008,Denmark,74.22927
2009,Denmark,73.46918
2010,Denmark,69.96267
2011,Denmark,67.19571
2012,Denmark,69.83649
2013,Denmark,71.71837
2014,Denmark,73.85078
2012,Albania,81.48005
2013,Albania,81.06627
2014,Albania,83.16685
2015,Albania,83.2786
2016,Albania,83.18671
2017,Albania,85.89976
2018,Albania,89.9707
2019,Albania,91.75472
2020,Albania,92.86206
2021,Albania,96.56248
2022,Albania,99.6962
2000,Azerbaijan,295.03697
2000,Serbia,7.22258
2001,Serbia,55.93882
2002,Serbia,82.96582
2003,Serbia,103.05472
2004,Serbia,127.67729
2005,Serbia,147.55403
2006,Serbia,149.23917
2007,Serbia,180.58192
2008,Serbia,189.60599
2009,Serbia,195.4802
2010,Serbia,204.04605
2011,Serbia,194.106
2015,Denmark,78.50406
2016,Denmark,82.82639
2017,Denmark,84.50663
2018,Denmark,87.00609
2019,Denmark,87.68341
2020,Denmark,89.89812
2021,Denmark,97.45128
2022,Denmark,104.2504
2000,Estonia,33.73747
2001,Estonia,49.43832
2002,Estonia,68.71532
2003,Estonia,87.14378
2004,Estonia,83.47711
2005,Estonia,91.12041
2006,Estonia,95.1025
2007,Estonia,95.01904
2008,Estonia,92.35898
2009,Estonia,92.00644
2010,Estonia,91.45225
2011,Estonia,90.7398
2012,Estonia,93.99092
2013,Estonia,91.54716
2014,Estonia,96.0433
2015,Estonia,96.50501
2012,Serbia,159.77113
2013,Serbia,159.40612
2014,Serbia,178.99084
2015,Serbia,174.95188
2016,Serbia,171.20478
2017,Serbia,189.35457
2018,Serbia,192.38604
2019,Serbia,185.19359
2020,Serbia,188.53802
2021,Serbia,189.7662
2022,Serbia,186.54289
2000,Slovakia,2.62148
2001,Azerbaijan,451.78272
2002,Azerbaijan,562.83932
2003,Azerbaijan,682.1541
2004,Azerbaijan,703.17503
2005,Azerbaijan,683.39552
2006,Azerbaijan,650.2735
2007,Azerbaijan,712.15235
2008,Azerbaijan,790.63238
2009,Azerbaijan,810.6951
2010,Azerbaijan,816.74781
2011,Azerbaijan,903.17579
2012,Azerbaijan,913.19157
2001,Slovakia,15.00341
2002,Slovakia,21.15367
2003,Slovakia,31.40333
2004,Slovakia,40.45404
2005,Slovakia,50.2931
2006,Slovakia,52.47505
2007,Slovakia,62.9555
2008,Slovakia,59.68532
2009,Slovakia,56.26645
2010,Slovakia,52.79179
2011,Slovakia,54.3535
2012,Slovakia,47.96101
2016,Estonia,97.69733
2017,Estonia,101.8821
2018,Estonia,114.52436
2019,Estonia,123.17886
2020,Estonia,131.20044
2021,Estonia,142.55645
2022,Estonia,141.53991
2000,Finland,535.34373
2001,Finland,826.78733
2002,Finland,1142.06483
2003,Finland,1458.96003
2004,Finland,1348.21215
2013,Slovakia,52.51493
2014,Slovakia,60.20281
2015,Slovakia,58.24376
2016,Slovakia,49.851
2017,Slovakia,48.30616
2018,Slovakia,48.76228
2019,Slovakia,48.12189
2020,Slovakia,49.5708
2021,Slovakia,53.5172
2022,Slovakia,55.08252
2000,Slovenia,1.48075
2001,Slovenia,5.49008
2005,Finland,1401.48068
2006,Finland,1414.26092
2007,Finland,1401.66477
2008,Finland,1373.70131
2009,Finland,1387.14591
2010,Finland,1416.16241
2011,Finland,1404.62055
2012,Finland,1420.13999
2013,Finland,1419.75528
2014,Finland,1518.87838
2015,Finland,1485.91561
2016,Finland,1477.88389
2013,Azerbaijan,895.30203
2014,Azerbaijan,908.85692
2015,Azerbaijan,950.82742
2016,Azerbaijan,910.66667
2017,Azerbaijan,864.04523
2018,Azerbaijan,889.11037
2019,Azerbaijan,853.47939
2020,Azerbaijan,829.04597
2021,Azerbaijan,786.77742
2022,Azerbaijan,813.05904
2000,Austria,9.69817
2001,Austria,21.58218
2002,Slovenia,11.45755
2003,Slovenia,15.61798
2004,Slovenia,20.86159
2005,Slovenia,26.13147
2006,Slovenia,28.83894
2007,Slovenia,29.67658
2008,Slovenia,31.54836
2009,Slovenia,30.3075
2010,Slovenia,29.56838
2011,Slovenia,31.34111
2012,Slovenia,30.12385
2013,Slovenia,28.14526
2017,Finland,1566.28259
2018,Finland,1635.40291
2019,Finland,1731.52006
2020,Finland,1881.76439
2021,Finland,2032.98083
2022,Finland,2123.00116
2000,France,95.85813
2001,France,245.05604
2002,France,416.55764
2003,France,548.67882
2004,France,716.92963
2005,France,795.6727
2006,France,799.23158
2007,France,802.88053
2008,France,795.94062
2009,France,714.71328
2010,France,722.36494
2011,France,714.53842
2012,France,691.10757
2013,France,702.28416
2014,France,787.76834
2015,France,844.43027
2016,France,890.34744
2017,France,955.62622
2002,Austria,32.77298
2003,Austria,43.84877
2004,Austria,55.07777
2005,Austria,63.07761
2006,Austria,65.07957
2007,Austria,68.68963
2008,Austria,72.87655
2009,Austria,68.14119
2010,Austria,70.25987
2011,Austria,70.81246
2012,Austria,71.98977
2013,Austria,71.72811
2014,Slovenia,32.46287
2015,Slovenia,34.18808
2016,Slovenia,32.23738
2017,Slovenia,33.16596
2018,Slovenia,37.03554
2019,Slovenia,36.8683
2020,Slovenia,36.26671
2021,Slovenia,36.0194
2022,Slovenia,36.34511
2000,Spain,131.75898
2001,Spain,254.94147
2002,Spain,339.39424
2003,Spain,468.1915
2004,Spain,606.79521
2005,Spain,646.89268
2006,Spain,590.74362
2007,Spain,579.12674
2008,Spain,592.85552
2009,Spain,536.08785
2010,Spain,610.40351
2011,Spain,736.83151
2012,Spain,828.52968
2013,Spain,767.79
2014,Spain,861.68984
2018,France,1036.09733
2019,France,1072.53496
2020,France,1072.76834
2021,France,1120.09356
2022,France,1140.77798
2000,Georgia,42.81078
2001,Georgia,63.85318
2002,Georgia,81.55439
2003,Georgia,104.02473
2004,Georgia,99.58842
2005,Georgia,101.44304
2006,Georgia,99.74152
2007,Georgia,105.91308
2008,Georgia,108.95555
2009,Georgia,113.61237
2010,Georgia,112.38294
2011,Georgia,116.43715
2012,Georgia,115.62591
2013,Georgia,115.55375
2014,Georgia,114.87633
2015,Georgia,121.90613
2016,Georgia,124.30359
2017,Georgia,130.7953
2018,Georgia,134.55131
2014,Austria,77.82533
2015,Austria,78.17618
2016,Austria,80.55058
2017,Austria,82.91592
2018,Austria,86.00915
2019,Austria,88.18332
2020,Austria,92.32807
2021,Austria,95.60363
2022,Austria,99.50021
2000,Armenia,10.82448
2001,Armenia,16.1246
2002,Armenia,20.22671
2015,Spain,875.09397
2016,Spain,871.98372
2017,Spain,868.85815
2018,Spain,993.31523
2019,Spain,1046.11416
2020,Spain,1054.54074
2021,Spain,1066.23529
2022,Spain,1020.0489
2000,Switzerland,8.40199
2001,Switzerland,14.17514
2002,Switzerland,19.0971
2003,Switzerland,23.54806
2004,Switzerland,25.30381
2005,Switzerland,28.38266
2006,Switzerland,29.18449
2007,Switzerland,30.84896
2008,Switzerland,29.45495
2009,Switzerland,26.50179
2010,Switzerland,26.21999
2011,Switzerland,25.32425
2012,Switzerland,25.50004
2013,Switzerland,27.80724
2014,Switzerland,30.97774
2015,Switzerland,32.31387
2019,Georgia,140.82543
2020,Georgia,142.80501
2021,Georgia,146.30847
2022,Georgia,153.22455
2000,Germany,161.06721
2001,Germany,257.81489
2002,Germany,330.23473
2003,Germany,424.80403
2004,Germany,433.36273
2005,Germany,485.37918
2006,Germany,502.1
2007,Germany,550.35668
2016,Switzerland,34.56131
2017,Switzerland,36.68004
2018,Switzerland,39.93625
2019,Switzerland,42.52259
2020,Switzerland,44.45543
2021,Switzerland,47.96907
2022,Switzerland,52.22099
2000,Tajikistan,336.5975
2001,Tajikistan,366.65169
2002,Tajikistan,370.92704
2003,Tajikistan,420.53091
2004,Tajikistan,387.85284
2003,Armenia,25.6735
2004,Armenia,22.51407
2005,Armenia,24.74917
2006,Armenia,24.57467
2007,Armenia,27.17525
2008,Armenia,29.40368
2009,Armenia,31.6629
2010,Armenia,32.03437
2011,Armenia,32.82512
2012,Armenia,32.15224
2013,Armenia,31.44856
2014,Armenia,31.49832
2008,Germany,510.88309
2009,Germany,480.08584
2010,Germany,493.52435
2011,Germany,468.6795
2012,Germany,451.47521
2013,Germany,452.50244
2014,Germany,505.65132
2015,Germany,510.43958
2016,Germany,530.87769
2017,Germany,552.75496
2018,Germany,595.3644
2019,Germany,608.87663
2005,Tajikistan,379.36011
2006,Tajikistan,384.95452
2007,Tajikistan,402.6394
2008,Tajikistan,407.16861
2009,Tajikistan,434.07937
2010,Tajikistan,452.64511
2011,Tajikistan,457.44085
2012,Tajikistan,463.93066
2013,Tajikistan,470.32137
2014,Tajikistan,479.85108
2015,Tajikistan,479.24285
2016,Tajikistan,496.67691
2017,Tajikistan,523.46549
2018,Tajikistan,564.75324
2019,Tajikistan,584.96419
2020,Tajikistan,611.37095
2021,Tajikistan,627.38281
2022,Tajikistan,640.44556
2000,Türkiye,807.9519
2001,Türkiye,1286.34366
2002,Türkiye,1634.01168
2003,Türkiye,2131.06121
2004,Türkiye,2260.23824
2005,Türkiye,2364.25215
2006,Türkiye,2321.5321
2007,Türkiye,2453.80098
2008,Türkiye,2380.96951
2009,Türkiye,2261.39078
2010,Türkiye,2284.93119
2011,Türkiye,2338.25071
2012,Türkiye,2361.45014
2013,Türkiye,2534.84027
2014,Türkiye,2680.08491
2015,Türkiye,2692.12056
2016,Türkiye,2789.5204
2017,Türkiye,2872.73934
2020,Germany,641.71792
2021,Germany,682.36344
2022,Germany,706.19113
2000,Greece,14.75931
2001,Greece,46.36275
2002,Greece,82.08703
2003,Greece,118.44601
2004,Greece,170.07602
2005,Greece,190.18316
2006,Greece,205.72369
2007,Greece,222.45575
2008,Greece,222.61381
2015,Armenia,31.64119
2016,Armenia,31.70053
2017,Armenia,33.28673
2018,Armenia,33.91453
2019,Armenia,34.43393
2020,Armenia,36.25716
2021,Armenia,37.57078
2022,Armenia,38.14505
2000,Belgium,7.75037
2001,Belgium,10.86511
2002,Belgium,15.25774
2003,Belgium,17.7926
2018,Türkiye,2865.99871
