Year,GeoAreaName,Type of renewable technology,Value
2000,Albania,BIOENERGY,0
2000,Albania,GEOTHERMAL,0
2000,Albania,WIND,0
2000,Albania,HYDROPOWER,0.16
2000,Albania,ALL,0.16
2000,Albania,MARINE,0
2000,Albania,MULTIPLE,0
2000,Albania,SOLAR,0
2001,Albania,BIOENERGY,0
2001,Albania,MULTIPLE,0
2001,Albania,WIND,0
2001,Albania,GEOTHERMAL,0
2001,Albania,SOLAR,0
2001,Albania,HYDROPOWER,331.85
2001,Albania,MARINE,0
2001,Albania,ALL,331.85
2002,Albania,MARINE,0
2002,Albania,MULTIPLE,0
2002,Albania,GEOTHERMAL,0
2002,Albania,BIOENERGY,0
2002,Albania,ALL,3.74
2002,Albania,WIND,0
2002,Albania,HYDROPOWER,3.74
2002,Albania,SOLAR,0
2003,Albania,WIND,0
2003,Albania,GEOTHERMAL,0
2003,Albania,SOLAR,0
2003,Albania,HYDROPOWER,0.19
2003,Albania,ALL,0.19
2003,Albania,MULTIPLE,0
2010,Azerbaijan,GEOTHERMAL,0
2010,Azerbaijan,ALL,192.19
2010,Azerbaijan,WIND,0
2010,Azerbaijan,HYDROPOWER,0
2010,Azerbaijan,SOLAR,0
2000,Armenia,MULTIPLE,0
2000,Armenia,HYDROPOWER,0
2000,Armenia,SOLAR,0
2000,Armenia,WIND,0
2000,Armenia,BIOENERGY,0
2000,Azerbaijan,WIND,0
2000,Azerbaijan,SOLAR,0
2000,Azerbaijan,MARINE,0
2000,Azerbaijan,MULTIPLE,4.94
2000,Azerbaijan,HYDROPOWER,0
2000,Armenia,GEOTHERMAL,0
2000,Armenia,ALL,0
2000,Armenia,MARINE,0
2001,Armenia,BIOENERGY,0
2001,Armenia,HYDROPOWER,7.96
2003,Albania,BIOENERGY,0
2003,Albania,MARINE,0
2004,Albania,ALL,0
2004,Albania,HYDROPOWER,0
2004,Albania,SOLAR,0
2001,Armenia,SOLAR,0
2001,Armenia,GEOTHERMAL,0
2001,Armenia,WIND,0
2001,Armenia,MULTIPLE,0
2001,Armenia,MARINE,0
2010,Azerbaijan,MULTIPLE,192.19
2010,Azerbaijan,MARINE,0
2010,Azerbaijan,BIOENERGY,0
2011,Azerbaijan,HYDROPOWER,0
2011,Azerbaijan,WIND,0
2004,Albania,MARINE,0
2004,Albania,BIOENERGY,0
2004,Albania,MULTIPLE,0
2004,Albania,GEOTHERMAL,0
2004,Albania,WIND,0
2001,Armenia,ALL,7.96
2002,Armenia,GEOTHERMAL,0
2002,Armenia,ALL,0.05
2002,Armenia,MARINE,0
2002,Armenia,MULTIPLE,0.05
2011,Azerbaijan,MULTIPLE,0.02
2011,Azerbaijan,ALL,0.02
2011,Azerbaijan,GEOTHERMAL,0
2011,Azerbaijan,MARINE,0
2011,Azerbaijan,SOLAR,0
2002,Armenia,SOLAR,0
2002,Armenia,HYDROPOWER,0
2002,Armenia,WIND,0
2002,Armenia,BIOENERGY,0
2003,Armenia,GEOTHERMAL,0
2011,Azerbaijan,BIOENERGY,0
2012,Azerbaijan,BIOENERGY,0
2012,Azerbaijan,SOLAR,0
2012,Azerbaijan,MARINE,0
2012,Azerbaijan,GEOTHERMAL,0
2003,Armenia,HYDROPOWER,0
2003,Armenia,MARINE,0
2003,Armenia,ALL,2.82
2003,Armenia,BIOENERGY,0.2
2003,Armenia,MULTIPLE,2.62
2012,Azerbaijan,ALL,0
2012,Azerbaijan,MULTIPLE,0
2012,Azerbaijan,WIND,0
2012,Azerbaijan,HYDROPOWER,0
2013,Azerbaijan,MARINE,0
2003,Armenia,WIND,0
2003,Armenia,SOLAR,0
2004,Armenia,WIND,0
2004,Armenia,HYDROPOWER,0
2004,Armenia,GEOTHERMAL,0
2013,Azerbaijan,SOLAR,0
2013,Azerbaijan,GEOTHERMAL,0
2013,Azerbaijan,BIOENERGY,0
2013,Azerbaijan,ALL,0
2013,Azerbaijan,HYDROPOWER,0
2004,Armenia,ALL,10.7
2004,Armenia,SOLAR,0
2004,Armenia,MARINE,0
2004,Armenia,MULTIPLE,10.7
2004,Armenia,BIOENERGY,0
2013,Azerbaijan,WIND,0
2013,Azerbaijan,MULTIPLE,0
2014,Azerbaijan,HYDROPOWER,0
2014,Azerbaijan,SOLAR,0
2014,Azerbaijan,GEOTHERMAL,0
2005,Armenia,MULTIPLE,2.55
2005,Armenia,ALL,3.03
2005,Armenia,BIOENERGY,0.48
2005,Armenia,MARINE,0
2005,Armenia,WIND,0
2005,Albania,SOLAR,0.45
2005,Albania,HYDROPOWER,20.13
2005,Albania,ALL,20.57
2005,Albania,BIOENERGY,0
2005,Albania,MARINE,0
2014,Azerbaijan,MARINE,0
2014,Azerbaijan,MULTIPLE,0.02
2014,Azerbaijan,ALL,0.02
2014,Azerbaijan,BIOENERGY,0
2014,Azerbaijan,WIND,0
2000,Azerbaijan,GEOTHERMAL,0
2000,Azerbaijan,ALL,4.94
2000,Azerbaijan,BIOENERGY,0
2001,Azerbaijan,GEOTHERMAL,0
2001,Azerbaijan,BIOENERGY,0
2005,Armenia,GEOTHERMAL,0
2005,Armenia,HYDROPOWER,0
2005,Armenia,SOLAR,0
2006,Armenia,WIND,0
2006,Armenia,MARINE,0
2015,Azerbaijan,MULTIPLE,0.01
2015,Azerbaijan,MARINE,0
2015,Azerbaijan,SOLAR,0
2015,Azerbaijan,BIOENERGY,0
2015,Azerbaijan,ALL,79.71
2005,Albania,WIND,0
2005,Albania,GEOTHERMAL,0
2005,Albania,MULTIPLE,0
2006,Albania,GEOTHERMAL,0
2006,Albania,WIND,0
2006,Armenia,BIOENERGY,0.44
2006,Armenia,SOLAR,0
2006,Armenia,HYDROPOWER,7.77
2006,Armenia,GEOTHERMAL,0
2006,Armenia,ALL,13.77
2015,Azerbaijan,GEOTHERMAL,0
2015,Azerbaijan,HYDROPOWER,79.71
2015,Azerbaijan,WIND,0
2016,Azerbaijan,BIOENERGY,0
2016,Azerbaijan,WIND,0
2006,Armenia,MULTIPLE,5.55
2007,Armenia,BIOENERGY,1.55
2007,Armenia,MULTIPLE,0
2007,Armenia,WIND,0
2007,Armenia,SOLAR,0
2016,Azerbaijan,GEOTHERMAL,0
2016,Azerbaijan,ALL,0.01
2016,Azerbaijan,HYDROPOWER,0
2016,Azerbaijan,SOLAR,0
2016,Azerbaijan,MULTIPLE,0.01
2006,Albania,ALL,0
2006,Albania,HYDROPOWER,0
2006,Albania,SOLAR,0
2006,Albania,MARINE,0
2006,Albania,BIOENERGY,0
2007,Armenia,HYDROPOWER,0
2007,Armenia,MARINE,0
2007,Armenia,ALL,1.55
2007,Armenia,GEOTHERMAL,0
2008,Armenia,MARINE,0
2008,Armenia,MULTIPLE,0
2008,Armenia,WIND,0
2008,Armenia,BIOENERGY,0
2008,Armenia,SOLAR,0
2008,Armenia,HYDROPOWER,0.09
2016,Azerbaijan,MARINE,0
2017,Azerbaijan,WIND,0
2017,Azerbaijan,HYDROPOWER,0
2017,Azerbaijan,MULTIPLE,0.02
2017,Azerbaijan,SOLAR,0
2006,Albania,MULTIPLE,0
2007,Albania,BIOENERGY,0
2007,Albania,MARINE,0
2007,Albania,GEOTHERMAL,0
2007,Albania,MULTIPLE,1.59
2008,Armenia,GEOTHERMAL,0
2008,Armenia,ALL,0.09
2009,Armenia,GEOTHERMAL,0
2009,Armenia,HYDROPOWER,0.24
2009,Armenia,MULTIPLE,0
2009,Armenia,ALL,0.41
2009,Armenia,SOLAR,0
2009,Armenia,BIOENERGY,0.17
2009,Armenia,MARINE,0
2009,Armenia,WIND,0
2017,Azerbaijan,MARINE,0
2017,Azerbaijan,BIOENERGY,0
2017,Azerbaijan,ALL,0.02
2017,Azerbaijan,GEOTHERMAL,0
2018,Azerbaijan,GEOTHERMAL,0
2010,Armenia,HYDROPOWER,24.24
2010,Armenia,GEOTHERMAL,0
2010,Armenia,ALL,95.91
2010,Armenia,MULTIPLE,71.67
2010,Armenia,WIND,0
2018,Azerbaijan,BIOENERGY,0
2018,Azerbaijan,MARINE,0
2018,Azerbaijan,ALL,0
2018,Azerbaijan,HYDROPOWER,0
2018,Azerbaijan,WIND,0
2018,Azerbaijan,SOLAR,0
2018,Azerbaijan,MULTIPLE,0
2019,Azerbaijan,MULTIPLE,0.01
2019,Azerbaijan,SOLAR,0
2019,Azerbaijan,MARINE,0
2007,Albania,SOLAR,0
2007,Albania,HYDROPOWER,0
2007,Albania,WIND,0
2007,Albania,ALL,1.59
2008,Albania,BIOENERGY,0
2019,Azerbaijan,GEOTHERMAL,0
2019,Azerbaijan,ALL,0.01
2019,Azerbaijan,WIND,0
2019,Azerbaijan,HYDROPOWER,0
2019,Azerbaijan,BIOENERGY,0
2010,Armenia,SOLAR,0
2010,Armenia,MARINE,0
2010,Armenia,BIOENERGY,0
2011,Armenia,ALL,0.87
2011,Armenia,GEOTHERMAL,0
2020,Azerbaijan,SOLAR,0
2020,Azerbaijan,MULTIPLE,0.01
2020,Azerbaijan,ALL,0.01
2020,Azerbaijan,GEOTHERMAL,0
2020,Azerbaijan,MARINE,0
2008,Albania,MULTIPLE,0
2008,Albania,GEOTHERMAL,0
2008,Albania,WIND,0
2008,Albania,ALL,0
2008,Albania,MARINE,0
2011,Armenia,MARINE,0
2011,Armenia,MULTIPLE,0
2011,Armenia,BIOENERGY,0.1
2011,Armenia,HYDROPOWER,0.77
2011,Armenia,WIND,0
2020,Azerbaijan,BIOENERGY,0
2020,Azerbaijan,HYDROPOWER,0
2020,Azerbaijan,WIND,0
2021,Azerbaijan,MARINE,0
2021,Azerbaijan,GEOTHERMAL,0
2011,Armenia,SOLAR,0
2012,Armenia,SOLAR,0
2012,Armenia,WIND,0
2012,Armenia,BIOENERGY,0
2012,Armenia,HYDROPOWER,24.22
2001,Azerbaijan,SOLAR,0
2001,Azerbaijan,ALL,0
2001,Azerbaijan,HYDROPOWER,0
2001,Azerbaijan,MULTIPLE,0
2001,Azerbaijan,WIND,0
2012,Armenia,GEOTHERMAL,0
2012,Armenia,ALL,76.67
2012,Armenia,MULTIPLE,52.44
2012,Armenia,MARINE,0
2013,Armenia,MARINE,0
2013,Armenia,MULTIPLE,0
2013,Armenia,BIOENERGY,0
2013,Armenia,WIND,0
2013,Armenia,SOLAR,0
2013,Armenia,ALL,26.6
2021,Azerbaijan,ALL,0.01
2021,Azerbaijan,HYDROPOWER,0
2021,Azerbaijan,BIOENERGY,0
2021,Azerbaijan,MULTIPLE,0.01
2021,Azerbaijan,SOLAR,0
2013,Armenia,GEOTHERMAL,0
2013,Armenia,HYDROPOWER,26.6
2014,Armenia,MULTIPLE,0.01
2014,Armenia,MARINE,0
2014,Armenia,SOLAR,0
2014,Armenia,WIND,0
2014,Armenia,BIOENERGY,0
2014,Armenia,HYDROPOWER,9.58
2014,Armenia,GEOTHERMAL,0
2014,Armenia,ALL,9.59
2008,Albania,HYDROPOWER,0
2008,Albania,SOLAR,0
2009,Albania,GEOTHERMAL,0
2009,Albania,MULTIPLE,0.11
2009,Albania,SOLAR,0
2015,Armenia,BIOENERGY,0
2015,Armenia,WIND,0
2015,Armenia,SOLAR,0
2015,Armenia,GEOTHERMAL,9.42
2015,Armenia,HYDROPOWER,14.36
2009,Albania,WIND,0
2009,Albania,HYDROPOWER,0.04
2009,Albania,BIOENERGY,0
2009,Albania,MARINE,0
