Year,GeoAreaName,Type of renewable technology,Value
2000,Azerbaijan,ALL,112.572
2000,Azerbaijan,SOLAR,0
2000,Azerbaijan,WIND,0
2000,Azerbaijan,BIOENERGY,0
2000,Azerbaijan,HYDROPOWER,112.572
2001,Azerbaijan,HYDROPOWER,112.654
2001,Azerbaijan,BIOENERGY,0
2001,Azerbaijan,WIND,0
2001,Azerbaijan,SOLAR,0
2001,Azerbaijan,ALL,112.654
2002,Azerbaijan,ALL,111.561
2002,Azerbaijan,SOLAR,0
2002,Azerbaijan,WIND,0
2002,Azerbaijan,BIOENERGY,0
2002,Azerbaijan,HYDROPOWER,111.561
2003,Azerbaijan,HYDROPOWER,114.626
2003,Azerbaijan,BIOENERGY,0
2003,Azerbaijan,WIND,0
2003,Azerbaijan,SOLAR,0
2003,Azerbaijan,ALL,114.626
2004,Azerbaijan,ALL,113.369
2004,Azerbaijan,SOLAR,0
2004,Azerbaijan,WIND,0
2004,Azerbaijan,BIOENERGY,0
2004,Azerbaijan,HYDROPOWER,113.369
2005,Azerbaijan,HYDROPOWER,112.058
2005,Azerbaijan,BIOENERGY,0
2005,Azerbaijan,WIND,0
2005,Azerbaijan,SOLAR,0
2005,Azerbaijan,ALL,112.058
2006,Azerbaijan,ALL,116.964
2006,Azerbaijan,SOLAR,0
2006,Azerbaijan,BIOENERGY,0
2006,Azerbaijan,WIND,0
2006,Azerbaijan,HYDROPOWER,116.964
2007,Azerbaijan,HYDROPOWER,115.449
2007,Azerbaijan,WIND,0
2007,Azerbaijan,BIOENERGY,0
2007,Azerbaijan,SOLAR,0.011
2007,Azerbaijan,ALL,115.46
2008,Azerbaijan,ALL,113.904
2008,Azerbaijan,SOLAR,0.011
2008,Azerbaijan,BIOENERGY,0
2008,Azerbaijan,WIND,0
2008,Azerbaijan,HYDROPOWER,113.893
2009,Azerbaijan,HYDROPOWER,108.228
2009,Azerbaijan,WIND,0.219
2009,Azerbaijan,BIOENERGY,0
2009,Azerbaijan,SOLAR,0.011
2009,Azerbaijan,ALL,108.458
2010,Azerbaijan,ALL,107.966
2010,Azerbaijan,SOLAR,0.032
2010,Azerbaijan,BIOENERGY,0
2010,Azerbaijan,WIND,0.217
2010,Azerbaijan,HYDROPOWER,107.717
2011,Azerbaijan,HYDROPOWER,106.635
2011,Azerbaijan,WIND,0.214
2011,Azerbaijan,BIOENERGY,0
2011,Azerbaijan,SOLAR,0.107
2011,Azerbaijan,ALL,106.956
2012,Azerbaijan,HYDROPOWER,107.848
2012,Azerbaijan,ALL,108.164
2012,Azerbaijan,SOLAR,0.105
2012,Azerbaijan,BIOENERGY,0
2012,Azerbaijan,WIND,0.211
2013,Azerbaijan,HYDROPOWER,112.747
2013,Azerbaijan,WIND,0.281
2013,Azerbaijan,BIOENERGY,3.848
2013,Azerbaijan,SOLAR,0.104
2013,Azerbaijan,ALL,116.98
2014,Azerbaijan,ALL,114.978
2014,Azerbaijan,SOLAR,0.246
2014,Azerbaijan,BIOENERGY,3.798
2014,Azerbaijan,WIND,0.277
2014,Azerbaijan,HYDROPOWER,110.656
2015,Azerbaijan,HYDROPOWER,111.827
2015,Azerbaijan,WIND,0.811
2015,Azerbaijan,BIOENERGY,3.858
2015,Azerbaijan,SOLAR,0.487
2015,Azerbaijan,ALL,116.982
2016,Azerbaijan,ALL,118.647
2016,Azerbaijan,SOLAR,2.496
2016,Azerbaijan,BIOENERGY,3.814
2016,Azerbaijan,WIND,1.574
2016,Azerbaijan,HYDROPOWER,110.763
2017,Azerbaijan,HYDROPOWER,109.854
2017,Azerbaijan,WIND,1.559
2017,Azerbaijan,BIOENERGY,4.274
2017,Azerbaijan,SOLAR,2.82
2017,Azerbaijan,ALL,118.507
2018,Azerbaijan,ALL,125.757
2018,Azerbaijan,SOLAR,3.438
2018,Azerbaijan,BIOENERGY,4.437
2018,Azerbaijan,WIND,6.501
2018,Azerbaijan,HYDROPOWER,111.381
2019,Azerbaijan,HYDROPOWER,111.876
2019,Azerbaijan,WIND,6.45
2019,Azerbaijan,BIOENERGY,4.403
2019,Azerbaijan,SOLAR,3.235
2019,Azerbaijan,ALL,125.963
2020,Azerbaijan,ALL,125.966
2020,Azerbaijan,SOLAR,3.413
2020,Azerbaijan,BIOENERGY,4.38
2020,Azerbaijan,WIND,6.417
