Year,GeoAreaName,Value
2000,Albania,5.41
2001,Albania,8.69
2002,Albania,4.08
2003,Albania,6.09
2004,Albania,6.38
2005,Albania,6.82
2006,Albania,7.23
2007,Albania,8.18
2008,Albania,5.62
2009,Albania,0.26
2010,Albania,3.34
2011,Albania,-6.68
2012,Albania,6.02
2013,Albania,12.52
2014,Albania,2.03
2015,Albania,-3.11
2016,Albania,-2.44
2017,Albania,-0.04
2018,Albania,-0.04
2019,Albania,-0.85
2020,Albania,4.19
2021,Albania,4.6
2000,France,1.35
2001,France,-0.12
2002,France,0.15
2003,France,-1.53
2004,France,3.05
2005,France,0.45
2006,France,1.8
2007,France,0.57
2008,France,-1.21
2009,France,-2.02
2010,France,1.67
2011,France,2.04
2012,France,0.11
2013,France,0.77
2014,France,1.5
2015,France,0.9
2016,France,0.69
2017,France,1.48
2018,France,1.09
2019,France,1.43
2020,France,-7.36
2021,France,3.74
2022,France,0.93
2000,Georgia,3.77
2001,Georgia,4.07
2002,Georgia,10.65
2003,Georgia,8.23
2004,Georgia,9.14
2005,Georgia,12.23
2006,Georgia,12.27
2007,Georgia,10.36
2008,Georgia,8.16
2009,Georgia,-1.43
2022,Albania,2.32
2000,Azerbaijan,10.84
2001,Azerbaijan,9.29
2002,Azerbaijan,8.82
2003,Azerbaijan,9.45
2004,Azerbaijan,9.34
2005,Azerbaijan,26.73
2006,Azerbaijan,34.12
2007,Azerbaijan,27.38
2008,Azerbaijan,9.76
2009,Azerbaijan,7.33
2010,Georgia,4.56
2011,Georgia,5.85
2012,Georgia,4.8
2013,Georgia,4.53
2014,Georgia,1.7
2015,Georgia,0.83
2016,Georgia,4.06
2017,Georgia,5.44
2018,Georgia,7.43
2019,Georgia,5.71
2020,Georgia,-6.93
2010,Azerbaijan,3.54
2011,Azerbaijan,-1.99
2012,Azerbaijan,-0.06
2013,Azerbaijan,3.86
2014,Azerbaijan,0.28
2015,Azerbaijan,-0.99
2016,Azerbaijan,-5.73
2017,Azerbaijan,-1.57
2018,Azerbaijan,-0.19
2019,Azerbaijan,1.65
2020,Azerbaijan,-5.46
2021,Georgia,10.73
2022,Georgia,8.57
2000,Germany,2.43
2001,Germany,1.32
2002,Germany,0.76
2003,Germany,0.45
2004,Germany,2.83
2005,Germany,-1.71
2006,Germany,1.56
2007,Germany,0.64
2008,Germany,-0.65
2009,Germany,-5.9
2010,Germany,3.15
2011,Germany,1.18
2012,Germany,-0.31
2013,Germany,-0.47
