Year,GeoAreaName,Age,Sex,Type of occupation,Value
2016,Armenia,,FEMALE,isco08-9,357.22
2016,Armenia,,MALE,isco08-6,370.79
2016,Armenia,,MALE,isco08-5,539.07
2016,Armenia,,MALE,isco08-2,861.11
2016,Armenia,,MALE,isco08-9,430.56
2016,Armenia,,MALE,_T,647.84
2016,Armenia,,MALE,isco08-1,904.87
2016,Armenia,,FEMALE,isco08-8,388.13
2016,Armenia,,BOTHSEX,isco08-7,535.5
2016,Armenia,,BOTHSEX,isco08-5,455.58
2016,Armenia,,BOTHSEX,isco08-8,573.66
2016,Armenia,,BOTHSEX,isco08-6,372.38
2016,Armenia,,FEMALE,isco08-1,835.54
2016,Armenia,,FEMALE,isco08-6,375.7
2016,Armenia,,FEMALE,isco08-7,430.78
2016,Armenia,,FEMALE,isco08-5,365.23
2016,Armenia,,FEMALE,isco08-4,440.32
2016,Armenia,,FEMALE,isco08-3,467.03
2016,Armenia,,MALE,isco08-8,580.9
2016,Armenia,,MALE,isco08-7,575.67
2016,Armenia,,MALE,isco08-3,744.44
2016,Armenia,,BOTHSEX,_T,586.04
2016,Armenia,,BOTHSEX,isco08-3,582.82
2016,Armenia,,BOTHSEX,isco08-4,493.78
2016,Armenia,,BOTHSEX,isco08-2,754.7
2016,Armenia,,BOTHSEX,isco08-1,882.85
2016,Armenia,,MALE,isco08-4,577.89
2017,Armenia,,MALE,isco08-5,553.62
2017,Armenia,,MALE,isco08-8,594.59
2017,Armenia,,MALE,isco08-7,597.21
2017,Armenia,,MALE,isco08-6,401.27
2017,Armenia,,FEMALE,isco08-3,465.7
2017,Armenia,,FEMALE,isco08-4,461.56
2017,Armenia,,FEMALE,isco08-7,411.44
2017,Armenia,,FEMALE,isco08-6,399.17
2017,Armenia,,FEMALE,isco08-1,930.49
2017,Armenia,,BOTHSEX,isco08-6,400.43
2017,Armenia,,BOTHSEX,isco08-8,588.44
2017,Armenia,,BOTHSEX,isco08-5,477.13
2017,Armenia,,BOTHSEX,isco08-7,546.17
2017,Armenia,,FEMALE,isco08-8,492
2017,Armenia,,FEMALE,isco08-9,395.72
2002,Bulgaria,,MALE,isco88-3,1.09
2002,Bulgaria,,MALE,isco88-4,0.65
2002,Bulgaria,,MALE,isco88-5,0.51
2002,Bulgaria,,MALE,isco88-9,0.5
2002,Bulgaria,,BOTHSEX,isco88-3,0.93
2002,Bulgaria,,BOTHSEX,isco88-4,0.68
2002,Bulgaria,,BOTHSEX,isco88-8,0.77
2002,Bulgaria,,BOTHSEX,isco88-9,0.49
2017,Armenia,,MALE,isco08-1,884.29
2017,Armenia,,FEMALE,isco08-5,376.98
2017,Armenia,,BOTHSEX,isco08-1,899.67
2017,Armenia,,BOTHSEX,_T,592.76
2017,Armenia,,BOTHSEX,isco08-4,507.2
2017,Armenia,,MALE,_T,661.29
2017,Armenia,,MALE,isco08-4,605.36
2002,Bulgaria,,MALE,isco88-1,1.69
2002,Bulgaria,,MALE,isco88-2,1.26
2002,Bulgaria,,FEMALE,isco88-4,0.69
2002,Bulgaria,,FEMALE,isco88-5,0.45
2002,Bulgaria,,FEMALE,isco88-7,0.5
2002,Bulgaria,,FEMALE,isco88-3,0.85
2002,Bulgaria,,MALE,isco88-X,0.54
2002,Bulgaria,,BOTHSEX,_T,0.8
2017,Armenia,,MALE,isco08-9,469.84
2017,Armenia,,MALE,isco08-2,937.82
2017,Armenia,,MALE,isco08-3,751.8
2017,Armenia,,BOTHSEX,isco08-3,559.12
2017,Armenia,,BOTHSEX,isco08-2,769.63
2017,Armenia,,BOTHSEX,isco08-9,433.45
2017,Armenia,,FEMALE,isco08-2,675.51
2002,Bulgaria,,BOTHSEX,isco88-5,0.47
2002,Bulgaria,,BOTHSEX,isco88-7,0.75
2002,Bulgaria,,MALE,isco88-7,0.86
2002,Bulgaria,,MALE,isco88-8,0.83
2002,Bulgaria,,FEMALE,isco88-X,0.52
2002,Bulgaria,,MALE,_T,0.88
2002,Bulgaria,,FEMALE,isco88-9,0.48
2002,Bulgaria,,FEMALE,isco88-8,0.64
2017,Armenia,,FEMALE,_T,519.89
2018,Armenia,,MALE,_T,674.1
2018,Armenia,,MALE,isco08-1,928.18
2018,Armenia,,FEMALE,isco08-9,364.96
2018,Armenia,,FEMALE,isco08-8,397.33
2018,Armenia,,BOTHSEX,isco08-7,566.53
2018,Armenia,,BOTHSEX,isco08-5,509.61
2002,Albania,,MALE,isco88-3,151.35
2002,Albania,,MALE,isco88-4,90.9
2002,Albania,,MALE,isco88-5,97.67
2002,Albania,,MALE,isco88-2,164.73
2002,Albania,,MALE,isco88-7,139.01
2002,Albania,,MALE,isco88-8,141.12
2002,Albania,,MALE,isco88-9,100.93
2002,Albania,,FEMALE,isco88-5,67.89
2002,Albania,,FEMALE,isco88-6,125.98
2018,Croatia,,BOTHSEX,isco08-2,69
2018,Croatia,,BOTHSEX,isco08-3,52
2018,Croatia,,FEMALE,isco08-9,27
2018,Croatia,,MALE,isco08-1,106
2018,Croatia,,MALE,isco08-2,77
2018,Croatia,,MALE,isco08-9,34
2002,Bulgaria,,BOTHSEX,isco88-X,0.53
2002,Bulgaria,,BOTHSEX,isco88-2,1.07
2002,Bulgaria,,FEMALE,isco88-2,0.98
2002,Bulgaria,,FEMALE,isco88-1,1.41
2002,Bulgaria,,FEMALE,_T,0.72
2002,Bulgaria,,BOTHSEX,isco88-1,1.58
2006,Bulgaria,,BOTHSEX,isco88-7,1.02
2006,Bulgaria,,BOTHSEX,isco88-1,2.61
2006,Bulgaria,,FEMALE,isco88-4,0.96
2006,Bulgaria,,FEMALE,isco88-3,1.32
2006,Bulgaria,,FEMALE,isco88-9,0.66
2006,Bulgaria,,BOTHSEX,isco88-6,0.7
2006,Bulgaria,,BOTHSEX,isco88-5,0.69
2018,Croatia,,BOTHSEX,isco08-4,45
2018,Croatia,,BOTHSEX,isco08-6,32
2018,Croatia,,BOTHSEX,isco08-7,37
2018,Croatia,,BOTHSEX,isco08-5,35
2018,Croatia,,BOTHSEX,isco08-1,92
2018,Croatia,,BOTHSEX,isco08-8,39
2018,Croatia,,FEMALE,isco08-2,63
2018,Croatia,,FEMALE,isco08-3,48
2018,Croatia,,FEMALE,isco08-4,44
2018,Croatia,,FEMALE,isco08-5,32
2018,Croatia,,MALE,isco08-3,56
2018,Croatia,,MALE,isco08-4,47
2018,Armenia,,BOTHSEX,isco08-8,593.29
2018,Armenia,,BOTHSEX,isco08-6,443.61
2018,Armenia,,BOTHSEX,_T,615.11
2018,Armenia,,BOTHSEX,isco08-1,870.85
2018,Armenia,,BOTHSEX,isco08-4,554.86
2018,Armenia,,FEMALE,isco08-6,379.55
2018,Armenia,,FEMALE,isco08-5,427.86
2018,Croatia,,MALE,_T,50
2018,Croatia,,FEMALE,isco08-6,33
2018,Croatia,,FEMALE,_T,44
2018,Croatia,,FEMALE,isco08-1,75
2018,Croatia,,MALE,isco08-5,38
2018,Croatia,,MALE,isco08-6,32
2018,Croatia,,MALE,isco08-7,39
2018,Croatia,,MALE,isco08-8,40
2018,Croatia,,BOTHSEX,_T,47
2018,Croatia,,BOTHSEX,isco08-9,30
2018,Croatia,,FEMALE,isco08-7,28
2018,Croatia,,FEMALE,isco08-8,31
2006,Bulgaria,,BOTHSEX,isco88-9,0.66
2006,Bulgaria,,FEMALE,isco88-1,2.46
2006,Bulgaria,,FEMALE,isco88-2,1.56
2006,Bulgaria,,FEMALE,_T,1.04
2006,Bulgaria,,BOTHSEX,isco88-2,1.72
2006,Bulgaria,,BOTHSEX,isco88-8,1.01
2018,Armenia,,FEMALE,isco08-4,492.2
2018,Armenia,,FEMALE,isco08-3,498.78
2018,Armenia,,MALE,isco08-6,468.5
2018,Armenia,,MALE,isco08-7,621.39
2018,Armenia,,MALE,isco08-5,573.09
2018,Armenia,,FEMALE,isco08-1,771.98
2018,Armenia,,FEMALE,_T,547.38
2002,Cyprus,,BOTHSEX,_T,7.55
2002,Cyprus,,BOTHSEX,isco88-2,12.35
2002,Cyprus,,MALE,isco88-9,6.29
2002,Cyprus,,MALE,isco88-7,7.54
2002,Cyprus,,MALE,isco88-8,7.1
2002,Cyprus,,MALE,isco88-4,8.05
2002,Cyprus,,MALE,isco88-5,6.6
2006,Bulgaria,,BOTHSEX,isco88-4,0.97
2006,Bulgaria,,BOTHSEX,isco88-3,1.43
2006,Bulgaria,,BOTHSEX,_T,1.11
2006,Bulgaria,,FEMALE,isco88-7,0.76
2006,Bulgaria,,FEMALE,isco88-5,0.67
2006,Bulgaria,,FEMALE,isco88-6,0.72
2002,Cyprus,,FEMALE,isco88-7,5.04
2002,Cyprus,,FEMALE,isco88-8,4.11
2002,Cyprus,,BOTHSEX,isco88-X,6.43
2002,Cyprus,,FEMALE,_T,5.96
2002,Cyprus,,BOTHSEX,isco88-9,5.59
2002,Cyprus,,FEMALE,isco88-4,5.61
2002,Cyprus,,MALE,_T,8.69
2002,Cyprus,,FEMALE,isco88-9,4.81
2002,Cyprus,,BOTHSEX,isco88-3,9.57
2002,Cyprus,,BOTHSEX,isco88-4,6.24
2002,Cyprus,,BOTHSEX,isco88-1,19.26
2002,Cyprus,,MALE,isco88-1,19.55
2002,Cyprus,,MALE,isco88-2,13.13
2002,Cyprus,,MALE,isco88-3,10.97
2018,Armenia,,FEMALE,isco08-2,752.87
2018,Armenia,,BOTHSEX,isco08-9,426.28
2018,Armenia,,FEMALE,isco08-7,430.25
2018,Armenia,,BOTHSEX,isco08-3,596.9
2018,Armenia,,BOTHSEX,isco08-2,841.38
2018,Armenia,,MALE,isco08-3,751.65
2018,Armenia,,MALE,isco08-2,984.23
2006,Bulgaria,,FEMALE,isco88-8,0.86
2006,Bulgaria,,MALE,isco88-5,0.73
2006,Bulgaria,,MALE,isco88-6,0.68
2006,Bulgaria,,MALE,_T,1.19
2006,Bulgaria,,MALE,isco88-8,1.08
2006,Bulgaria,,MALE,isco88-7,1.14
