Year,GeoAreaName,Age,Sex,Value
2002,Albania,15+,FEMALE,4.98
2002,Albania,15-24,BOTHSEX,5.91
2002,Albania,25+,FEMALE,4.77
2002,Albania,25+,MALE,3.99
2002,Albania,15+,BOTHSEX,4.61
2002,Albania,15-24,FEMALE,5.72
2002,Albania,25+,BOTHSEX,4.32
2002,Albania,15+,MALE,4.33
2002,Albania,15-24,MALE,6.11
2005,Albania,25+,BOTHSEX,5.23
2005,Albania,25+,MALE,4.63
2005,Albania,15+,BOTHSEX,6.57
2005,Albania,15-24,FEMALE,11.54
2005,Albania,25+,FEMALE,6.09
2005,Albania,15+,MALE,6.2
2005,Albania,15-24,BOTHSEX,13.37
2005,Albania,15+,FEMALE,7.07
2005,Albania,15-24,MALE,14.95
2007,Albania,15-24,FEMALE,24.94
2007,Albania,15-24,MALE,27.59
2007,Albania,15+,FEMALE,16.43
2007,Albania,15+,MALE,15.68
2007,Albania,15-24,BOTHSEX,26.58
2007,Albania,25+,MALE,13.42
2007,Albania,25+,FEMALE,14.83
2007,Albania,25+,BOTHSEX,13.96
2007,Albania,15+,BOTHSEX,15.97
2008,Albania,25+,FEMALE,11.69
2008,Albania,15-24,FEMALE,27.3
2008,Albania,15+,MALE,12.52
2008,Albania,15-24,BOTHSEX,27.06
2008,Albania,15-24,MALE,26.88
2008,Albania,15+,BOTHSEX,13.06
2008,Albania,25+,BOTHSEX,10.93
2008,Albania,25+,MALE,10.3
2008,Albania,15+,FEMALE,13.72
2009,Albania,15+,BOTHSEX,13.67
2009,Albania,15-24,FEMALE,27.96
2009,Albania,15-24,MALE,26.16
2009,Albania,25+,BOTHSEX,11.15
2009,Albania,15-24,BOTHSEX,26.98
2009,Albania,15+,FEMALE,15.64
2009,Albania,15+,MALE,12.14
2009,Albania,25+,FEMALE,13.2
2009,Albania,25+,MALE,9.58
2010,Albania,15-24,BOTHSEX,30.5
2010,Albania,15+,MALE,12.73
2010,Albania,15-24,MALE,29.62
2010,Albania,15+,FEMALE,15.84
2010,Albania,25+,MALE,9.53
2010,Albania,25+,BOTHSEX,11.19
2010,Albania,25+,FEMALE,13.3
2010,Albania,15+,BOTHSEX,14.09
2010,Albania,15-24,FEMALE,31.84
2011,Albania,15-24,MALE,24.76
2011,Albania,15-24,BOTHSEX,22.66
2011,Albania,15+,MALE,13.27
2011,Albania,25+,MALE,10.63
2011,Albania,15+,FEMALE,13.75
2011,Albania,15-24,FEMALE,19.47
2011,Albania,25+,BOTHSEX,11.57
2011,Albania,25+,FEMALE,12.71
2011,Albania,15+,BOTHSEX,13.48
2012,Albania,25+,MALE,11.54
2012,Albania,15+,FEMALE,11.49
2012,Albania,15-24,FEMALE,23.35
2012,Albania,25+,BOTHSEX,10.89
2012,Albania,15-24,BOTHSEX,29.25
2012,Albania,15+,MALE,14.81
2012,Albania,15-24,MALE,32.28
2012,Albania,15+,BOTHSEX,13.38
2012,Albania,25+,FEMALE,10.08
2013,Albania,25+,FEMALE,11.93
2013,Albania,15-24,FEMALE,27.07
2013,Albania,25+,BOTHSEX,13.8
2013,Albania,25+,MALE,15.3
2013,Albania,15+,FEMALE,13.44
2013,Albania,15+,MALE,17.76
2013,Albania,15-24,MALE,33.65
2013,Albania,15+,BOTHSEX,15.87
2013,Albania,15-24,BOTHSEX,31.24
2014,Albania,15+,MALE,19.91
2014,Albania,15-24,MALE,43.61
2014,Albania,15+,FEMALE,15.52
2014,Albania,15+,BOTHSEX,18.05
2014,Albania,25+,MALE,16.37
2014,Albania,25+,FEMALE,13.72
2014,Albania,25+,BOTHSEX,15.23
2014,Albania,15-24,BOTHSEX,39.87
2014,Albania,15-24,FEMALE,32.81
2015,Albania,15-24,FEMALE,40.82
2015,Albania,25+,FEMALE,14.68
2015,Albania,15+,BOTHSEX,17.19
2015,Albania,15-24,BOTHSEX,39.98
2015,Albania,15-24,MALE,39.53
2015,Albania,25+,MALE,13.82
2015,Albania,25+,BOTHSEX,14.2
2015,Albania,15+,MALE,17.25
2015,Albania,15+,FEMALE,17.12
2016,Albania,15+,FEMALE,14.47
2016,Albania,15+,BOTHSEX,15.42
2016,Albania,25+,FEMALE,12.44
2016,Albania,15-24,MALE,37.69
2016,Albania,15-24,BOTHSEX,36.61
2016,Albania,15+,MALE,16.14
2016,Albania,15-24,FEMALE,34.84
2016,Albania,25+,MALE,13.37
2016,Albania,25+,BOTHSEX,12.96
2017,Albania,15-24,BOTHSEX,31.61
2017,Albania,25+,MALE,11.95
2017,Albania,25+,FEMALE,11.11
2017,Albania,15+,FEMALE,12.5
2017,Albania,15+,MALE,14.44
2017,Albania,25+,BOTHSEX,11.59
2017,Albania,15+,BOTHSEX,13.62
2017,Albania,15-24,MALE,33.68
2017,Albania,15-24,FEMALE,27.79
2018,Albania,25+,FEMALE,10.34
2018,Albania,25+,BOTHSEX,10.2
2018,Albania,15-24,MALE,29.51
2018,Albania,15+,BOTHSEX,12.3
2018,Albania,15-24,BOTHSEX,28.13
2018,Albania,15-24,FEMALE,25.8
2018,Albania,25+,MALE,10.08
2018,Albania,15+,MALE,12.63
2018,Albania,15+,FEMALE,11.88
2019,Albania,15-24,FEMALE,25.85
2019,Albania,15-24,BOTHSEX,26.98
2019,Albania,15+,FEMALE,11.32
2019,Albania,25+,BOTHSEX,9.47
2019,Albania,15+,BOTHSEX,11.47
2019,Albania,15+,MALE,11.58
2019,Albania,25+,FEMALE,9.61
2019,Albania,15-24,MALE,27.76
2019,Albania,25+,MALE,9.37
2000,Azerbaijan,15-24,MALE,19.18
2000,Azerbaijan,25+,BOTHSEX,9.08
2000,Azerbaijan,15-24,BOTHSEX,22.05
2000,Azerbaijan,15+,BOTHSEX,11.78
2000,Azerbaijan,25+,MALE,8.6
2000,Azerbaijan,15+,MALE,10.89
2000,Azerbaijan,15-24,FEMALE,25.41
2000,Azerbaijan,15+,FEMALE,12.73
2000,Azerbaijan,25+,FEMALE,9.58
2001,Azerbaijan,15+,FEMALE,11.53
2001,Azerbaijan,15-24,MALE,18.95
2001,Azerbaijan,25+,MALE,8.04
2001,Azerbaijan,15+,BOTHSEX,10.91
2001,Azerbaijan,15+,MALE,10.34
2001,Azerbaijan,15-24,BOTHSEX,22.03
2001,Azerbaijan,25+,FEMALE,8.13
2001,Azerbaijan,25+,BOTHSEX,8.09
2001,Azerbaijan,15-24,FEMALE,25.65
2002,Azerbaijan,15+,BOTHSEX,10.04
2002,Azerbaijan,25+,BOTHSEX,7.18
2002,Azerbaijan,15+,FEMALE,10.38
2002,Azerbaijan,15-24,MALE,18.7
2002,Azerbaijan,15-24,BOTHSEX,21.5
2002,Azerbaijan,15+,MALE,9.72
2002,Azerbaijan,15-24,FEMALE,24.57
2002,Azerbaijan,25+,FEMALE,6.89
2002,Azerbaijan,25+,MALE,7.46
2003,Azerbaijan,15+,FEMALE,9.27
2003,Azerbaijan,15-24,MALE,17.21
2003,Azerbaijan,25+,BOTHSEX,6.76
2003,Azerbaijan,25+,FEMALE,6.47
2003,Azerbaijan,15+,MALE,9.07
2003,Azerbaijan,15-24,BOTHSEX,18.88
2003,Azerbaijan,15-24,FEMALE,20.73
2003,Azerbaijan,15+,BOTHSEX,9.17
2003,Azerbaijan,25+,MALE,7.02
2004,Azerbaijan,15-24,FEMALE,21.2
2004,Azerbaijan,15+,FEMALE,8.04
2004,Azerbaijan,15+,BOTHSEX,7.99
2004,Azerbaijan,25+,MALE,6.1
2004,Azerbaijan,25+,BOTHSEX,5.62
2004,Azerbaijan,25+,FEMALE,5.1
2004,Azerbaijan,15-24,MALE,15.62
2004,Azerbaijan,15-24,BOTHSEX,18.23
2004,Azerbaijan,15+,MALE,7.94
2005,Azerbaijan,25+,FEMALE,5.15
2005,Azerbaijan,15-24,FEMALE,16.21
2005,Azerbaijan,15-24,BOTHSEX,15.37
2005,Azerbaijan,15+,BOTHSEX,7.26
2005,Azerbaijan,25+,BOTHSEX,5.32
2005,Azerbaijan,15+,MALE,7.23
2005,Azerbaijan,15+,FEMALE,7.28
2005,Azerbaijan,15-24,MALE,14.6
2005,Azerbaijan,25+,MALE,5.47
2006,Azerbaijan,25+,MALE,5.11
2006,Azerbaijan,15-24,MALE,15.23
2006,Azerbaijan,15+,BOTHSEX,6.62
2006,Azerbaijan,25+,FEMALE,4.48
2006,Azerbaijan,15+,MALE,6.88
2006,Azerbaijan,25+,BOTHSEX,4.81
2006,Azerbaijan,15+,FEMALE,6.33
2006,Azerbaijan,15-24,BOTHSEX,14.74
2006,Azerbaijan,15-24,FEMALE,14.25
2007,Azerbaijan,25+,FEMALE,4.31
2007,Azerbaijan,15+,BOTHSEX,6.33
2007,Azerbaijan,25+,BOTHSEX,4.9
2007,Azerbaijan,15+,MALE,7.09
2007,Azerbaijan,15+,FEMALE,5.5
2007,Azerbaijan,15-24,MALE,15.32
2007,Azerbaijan,15-24,FEMALE,11.71
2007,Azerbaijan,25+,MALE,5.45
2007,Azerbaijan,15-24,BOTHSEX,13.61
2008,Azerbaijan,15+,FEMALE,5.54
2008,Azerbaijan,15+,BOTHSEX,5.86
2008,Azerbaijan,15-24,FEMALE,12.06
2008,Azerbaijan,25+,MALE,4.44
2008,Azerbaijan,25+,FEMALE,4.44
2008,Azerbaijan,15+,MALE,6.15
2008,Azerbaijan,15-24,MALE,15.63
2008,Azerbaijan,15-24,BOTHSEX,13.96
2008,Azerbaijan,25+,BOTHSEX,4.44
2009,Azerbaijan,15-24,BOTHSEX,13.91
2009,Azerbaijan,15+,FEMALE,6.58
2009,Azerbaijan,25+,MALE,3.73
2009,Azerbaijan,15+,MALE,4.94
2009,Azerbaijan,25+,BOTHSEX,4.37
2009,Azerbaijan,15-24,FEMALE,14.85
2009,Azerbaijan,15+,BOTHSEX,5.74
2009,Azerbaijan,15-24,MALE,12.85
2009,Azerbaijan,25+,FEMALE,5.05
2010,Azerbaijan,15-24,MALE,13.9
2010,Azerbaijan,15+,MALE,4.39
2010,Azerbaijan,25+,FEMALE,5.61
2010,Azerbaijan,15-24,BOTHSEX,14.92
