Year,GeoAreaName,Age,Sex,Value
2010,Albania,5-17,FEMALE,2.1
2010,Albania,5-17,MALE,3.4
2010,Albania,5-17,BOTHSEX,2.8
2015,Armenia,5-17,FEMALE,2.7
2015,Armenia,5-17,MALE,4.9
2015,Armenia,5-17,BOTHSEX,3.9
2019,Belarus,5-17,MALE,4.6
2019,Belarus,5-17,FEMALE,3.4
2019,Belarus,5-17,BOTHSEX,4
2015,Georgia,5-17,FEMALE,0.9
2015,Georgia,5-17,MALE,2.1
2015,Georgia,5-17,BOTHSEX,1.5
2018,Kyrgyzstan,5-17,MALE,24.2
2018,Kyrgyzstan,5-17,BOTHSEX,20.1
2018,Kyrgyzstan,5-17,FEMALE,15.6
2018,Montenegro,5-17,FEMALE,6.9
2018,Montenegro,5-17,MALE,8.4
2018,Montenegro,5-17,BOTHSEX,7.7
2019,Serbia,5-17,BOTHSEX,9.1
2019,Serbia,5-17,MALE,11.1
2019,Serbia,5-17,FEMALE,6.8
2019,Türkiye,5-17,BOTHSEX,1.9
2019,Türkiye,5-17,MALE,2.9
2019,Türkiye,5-17,FEMALE,0.8
2016,Turkmenistan,5-17,BOTHSEX,0.3
2016,Turkmenistan,5-17,MALE,0.4
2016,Turkmenistan,5-17,FEMALE,0.1
2012,Ukraine,5-14,FEMALE,2.1
2012,Ukraine,5-14,BOTHSEX,2.2
2012,Ukraine,5-14,MALE,2.2
2019,North Macedonia,5-17,FEMALE,1.6
2019,North Macedonia,5-17,MALE,3.4
2019,North Macedonia,5-17,BOTHSEX,2.4
2019,North Macedonia,5-17,BOTHSEX,2.4
