Year,GeoAreaName,Age,Sex,Value
2010,Albania,5-14,FEMALE,3
2010,Albania,5-14,MALE,3.6
2010,Albania,5-14,BOTHSEX,3.3
2015,Armenia,5-17,BOTHSEX,4.1
2015,Armenia,5-17,FEMALE,3
2015,Armenia,5-17,MALE,5
2019,Belarus,5-17,FEMALE,3.4
2019,Belarus,5-17,MALE,4.7
2019,Belarus,5-17,BOTHSEX,4.1
2015,Georgia,5-17,BOTHSEX,1.6
2015,Georgia,5-17,FEMALE,1
2015,Georgia,5-17,MALE,2.1
2018,Kyrgyzstan,5-17,FEMALE,19.1
2018,Kyrgyzstan,5-17,MALE,25.1
2018,Kyrgyzstan,5-17,BOTHSEX,22.3
2018,Montenegro,5-17,FEMALE,7
2018,Montenegro,5-17,MALE,8.5
2018,Montenegro,5-17,BOTHSEX,7.7
2019,Serbia,5-17,MALE,11.2
2019,Serbia,5-17,FEMALE,7.5
2019,Serbia,5-17,BOTHSEX,9.5
2019,Türkiye,5-17,BOTHSEX,3.8
2019,Türkiye,5-17,MALE,4.1
2019,Türkiye,5-17,FEMALE,3.6
2016,Turkmenistan,5-17,MALE,0.4
2016,Turkmenistan,5-17,BOTHSEX,0.3
2016,Turkmenistan,5-17,FEMALE,0.1
2012,Ukraine,5-14,FEMALE,3.4
2012,Ukraine,5-14,MALE,3.1
2012,Ukraine,5-14,BOTHSEX,3.2
2019,North Macedonia,5-17,FEMALE,2.1
2019,North Macedonia,5-17,MALE,3.7
2019,North Macedonia,5-17,BOTHSEX,2.9
2019,North Macedonia,5-17,BOTHSEX,2.9
