Year,GeoAreaName,Value
2006,Austria,35.07137
2007,Austria,34.82319
2008,Austria,58.31815
2009,Austria,63.88079
2010,Austria,72.18168
2011,Austria,61.7761
2012,Austria,51.29437
2013,Austria,79.47492
2014,Austria,58.68144
2015,Austria,50.94635
2016,Austria,55.35914
2017,Austria,71.4008
2018,Austria,64.1351
2019,Austria,56.60949
2020,Austria,149.51349
2006,Belgium,179.1954
2007,Belgium,164.07923
2008,Belgium,217.94521
2009,Belgium,440.97195
2010,Belgium,364.67143
2011,Belgium,419.9075
2012,Belgium,200.85166
2013,Belgium,213.65959
2014,Belgium,239.57354
2015,Belgium,227.50347
2016,Belgium,207.28591
2017,Belgium,203.77608
2018,Belgium,207.10701
2019,Belgium,206.17462
2020,Belgium,214.76408
2010,Czechia,0.15304
2011,Czechia,11.28617
2012,Czechia,10.08207
2013,Czechia,8.86494
2014,Czechia,7.53523
2015,Czechia,12.48149
2016,Czechia,7.04674
2017,Czechia,9.40725
2018,Czechia,8.4978
2019,Czechia,8.59511
2020,Czechia,5.26581
2006,Denmark,231.4399
2007,Denmark,288.38423
2008,Denmark,291.92343
2009,Denmark,286.30509
2010,Denmark,334.04379
2011,Denmark,409.22678
2012,Denmark,391.74677
2013,Denmark,344.43132
2014,Denmark,310.92061
2015,Denmark,279.53363
2016,Denmark,266.16408
2017,Denmark,243.16449
2018,Denmark,297.79061
2019,Denmark,262.00475
2020,Denmark,178.87818
2006,Finland,47.88196
2007,Finland,57.34815
2008,Finland,88.86782
2009,Finland,111.8244
2010,Finland,153.70772
2011,Finland,164.93351
2012,Finland,153.93232
2013,Finland,143.17641
2014,Finland,192.61949
2015,Finland,164.23092
2016,Finland,134.35618
2017,Finland,178.79969
2018,Finland,101.44942
2019,Finland,154.3995
2020,Finland,150.15187
2006,France,581.66501
2007,France,1000.03279
2008,France,1153.15
2009,France,1077.16837
2010,France,970.23491
2011,France,1516.66246
2012,France,1881.78915
2013,France,1721.68506
2014,France,1960.83963
2015,France,1597.73665
2016,France,2041.98628
2017,France,2619.55074
2018,France,2509.9523
2019,France,2855.45584
2020,France,3407.22721
2006,Germany,1619.66625
2007,Germany,1699.88555
2008,Germany,2046.99293
2009,Germany,2214.19647
2010,Germany,3066.96777
2011,Germany,2925.07303
2012,Germany,2521.00726
2013,Germany,3329.54007
2014,Germany,4340.71994
2015,Germany,5547.51716
