Year,GeoAreaName,Mode of transportation,Value
2017,Albania,AIR,0
2020,Albania,AIR,0
2021,Albania,AIR,0
2017,Azerbaijan,AIR,61625500
2018,Azerbaijan,AIR,44088600
2019,Azerbaijan,AIR,1620437910
2020,Azerbaijan,AIR,2030378090
2021,Azerbaijan,AIR,3173723770
2017,Austria,AIR,391268000
2018,Austria,AIR,373511000
2019,Austria,AIR,320036527
2020,Austria,AIR,74560823
2021,Austria,AIR,125155714
2019,Armenia,AIR,326500
2020,Armenia,AIR,116920
2021,Armenia,AIR,1347896
2017,Belgium,AIR,1574378609
2018,Belgium,AIR,1285344187
2019,Belgium,AIR,1353426977
2020,Belgium,AIR,1265065944
2021,Belgium,AIR,1827413026.121
2020,Bosnia and Herzegovina,AIR,0
2017,Bulgaria,AIR,1718960
2018,Bulgaria,AIR,1375000
2019,Bulgaria,AIR,1257000
2020,Bulgaria,AIR,1024890
2021,Bulgaria,AIR,58087
2017,Belarus,AIR,1915100
2018,Belarus,AIR,1900400
2019,Belarus,AIR,2883900
2020,Belarus,AIR,1882857
2021,Belarus,AIR,2257300
2017,Croatia,AIR,582750
2018,Croatia,AIR,529790
2019,Croatia,AIR,440600
2020,Croatia,AIR,179350
2021,Croatia,AIR,148530
2017,Cyprus,AIR,340320
2018,Cyprus,AIR,21000
2019,Cyprus,AIR,140000
2020,Cyprus,AIR,328962
2021,Cyprus,AIR,105655.573
2017,Czechia,AIR,27814650
2018,Czechia,AIR,25226370
2019,Czechia,AIR,22732540
2020,Czechia,AIR,4323665
2021,Czechia,AIR,473080
2017,Denmark,AIR,256611493
2018,Denmark,AIR,254506828
2019,Denmark,AIR,273445109
2020,Denmark,AIR,174239640
2021,Denmark,AIR,98585333.33333
2017,Estonia,AIR,0
2017,Finland,AIR,852012630
2018,Finland,AIR,957638590
2019,Finland,AIR,1067315110
2020,Finland,AIR,480379190
2021,Finland,AIR,750289250
2017,France,AIR,4260597000
2018,France,AIR,4443789000
2019,France,AIR,4522586000
2020,France,AIR,2467943000
2021,France,AIR,4107030000
2017,Georgia,AIR,478400
2018,Georgia,AIR,750900
2019,Georgia,AIR,640604
2020,Georgia,AIR,134700
2021,Georgia,AIR,113350
2017,Germany,AIR,7901652344
2018,Germany,AIR,7969863640
2019,Germany,AIR,7763619214
2020,Germany,AIR,5454642249
2021,Germany,AIR,11533048536.03
2017,Greece,AIR,23525000
2018,Greece,AIR,21909000
2019,Greece,AIR,23905760
2020,Greece,AIR,10098440
2021,Greece,AIR,12459300
2017,Hungary,AIR,0
2020,Hungary,AIR,0
2021,Hungary,AIR,0
2017,Iceland,AIR,166752350
