Year,GeoAreaName,Mode of transportation,Value
2017,Albania,AIR,133237327
2018,Albania,AIR,256969287
2019,Albania,AIR,280493049
2020,Albania,AIR,113527000
2021,Albania,AIR,166314070
2017,Azerbaijan,AIR,4204082600
2018,Azerbaijan,AIR,4033395000
2019,Azerbaijan,AIR,4503442500
2020,Azerbaijan,AIR,899420600
2021,Azerbaijan,AIR,1401922800
2017,Austria,AIR,24082881695
2018,Austria,AIR,20696997000
2019,Austria,AIR,49993163000
2020,Austria,AIR,16977532950
2021,Austria,AIR,23414023110
2018,Armenia,AIR,84641900
2019,Armenia,AIR,269820300
2020,Armenia,AIR,60756462
2021,Armenia,AIR,197737059
2017,Belgium,AIR,25916236238
2018,Belgium,AIR,25126535950
2019,Belgium,AIR,26366954924
2020,Belgium,AIR,7129596339
2021,Belgium,AIR,10766673201
2019,Bosnia and Herzegovina,AIR,7353050
2020,Bosnia and Herzegovina,AIR,1812510
2017,Bulgaria,AIR,1782657000
2018,Bulgaria,AIR,1562404950
2019,Bulgaria,AIR,1035537000
2020,Bulgaria,AIR,555919000
2021,Bulgaria,AIR,45958000
2017,Belarus,AIR,2870926000
2018,Belarus,AIR,3216532000
2019,Belarus,AIR,3812796000
2020,Belarus,AIR,1600116000
2021,Belarus,AIR,1764526000
2017,Croatia,AIR,1505630950
2018,Croatia,AIR,1520730530
2019,Croatia,AIR,1547489420
2020,Croatia,AIR,420373690
2021,Croatia,AIR,536035270
2017,Cyprus,AIR,876789204
2018,Cyprus,AIR,498979000
2019,Cyprus,AIR,319634000
2020,Cyprus,AIR,126958000
2021,Cyprus,AIR,116532287
2017,Czechia,AIR,8929688560
2018,Czechia,AIR,15977805540
2019,Czechia,AIR,8735164620
2020,Czechia,AIR,2232061135
2021,Czechia,AIR,2818293600
2017,Denmark,AIR,12272000628
2018,Denmark,AIR,1052163808
2019,Denmark,AIR,820646607
2020,Denmark,AIR,368347138
2021,Denmark,AIR,3202710689
2017,Estonia,AIR,4048800
2018,Estonia,AIR,23918100
2019,Estonia,AIR,388000
2017,Finland,AIR,31051672480
2018,Finland,AIR,34854984690
2019,Finland,AIR,38538660640
2020,Finland,AIR,8147942770
2021,Finland,AIR,5081702160
2017,France,AIR,192909942000
2018,France,AIR,201954980000
2019,France,AIR,210879943000
2020,France,AIR,69373912000
2021,France,AIR,85544736000
2017,Georgia,AIR,599995000
2018,Georgia,AIR,1039669300
2019,Georgia,AIR,1058932944
2020,Georgia,AIR,190366500
2021,Georgia,AIR,192854140
2017,Germany,AIR,248023598072
2018,Germany,AIR,242053891260
2019,Germany,AIR,250461723852
2020,Germany,AIR,53328630590
2021,Germany,AIR,70226016260
2017,Greece,AIR,13367658582
2018,Greece,AIR,14141438533
2019,Greece,AIR,14957215784
2020,Greece,AIR,4810487673
2021,Greece,AIR,7579598700
2017,Hungary,AIR,37151967000
2018,Hungary,AIR,45225202520
2019,Hungary,AIR,64986692000
2020,Hungary,AIR,23808402000
2021,Hungary,AIR,31124340850
2017,Iceland,AIR,21638481370
2018,Iceland,AIR,24228765677
2019,Iceland,AIR,13676591920
2020,Iceland,AIR,2129771031
2021,Iceland,AIR,3912870008
2017,Ireland,AIR,204660046097
2018,Ireland,AIR,224622979353
2019,Ireland,AIR,232491414535
2020,Ireland,AIR,75429302960
2021,Ireland,AIR,95000062520
2017,Italy,AIR,44754917982
2018,Italy,AIR,48434788720
2019,Italy,AIR,52030486700
2020,Italy,AIR,11395718560
2021,Italy,AIR,2491316119
2017,Kazakhstan,AIR,12597236900
2018,Kazakhstan,AIR,12380575170
2019,Kazakhstan,AIR,13094629480
2020,Kazakhstan,AIR,7388985253
2021,Kazakhstan,AIR,12413392752
2017,Kyrgyzstan,AIR,2175846635
2018,Kyrgyzstan,AIR,2354224057
2019,Kyrgyzstan,AIR,1577657068
2020,Kyrgyzstan,AIR,316409391
2021,Kyrgyzstan,AIR,208159376
2017,Latvia,AIR,3609580000
2018,Latvia,AIR,4481595876
2019,Latvia,AIR,5498051296
2020,Latvia,AIR,1411755516
2021,Latvia,AIR,2088015000
2017,Lithuania,AIR,2056396100
2018,Lithuania,AIR,4275850
2019,Lithuania,AIR,48133857
2020,Lithuania,AIR,21614057
