Year,GeoAreaName,Activity,Value
2000,Austria,ISIC4_C,18.21
2001,Austria,ISIC4_C,18.34
2002,Austria,ISIC4_C,17.73
2003,Austria,ISIC4_C,17.45
2004,Austria,ISIC4_C,17.34
2005,Austria,ISIC4_C,17.41
2006,Austria,ISIC4_C,17.82
2007,Austria,ISIC4_C,18.15
2008,Austria,ISIC4_C,17.42
2009,Austria,ISIC4_C,16.36
2010,Austria,ISIC4_C,16.48
2011,Austria,ISIC4_C,16.6
2012,Austria,ISIC4_C,16.71
2013,Austria,ISIC4_C,16.5
2014,Austria,ISIC4_C,16.56
2015,Austria,ISIC4_C,16.69
2016,Austria,ISIC4_C,17.05
2017,Austria,ISIC4_C,16.84
2018,Austria,ISIC4_C,16.83
2019,Austria,ISIC4_C,16.59
2020,Austria,ISIC4_C,16.41
2021,Austria,ISIC4_C,16.55
2000,Armenia,ISIC4_C,15.83
2001,Armenia,ISIC4_C,14.74
2002,Armenia,ISIC4_C,14.21
2003,Armenia,ISIC4_C,14.39
2004,Armenia,ISIC4_C,12.75
2005,Armenia,ISIC4_C,12.73
2006,Armenia,ISIC4_C,10.2
2007,Armenia,ISIC4_C,8.81
2008,Armenia,ISIC4_C,8.31
2009,Armenia,ISIC4_C,8.17
2010,Armenia,ISIC4_C,9.19
2011,Armenia,ISIC4_C,10.02
2012,Armenia,ISIC4_C,9.42
2013,Armenia,ISIC4_C,9.68
2014,Armenia,ISIC4_C,9.67
2015,Armenia,ISIC4_C,9.21
2016,Armenia,ISIC4_C,10.28
2017,Armenia,ISIC4_C,10.63
2000,Republic of Moldova,ISIC4_C,13.62
2001,Republic of Moldova,ISIC4_C,15.1
2002,Republic of Moldova,ISIC4_C,14.22
2003,Republic of Moldova,ISIC4_C,14.78
2004,Republic of Moldova,ISIC4_C,13.9
2005,Republic of Moldova,ISIC4_C,12.77
2006,Republic of Moldova,ISIC4_C,11.96
2007,Republic of Moldova,ISIC4_C,11.27
2008,Republic of Moldova,ISIC4_C,10.78
2009,Republic of Moldova,ISIC4_C,10.13
2010,Republic of Moldova,ISIC4_C,9.95
2011,Republic of Moldova,ISIC4_C,10.56
2012,Republic of Moldova,ISIC4_C,10.65
2013,Republic of Moldova,ISIC4_C,11.19
2014,Republic of Moldova,ISIC4_C,11.6
2015,Republic of Moldova,ISIC4_C,11.96
2016,Republic of Moldova,ISIC4_C,11.9
2017,Republic of Moldova,ISIC4_C,11.55
2018,Republic of Moldova,ISIC4_C,11.21
2019,Republic of Moldova,ISIC4_C,10.64
2000,Albania,ISIC4_C,4.32
2001,Albania,ISIC4_C,4.1
2002,Albania,ISIC4_C,4.07
2003,Albania,ISIC4_C,4.12
2004,Albania,ISIC4_C,4.18
2005,Albania,ISIC4_C,4.43
2006,Albania,ISIC4_C,4.9
2007,Albania,ISIC4_C,5.3
2008,Albania,ISIC4_C,5
2009,Albania,ISIC4_C,5.2
2018,Armenia,ISIC4_C,11.27
2019,Armenia,ISIC4_C,11.71
2020,Armenia,ISIC4_C,12.34
2021,Armenia,ISIC4_C,11.4
2000,Belgium,ISIC4_C,17.54
2001,Belgium,ISIC4_C,17.04
2002,Belgium,ISIC4_C,16.79
2003,Belgium,ISIC4_C,16.2
2004,Belgium,ISIC4_C,16.09
2005,Belgium,ISIC4_C,15.87
2010,Albania,ISIC4_C,5.45
2011,Albania,ISIC4_C,5.66
2012,Albania,ISIC4_C,4.61
2013,Albania,ISIC4_C,5.06
2014,Albania,ISIC4_C,5.33
2015,Albania,ISIC4_C,5.67
2016,Albania,ISIC4_C,5.68
2017,Albania,ISIC4_C,6.16
2018,Albania,ISIC4_C,6.13
2019,Albania,ISIC4_C,6.26
2006,Belgium,ISIC4_C,15.02
2007,Belgium,ISIC4_C,15.06
2008,Belgium,ISIC4_C,13.99
2009,Belgium,ISIC4_C,12.92
2010,Belgium,ISIC4_C,13.34
2011,Belgium,ISIC4_C,12.93
2012,Belgium,ISIC4_C,12.62
2013,Belgium,ISIC4_C,12.56
2014,Belgium,ISIC4_C,12.56
2015,Belgium,ISIC4_C,12.69
2020,Republic of Moldova,ISIC4_C,10.49
2021,Republic of Moldova,ISIC4_C,9.38
2000,Montenegro,ISIC4_C,9.41
2001,Montenegro,ISIC4_C,11.71
2002,Montenegro,ISIC4_C,10.54
2003,Montenegro,ISIC4_C,8.88
2004,Montenegro,ISIC4_C,8.85
2005,Montenegro,ISIC4_C,8.3
2006,Montenegro,ISIC4_C,7.77
2007,Montenegro,ISIC4_C,5.1
2008,Montenegro,ISIC4_C,5.13
2009,Montenegro,ISIC4_C,4.53
2010,Montenegro,ISIC4_C,4.53
2011,Montenegro,ISIC4_C,4.97
2012,Montenegro,ISIC4_C,4.08
2013,Montenegro,ISIC4_C,4.04
2014,Montenegro,ISIC4_C,3.88
2015,Montenegro,ISIC4_C,4.09
2016,Montenegro,ISIC4_C,3.74
2017,Montenegro,ISIC4_C,3.85
2016,Belgium,ISIC4_C,12.36
2017,Belgium,ISIC4_C,12.43
2018,Belgium,ISIC4_C,12.17
2019,Belgium,ISIC4_C,12.35
2020,Belgium,ISIC4_C,12.29
2021,Belgium,ISIC4_C,12.32
2000,Bosnia and Herzegovina,ISIC4_C,9.3
2001,Bosnia and Herzegovina,ISIC4_C,9.41
2002,Bosnia and Herzegovina,ISIC4_C,9.31
2003,Bosnia and Herzegovina,ISIC4_C,9.3
2020,Albania,ISIC4_C,6.04
2021,Albania,ISIC4_C,6.23
2000,Azerbaijan,ISIC4_C,5.29
2001,Azerbaijan,ISIC4_C,6.19
2002,Azerbaijan,ISIC4_C,7.43
2003,Azerbaijan,ISIC4_C,8.64
2004,Azerbaijan,ISIC4_C,8.28
2005,Azerbaijan,ISIC4_C,6.49
2006,Azerbaijan,ISIC4_C,5.77
2007,Azerbaijan,ISIC4_C,4.98
2004,Bosnia and Herzegovina,ISIC4_C,9.12
2005,Bosnia and Herzegovina,ISIC4_C,9.94
2006,Bosnia and Herzegovina,ISIC4_C,10.02
2007,Bosnia and Herzegovina,ISIC4_C,10.81
2008,Bosnia and Herzegovina,ISIC4_C,11.01
2009,Bosnia and Herzegovina,ISIC4_C,10.48
2010,Bosnia and Herzegovina,ISIC4_C,10.88
2011,Bosnia and Herzegovina,ISIC4_C,10.92
