Year,GeoAreaName,Activity,Value
2000,Bulgaria,ISIC4_C,2.152
2001,Bulgaria,ISIC4_C,1.983
2002,Bulgaria,ISIC4_C,1.778
2003,Bulgaria,ISIC4_C,1.71
2004,Bulgaria,ISIC4_C,1.65
2005,Bulgaria,ISIC4_C,1.506
2006,Bulgaria,ISIC4_C,1.38
2007,Bulgaria,ISIC4_C,1.281
2000,Norway,ISIC4_C,0.274
2001,Norway,ISIC4_C,0.258
2002,Norway,ISIC4_C,0.223
2003,Norway,ISIC4_C,0.271
2004,Norway,ISIC4_C,0.268
2005,Norway,ISIC4_C,0.228
2006,Norway,ISIC4_C,0.221
2007,Norway,ISIC4_C,0.207
2008,Bulgaria,ISIC4_C,0.905
2009,Bulgaria,ISIC4_C,0.551
2010,Bulgaria,ISIC4_C,0.624
2011,Bulgaria,ISIC4_C,0.567
2012,Bulgaria,ISIC4_C,0.469
2013,Bulgaria,ISIC4_C,0.496
2014,Bulgaria,ISIC4_C,0.493
2015,Bulgaria,ISIC4_C,0.494
2008,Norway,ISIC4_C,0.205
2009,Norway,ISIC4_C,0.181
2010,Norway,ISIC4_C,0.22
2011,Norway,ISIC4_C,0.218
2012,Norway,ISIC4_C,0.208
2013,Norway,ISIC4_C,0.2
2014,Norway,ISIC4_C,0.189
2015,Norway,ISIC4_C,0.195
2016,Bulgaria,ISIC4_C,0.491
2017,Bulgaria,ISIC4_C,0.572
2018,Bulgaria,ISIC4_C,0.611
2019,Bulgaria,ISIC4_C,0.57
2020,Bulgaria,ISIC4_C,0.621
2000,Belarus,ISIC4_C,0.68
2001,Belarus,ISIC4_C,0.656
2002,Belarus,ISIC4_C,0.599
2003,Belarus,ISIC4_C,0.613
2004,Belarus,ISIC4_C,0.554
2005,Belarus,ISIC4_C,0.498
2006,Belarus,ISIC4_C,0.436
2007,Belarus,ISIC4_C,0.431
2008,Belarus,ISIC4_C,0.397
2009,Belarus,ISIC4_C,0.368
2010,Belarus,ISIC4_C,0.357
2016,Norway,ISIC4_C,0.204
2017,Norway,ISIC4_C,0.207
2018,Norway,ISIC4_C,0.204
2019,Norway,ISIC4_C,0.202
2020,Norway,ISIC4_C,0.209
2000,Poland,ISIC4_C,1.479
2001,Poland,ISIC4_C,1.338
2002,Poland,ISIC4_C,1.238
2011,Belarus,ISIC4_C,0.341
2012,Belarus,ISIC4_C,0.354
2013,Belarus,ISIC4_C,0.38
2014,Belarus,ISIC4_C,0.391
2015,Belarus,ISIC4_C,0.348
2016,Belarus,ISIC4_C,0.357
2017,Belarus,ISIC4_C,0.344
2018,Belarus,ISIC4_C,0.334
2003,Poland,ISIC4_C,1.083
2004,Poland,ISIC4_C,0.977
2005,Poland,ISIC4_C,0.819
2006,Poland,ISIC4_C,0.701
2007,Poland,ISIC4_C,0.658
2008,Poland,ISIC4_C,0.534
2009,Poland,ISIC4_C,0.454
2010,Poland,ISIC4_C,0.423
2011,Poland,ISIC4_C,0.414
2012,Poland,ISIC4_C,0.388
2013,Poland,ISIC4_C,0.4
2014,Poland,ISIC4_C,0.362
2015,Poland,ISIC4_C,0.321
2016,Poland,ISIC4_C,0.313
2017,Poland,ISIC4_C,0.334
2018,Poland,ISIC4_C,0.321
2019,Poland,ISIC4_C,0.311
2020,Poland,ISIC4_C,0.292
2000,Portugal,ISIC4_C,0.398
2001,Portugal,ISIC4_C,0.363
2002,Portugal,ISIC4_C,0.361
2003,Portugal,ISIC4_C,0.316
2004,Portugal,ISIC4_C,0.283
2005,Portugal,ISIC4_C,0.277
2019,Belarus,ISIC4_C,0.338
2020,Belarus,ISIC4_C,0.329
2000,Croatia,ISIC4_C,0.426
2001,Croatia,ISIC4_C,0.446
2002,Croatia,ISIC4_C,0.418
2003,Croatia,ISIC4_C,0.393
2004,Croatia,ISIC4_C,0.451
2005,Croatia,ISIC4_C,0.439
2000,Albania,ISIC4_C,1.643
2001,Albania,ISIC4_C,1.743
2002,Albania,ISIC4_C,1.455
2003,Albania,ISIC4_C,1.342
2004,Albania,ISIC4_C,1.323
2005,Albania,ISIC4_C,0.985
2006,Albania,ISIC4_C,1.363
2007,Albania,ISIC4_C,1.091
2006,Croatia,ISIC4_C,0.438
2007,Croatia,ISIC4_C,0.408
2008,Croatia,ISIC4_C,0.404
2009,Croatia,ISIC4_C,0.379
2010,Croatia,ISIC4_C,0.383
2011,Croatia,ISIC4_C,0.352
2012,Croatia,ISIC4_C,0.32
2013,Croatia,ISIC4_C,0.327
2008,Albania,ISIC4_C,0.94
2009,Albania,ISIC4_C,1.502
2010,Albania,ISIC4_C,1.874
2011,Albania,ISIC4_C,1.647
2012,Albania,ISIC4_C,1.172
2013,Albania,ISIC4_C,0.995
2014,Albania,ISIC4_C,1.446
2015,Albania,ISIC4_C,1.037
2014,Croatia,ISIC4_C,0.314
2015,Croatia,ISIC4_C,0.29
2016,Croatia,ISIC4_C,0.273
2017,Croatia,ISIC4_C,0.29
2018,Croatia,ISIC4_C,0.289
2019,Croatia,ISIC4_C,0.279
2020,Croatia,ISIC4_C,0.296
2000,Cyprus,ISIC4_C,1.178
2001,Cyprus,ISIC4_C,1.155
2002,Cyprus,ISIC4_C,1.122
2003,Cyprus,ISIC4_C,1.125
2004,Cyprus,ISIC4_C,1.148
2005,Cyprus,ISIC4_C,0.836
2006,Cyprus,ISIC4_C,0.757
2007,Cyprus,ISIC4_C,0.763
2008,Cyprus,ISIC4_C,0.721
2016,Albania,ISIC4_C,0.844
2017,Albania,ISIC4_C,1.436
2018,Albania,ISIC4_C,1.587
2019,Albania,ISIC4_C,1.069
2020,Albania,ISIC4_C,1.227
2000,Azerbaijan,ISIC4_C,2.285
2001,Azerbaijan,ISIC4_C,1.766
2002,Azerbaijan,ISIC4_C,2.118
2009,Cyprus,ISIC4_C,0.669
2010,Cyprus,ISIC4_C,0.606
2011,Cyprus,ISIC4_C,0.558
2012,Cyprus,ISIC4_C,0.461
2013,Cyprus,ISIC4_C,0.655
2014,Cyprus,ISIC4_C,0.841
2015,Cyprus,ISIC4_C,0.684
2016,Cyprus,ISIC4_C,0.587
2003,Azerbaijan,ISIC4_C,1.212
2004,Azerbaijan,ISIC4_C,0.905
2005,Azerbaijan,ISIC4_C,0.579
2006,Azerbaijan,ISIC4_C,0.511
2007,Azerbaijan,ISIC4_C,0.942
2008,Azerbaijan,ISIC4_C,1.021
2009,Azerbaijan,ISIC4_C,0.746
2010,Azerbaijan,ISIC4_C,0.575
2017,Cyprus,ISIC4_C,0.514
2018,Cyprus,ISIC4_C,0.394
2019,Cyprus,ISIC4_C,0.366
2020,Cyprus,ISIC4_C,0.396
2000,Czechia,ISIC4_C,1.108
2001,Czechia,ISIC4_C,0.983
2002,Czechia,ISIC4_C,0.865
2003,Czechia,ISIC4_C,0.885
2011,Azerbaijan,ISIC4_C,0.624
2012,Azerbaijan,ISIC4_C,0.773
2013,Azerbaijan,ISIC4_C,0.765
2014,Azerbaijan,ISIC4_C,0.784
2015,Azerbaijan,ISIC4_C,0.77
2016,Azerbaijan,ISIC4_C,0.937
2017,Azerbaijan,ISIC4_C,0.568
2018,Azerbaijan,ISIC4_C,0.363
2004,Czechia,ISIC4_C,0.819
2005,Czechia,ISIC4_C,0.696
2006,Czechia,ISIC4_C,0.568
2007,Czechia,ISIC4_C,0.488
2008,Czechia,ISIC4_C,0.426
2009,Czechia,ISIC4_C,0.472
2010,Czechia,ISIC4_C,0.333
2011,Czechia,ISIC4_C,0.29
2012,Czechia,ISIC4_C,0.296
2013,Czechia,ISIC4_C,0.28
2014,Czechia,ISIC4_C,0.265
2015,Czechia,ISIC4_C,0.249
2016,Czechia,ISIC4_C,0.232
2017,Czechia,ISIC4_C,0.229
2018,Czechia,ISIC4_C,0.23
2019,Czechia,ISIC4_C,0.207
2019,Azerbaijan,ISIC4_C,0.632
2020,Azerbaijan,ISIC4_C,0.868
2000,Austria,ISIC4_C,0.207
2001,Austria,ISIC4_C,0.197
2002,Austria,ISIC4_C,0.196
2003,Austria,ISIC4_C,0.203
2004,Austria,ISIC4_C,0.203
2005,Austria,ISIC4_C,0.182
2020,Czechia,ISIC4_C,0.238
2000,Denmark,ISIC4_C,0.132
2001,Denmark,ISIC4_C,0.134
2002,Denmark,ISIC4_C,0.127
2003,Denmark,ISIC4_C,0.132
2004,Denmark,ISIC4_C,0.133
2005,Denmark,ISIC4_C,0.13
2006,Denmark,ISIC4_C,0.129
2006,Austria,ISIC4_C,0.173
2007,Austria,ISIC4_C,0.157
2008,Austria,ISIC4_C,0.159
2009,Austria,ISIC4_C,0.178
2010,Austria,ISIC4_C,0.174
2011,Austria,ISIC4_C,0.164
2012,Austria,ISIC4_C,0.157
2013,Austria,ISIC4_C,0.152
2007,Denmark,ISIC4_C,0.123
2008,Denmark,ISIC4_C,0.111
2009,Denmark,ISIC4_C,0.103
2010,Denmark,ISIC4_C,0.104
2011,Denmark,ISIC4_C,0.098
2012,Denmark,ISIC4_C,0.088
2013,Denmark,ISIC4_C,0.079
2014,Denmark,ISIC4_C,0.079
2014,Austria,ISIC4_C,0.146
2015,Austria,ISIC4_C,0.148
2016,Austria,ISIC4_C,0.146
2017,Austria,ISIC4_C,0.138
2018,Austria,ISIC4_C,0.132
2019,Austria,ISIC4_C,0.132
2020,Austria,ISIC4_C,0.136
2000,Armenia,ISIC4_C,1.892
2001,Armenia,ISIC4_C,2.048
2002,Armenia,ISIC4_C,1.749
2003,Armenia,ISIC4_C,1.864
2004,Armenia,ISIC4_C,1.66
2005,Armenia,ISIC4_C,1.885
2006,Armenia,ISIC4_C,2.005
2007,Armenia,ISIC4_C,1.604
2008,Armenia,ISIC4_C,1.821
2015,Denmark,ISIC4_C,0.077
2016,Denmark,ISIC4_C,0.076
2017,Denmark,ISIC4_C,0.074
2018,Denmark,ISIC4_C,0.071
2019,Denmark,ISIC4_C,0.066
2020,Denmark,ISIC4_C,0.068
2000,Estonia,ISIC4_C,0.553
2001,Estonia,ISIC4_C,0.593
2009,Armenia,ISIC4_C,1.405
2010,Armenia,ISIC4_C,0.676
2011,Armenia,ISIC4_C,0.694
2012,Armenia,ISIC4_C,0.744
2013,Armenia,ISIC4_C,0.681
2014,Armenia,ISIC4_C,0.448
2015,Armenia,ISIC4_C,0.391
2016,Armenia,ISIC4_C,0.306
2002,Estonia,ISIC4_C,0.378
2003,Estonia,ISIC4_C,0.394
2004,Estonia,ISIC4_C,0.391
2005,Estonia,ISIC4_C,0.378
2006,Estonia,ISIC4_C,0.329
2007,Estonia,ISIC4_C,0.418
2008,Estonia,ISIC4_C,0.39
2009,Estonia,ISIC4_C,0.307
2006,Portugal,ISIC4_C,0.271
2007,Portugal,ISIC4_C,0.28
2008,Portugal,ISIC4_C,0.258
2009,Portugal,ISIC4_C,0.263
2010,Portugal,ISIC4_C,0.251
2011,Portugal,ISIC4_C,0.24
2012,Portugal,ISIC4_C,0.224
2013,Portugal,ISIC4_C,0.217
2017,Armenia,ISIC4_C,0.315
2018,Armenia,ISIC4_C,0.32
2019,Armenia,ISIC4_C,0.252
2020,Armenia,ISIC4_C,0.283
2000,Belgium,ISIC4_C,0.546
2001,Belgium,ISIC4_C,0.572
2002,Belgium,ISIC4_C,0.454
2003,Belgium,ISIC4_C,0.466
2010,Estonia,ISIC4_C,0.273
2011,Estonia,ISIC4_C,0.248
2012,Estonia,ISIC4_C,0.231
2013,Estonia,ISIC4_C,0.309
2014,Estonia,ISIC4_C,0.212
2015,Estonia,ISIC4_C,0.163
2016,Estonia,ISIC4_C,0.154
2017,Estonia,ISIC4_C,0.145
2004,Belgium,ISIC4_C,0.389
2005,Belgium,ISIC4_C,0.355
2006,Belgium,ISIC4_C,0.349
2007,Belgium,ISIC4_C,0.305
2008,Belgium,ISIC4_C,0.319
2009,Belgium,ISIC4_C,0.312
2010,Belgium,ISIC4_C,0.339
2011,Belgium,ISIC4_C,0.311
2012,Belgium,ISIC4_C,0.311
2013,Belgium,ISIC4_C,0.335
2014,Belgium,ISIC4_C,0.328
2015,Belgium,ISIC4_C,0.312
2016,Belgium,ISIC4_C,0.328
2017,Belgium,ISIC4_C,0.309
2018,Belgium,ISIC4_C,0.318
2019,Belgium,ISIC4_C,0.291
2018,Estonia,ISIC4_C,0.141
2019,Estonia,ISIC4_C,0.16
2020,Estonia,ISIC4_C,0.096
2000,Finland,ISIC4_C,0.3
2001,Finland,ISIC4_C,0.288
2002,Finland,ISIC4_C,0.268
2003,Finland,ISIC4_C,0.249
2004,Finland,ISIC4_C,0.242
2005,Finland,ISIC4_C,0.221
2006,Finland,ISIC4_C,0.198
2007,Finland,ISIC4_C,0.171
2008,Finland,ISIC4_C,0.165
2009,Finland,ISIC4_C,0.175
2010,Finland,ISIC4_C,0.203
2011,Finland,ISIC4_C,0.185
2012,Finland,ISIC4_C,0.187
2014,Portugal,ISIC4_C,0.221
2015,Portugal,ISIC4_C,0.21
2016,Portugal,ISIC4_C,0.2
2017,Portugal,ISIC4_C,0.2
2018,Portugal,ISIC4_C,0.189
2019,Portugal,ISIC4_C,0.186
2020,Portugal,ISIC4_C,0.2
2000,Romania,ISIC4_C,0.917
2013,Finland,ISIC4_C,0.18
2014,Finland,ISIC4_C,0.182
2015,Finland,ISIC4_C,0.18
2016,Finland,ISIC4_C,0.174
2017,Finland,ISIC4_C,0.157
2018,Finland,ISIC4_C,0.169
2019,Finland,ISIC4_C,0.155
2020,Finland,ISIC4_C,0.147
2020,Belgium,ISIC4_C,0.285
2000,Bosnia and Herzegovina,ISIC4_C,1.7
2001,Bosnia and Herzegovina,ISIC4_C,1.416
2002,Bosnia and Herzegovina,ISIC4_C,1.464
2003,Bosnia and Herzegovina,ISIC4_C,0.372
2004,Bosnia and Herzegovina,ISIC4_C,0.738
2005,Bosnia and Herzegovina,ISIC4_C,0.891
2006,Bosnia and Herzegovina,ISIC4_C,0.823
2000,France,ISIC4_C,0.228
2001,France,ISIC4_C,0.24
2002,France,ISIC4_C,0.226
2003,France,ISIC4_C,0.218
2004,France,ISIC4_C,0.199
2005,France,ISIC4_C,0.206
2006,France,ISIC4_C,0.201
2007,France,ISIC4_C,0.196
