Year,GeoAreaName,Sex,Value
2017,Romania,BOTHSEX,100.0
2020,Romania,FEMALE,100.0
2020,Romania,BOTHSEX,100.0
2020,Romania,MALE,100.0
2021,Serbia,BOTHSEX,84.7
2013,Slovakia,BOTHSEX,100.0
2013,Slovakia,FEMALE,100.0
2013,Slovakia,MALE,100.0
2014,Slovakia,MALE,100.0
2014,Slovakia,FEMALE,100.0
2014,Slovakia,BOTHSEX,100.0
2016,Slovakia,BOTHSEX,100.0
2017,Slovakia,BOTHSEX,100.0
2020,Slovakia,MALE,100.0
2020,Slovakia,BOTHSEX,100.0
2020,Slovakia,FEMALE,100.0
2013,Slovenia,BOTHSEX,100.0
2014,Slovenia,BOTHSEX,100.0
2016,Slovenia,BOTHSEX,100.0
2017,Slovenia,BOTHSEX,100.0
2020,Slovenia,MALE,100.0
2020,Slovenia,BOTHSEX,100.0
2020,Slovenia,FEMALE,100.0
2013,Spain,MALE,100.0
2013,Spain,FEMALE,60.7
2013,Spain,BOTHSEX,81.2
2014,Spain,FEMALE,60.5
2014,Spain,BOTHSEX,81.0
2014,Spain,MALE,100.0
2016,Spain,BOTHSEX,83.5
2017,Spain,BOTHSEX,77.3
2020,Spain,BOTHSEX,77.3
2016,Sweden,BOTHSEX,100.0
2017,Sweden,BOTHSEX,100.0
2020,Sweden,FEMALE,100.0
2020,Sweden,BOTHSEX,100.0
2020,Sweden,MALE,100.0
2013,Switzerland,BOTHSEX,92.3
2013,Switzerland,FEMALE,85.2
2013,Switzerland,MALE,99.5
2014,Switzerland,BOTHSEX,90.7
2014,Switzerland,MALE,97.9
2014,Switzerland,FEMALE,83.7
2016,Switzerland,MALE,100.0
2016,Switzerland,FEMALE,100.0
2016,Switzerland,BOTHSEX,100.0
2017,Switzerland,BOTHSEX,96.9
2020,Switzerland,BOTHSEX,96.9
2020,Tajikistan,BOTHSEX,49.0
2013,Türkiye,BOTHSEX,5.1
2013,Türkiye,FEMALE,1.3
2013,Türkiye,MALE,9.0
2014,Türkiye,FEMALE,1.4
2014,Türkiye,MALE,9.6
2014,Türkiye,BOTHSEX,5.4
2016,Türkiye,BOTHSEX,5.0
2017,Türkiye,BOTHSEX,5.6
2020,Türkiye,BOTHSEX,5.6
2021,Turkmenistan,BOTHSEX,87.7
2021,Turkmenistan,FEMALE,94.2
2021,Turkmenistan,MALE,81.2
2018,Ukraine,BOTHSEX,100.0
2020,Ukraine,FEMALE,100.0
2020,Ukraine,BOTHSEX,100.0
2020,Ukraine,MALE,100.0
2020,North Macedonia,MALE,100.0
2020,North Macedonia,FEMALE,100.0
2020,North Macedonia,BOTHSEX,100.0
2017,Uzbekistan,BOTHSEX,33.0
2020,Uzbekistan,BOTHSEX,39.7
2021,Albania,FEMALE,100.0
2021,Albania,MALE,100.0
2021,Albania,BOTHSEX,100.0
2016,Azerbaijan,BOTHSEX,100.0
2017,Azerbaijan,BOTHSEX,100.0
2018,Azerbaijan,BOTHSEX,100.0
2020,Azerbaijan,BOTHSEX,100.0
2020,Azerbaijan,FEMALE,100.0
2020,Azerbaijan,MALE,100.0
2013,Austria,MALE,100.0
2013,Austria,BOTHSEX,89.2
2013,Austria,FEMALE,53.6
2014,Austria,MALE,100.0
2014,Austria,FEMALE,48.1
2014,Austria,BOTHSEX,82.2
2019,Austria,BOTHSEX,100.0
2020,Austria,FEMALE,100.0
2020,Austria,BOTHSEX,100.0
2020,Austria,MALE,100.0
2016,Armenia,BOTHSEX,100.0
2017,Armenia,BOTHSEX,100.0
2018,Armenia,BOTHSEX,100.0
2020,Armenia,FEMALE,100.0
2020,Armenia,MALE,100.0
