Year,GeoAreaName,Sex,Value
2000,Albania,BOTHSEX,89.0
2011,Albania,BOTHSEX,77.0
2021,Albania,MALE,100.0
2021,Albania,BOTHSEX,100.0
2021,Albania,FEMALE,100.0
2000,Azerbaijan,BOTHSEX,97.0
2016,Azerbaijan,FEMALE,95.3
2016,Azerbaijan,BOTHSEX,81.1
2016,Azerbaijan,MALE,63.1
2018,Azerbaijan,BOTHSEX,100.0
2020,Azerbaijan,BOTHSEX,72.8
2020,Azerbaijan,MALE,56.6
2020,Azerbaijan,FEMALE,76.8
2000,Austria,BOTHSEX,96.0
2013,Austria,FEMALE,96.5
2013,Austria,BOTHSEX,100.0
2013,Austria,MALE,100.0
2014,Austria,MALE,100.0
2014,Austria,BOTHSEX,100.0
2014,Austria,FEMALE,98.8
2020,Austria,MALE,100.0
2020,Austria,BOTHSEX,100.0
2020,Austria,FEMALE,100.0
2000,Armenia,BOTHSEX,87.0
2016,Armenia,BOTHSEX,68.5
2016,Armenia,MALE,62.3
2016,Armenia,FEMALE,72.6
2018,Armenia,BOTHSEX,100.0
2020,Armenia,FEMALE,69.9
2020,Armenia,BOTHSEX,65.2
2020,Armenia,MALE,58.3
2000,Belgium,BOTHSEX,100.0
2013,Belgium,BOTHSEX,100.0
2013,Belgium,FEMALE,98.9
2013,Belgium,MALE,100.0
2014,Belgium,MALE,100.0
2014,Belgium,BOTHSEX,100.0
2014,Belgium,FEMALE,100.0
2020,Belgium,MALE,100.0
2020,Belgium,BOTHSEX,100.0
2020,Belgium,FEMALE,100.0
2009,Bosnia and Herzegovina,BOTHSEX,29.6
2020,Bosnia and Herzegovina,BOTHSEX,69.5
2020,Bosnia and Herzegovina,MALE,100.0
2020,Bosnia and Herzegovina,FEMALE,41.3
2000,Bulgaria,BOTHSEX,96.0
2013,Bulgaria,BOTHSEX,100.0
2013,Bulgaria,FEMALE,100.0
2013,Bulgaria,MALE,100.0
2014,Bulgaria,BOTHSEX,100.0
2014,Bulgaria,FEMALE,100.0
2014,Bulgaria,MALE,100.0
2016,Bulgaria,BOTHSEX,100.0
2016,Bulgaria,MALE,100.0
2016,Bulgaria,FEMALE,100.0
2020,Bulgaria,FEMALE,82.5
2020,Bulgaria,MALE,100.0
2020,Bulgaria,BOTHSEX,94.0
2000,Belarus,BOTHSEX,39.0
2016,Belarus,BOTHSEX,100.0
2020,Belarus,MALE,100.0
2020,Belarus,BOTHSEX,100.0
2020,Belarus,FEMALE,100.0
2016,Croatia,BOTHSEX,57.6
2020,Croatia,BOTHSEX,89.8
2020,Croatia,MALE,100.0
