Year,GeoAreaName,Value
2010,Albania,35.9460427642301
2011,Albania,52.0111702395648
2012,Albania,55.6225293052017
2013,Albania,40.2212321023147
2014,Albania,38.2510617027294
2015,Albania,24.059438106513
2016,Albania,23.0830360854874
2017,Albania,15.7209501746281
2018,Albania,15.5062913972016
2019,Albania,13.6412174045044
2020,Albania,11.2838202448708
2021,Albania,7.12602349920201
2022,Albania,7.34822151999476
2006,Austria,6.58350148018322
2007,Austria,4.38180502755883
2008,Austria,6.51516651966521
2009,Austria,4.85836469104874
2010,Austria,6.48788960187479
2011,Austria,6.41889934747806
2012,Austria,5.60563848458115
2013,Austria,4.67966805687607
2014,Austria,10.3262581402519
2015,Austria,10.0848243890068
2016,Austria,8.84137321871464
2017,Austria,8.66383970944368
2018,Austria,6.66746202337983
2019,Austria,5.40118556287243
2020,Austria,3.93396003414167
2005,Armenia,3.38569179313711
2006,Armenia,3.92059229093062
2007,Armenia,4.57419548613605
2008,Armenia,11.0866790300436
2009,Armenia,9.73961477863621
2010,Armenia,7.28018409743819
2011,Armenia,9.62825177596374
2012,Armenia,11.8382192708128
2013,Armenia,13.9962871478486
2014,Armenia,24.7531255507825
2015,Armenia,24.9845729150802
2016,Armenia,17.0567985455288
2017,Armenia,14.671173240213
2018,Armenia,8.78643123613849
2019,Armenia,12.545846274371
2020,Armenia,16.8975806340161
2018,Belgium,13.6320482465093
2019,Belgium,13.171114568551
2020,Belgium,13.6748213217229
2021,Belgium,10.6295965711829
2000,Bosnia and Herzegovina,30.3025143311198
2001,Bosnia and Herzegovina,33.4647106349994
2002,Bosnia and Herzegovina,24.4193211742133
2003,Bosnia and Herzegovina,19.7738219895288
2004,Bosnia and Herzegovina,15.5333872144707
2005,Bosnia and Herzegovina,15.652780550162
2006,Bosnia and Herzegovina,11.7611558500533
2007,Bosnia and Herzegovina,9.53644976500117
2008,Bosnia and Herzegovina,10.2740374753594
2009,Bosnia and Herzegovina,19.6420942940095
2010,Bosnia and Herzegovina,32.8362046798663
2011,Bosnia and Herzegovina,20.5991825597654
2012,Bosnia and Herzegovina,24.7880360947389
2013,Bosnia and Herzegovina,26.4445838685561
2014,Bosnia and Herzegovina,24.635117268701
2015,Bosnia and Herzegovina,24.8954020604884
2016,Bosnia and Herzegovina,17.550705025481
2017,Bosnia and Herzegovina,13.5162711632087
2018,Bosnia and Herzegovina,11.4232644117347
2019,Bosnia and Herzegovina,9.61235371458789
2020,Bosnia and Herzegovina,7.38030003427457
2021,Bosnia and Herzegovina,6.9967130809057
2008,Bulgaria,3.48709847208362
2009,Bulgaria,15.0868133930954
2010,Bulgaria,28.0167577882702
2011,Bulgaria,36.9203188859219
2012,Bulgaria,38.9370158119795
2013,Bulgaria,36.2110489506021
2014,Bulgaria,43.5062409597353
2015,Bulgaria,49.8458176491775
2016,Bulgaria,44.658782526272
2017,Bulgaria,36.5695570937047
2018,Bulgaria,28.2156662755102
2019,Bulgaria,23.8565678216866
2020,Bulgaria,20.7745299968727
2010,Belarus,12.398305784379
2011,Belarus,11.7925463721319
2012,Belarus,17.6479666609841
2013,Belarus,13.9769871674716
2014,Belarus,14.5813049402908
2015,Belarus,21.175640118137
2016,Belarus,38.87746136633
2017,Belarus,37.1720314866011
2018,Belarus,15.55062319233
2019,Belarus,16.0231037590644
2020,Belarus,18.7928652590104
2021,Belarus,16.5734742829237
2021,Croatia,3.4755932849267
2008,Cyprus,16.1199101305867
2009,Cyprus,23.4906087265949
2010,Cyprus,37.9731681150526
2011,Cyprus,102.719514500909
2012,Cyprus,236.19807093188
2013,Cyprus,299.025520462459
2014,Cyprus,282.63469086333
2015,Cyprus,261.065588584276
2016,Cyprus,210.716049660733
2017,Cyprus,184.355376597972
2018,Cyprus,100.714753515451
2019,Cyprus,76.651750400127
2020,Cyprus,50.1244065674576
2021,Cyprus,31.1483875058844
2007,Czechia,10.074100208342
2008,Czechia,13.7755596750911
2009,Czechia,21.1335855945134
2010,Czechia,25.6715438148887
2011,Czechia,24.556895981574
2012,Czechia,23.8657149531569
2013,Czechia,21.6086620854716
2014,Czechia,24.0681615839959
2015,Czechia,23.1400130730837
2016,Czechia,18.2243641583785
2017,Czechia,14.7712485782873
2018,Czechia,12.0069862667324
2019,Czechia,9.41586247116764
2020,Czechia,10.1511827385751
2021,Czechia,9.11820510139041
2010,Denmark,18.9664379903874
2011,Denmark,20.3779357045346
2012,Denmark,26.5004732519045
2013,Denmark,28.9324811448139
2014,Denmark,30.8993073531006
2015,Denmark,25.4918446367839
2016,Denmark,20.822031697647
2017,Denmark,13.8183473844291
2018,Denmark,20.0393495973877
2019,Denmark,15.2601433083458
2020,Denmark,14.0647898862821
2021,Denmark,12.2417455676467
2008,Estonia,15.4790933826451
2009,Estonia,34.4457456768543
2010,Estonia,34.7732104107648
2011,Estonia,38.1197516554301
2012,Estonia,22.3238182377656
2013,Estonia,12.2227759814374
2014,Estonia,9.21707884126863
2015,Estonia,7.45605198218924
2016,Estonia,4.8114686091224
2017,Estonia,7.8363300985298
2018,Estonia,4.95678662074639
2019,Estonia,5.81131661179608
2020,Estonia,4.09455804587212
2021,Estonia,2.1595155423162
2014,Finland,4.63146263984163
2015,Finland,4.72865275142315
2016,Finland,6.69988298795908
2017,Finland,5.70832310336361
2018,Finland,8.79960707654585
2019,Finland,10.7055822786282
2020,Finland,9.67393081571354
2021,Finland,9.23906907478625
2008,France,10.4797674958377
2009,France,17.8125308674807
2010,France,18.4179607247211
2011,France,22.6050625511914
2012,France,22.1127631726336
2013,France,22.1370253480623
2014,France,19.2254187723138
2015,France,17.9532996332079
2016,France,16.2223120921397
2017,France,14.9665209810423
2018,France,13.5643641395994
2019,France,12.1598993517901
2020,France,11.8614233865474
2021,France,10.3112918576627
2004,Georgia,1.13021588501593
2005,Georgia,0.96772838114978
2006,Georgia,0.564814636386988
2007,Georgia,1.05369502741287
2008,Georgia,5.54013115752826
2009,Georgia,5.89359017179994
2010,Georgia,6.98161800966068
2011,Georgia,4.38199152680511
2012,Georgia,5.25910556660466
2013,Georgia,4.50022137664445
2014,Georgia,4.7740435443138
2015,Georgia,4.55188176635741
2016,Georgia,6.56952391850972
2017,Georgia,5.16934462425619
2018,Georgia,5.17343553365292
2019,Georgia,3.81169368072707
2020,Georgia,5.16473857478463
2021,Georgia,3.85037587221324
2022,Georgia,3.41539173307292
2005,Germany,34.97
2006,Germany,28.66
2007,Germany,21.58
2008,Germany,25.33
2009,Germany,36.85
2010,Germany,34.22
2011,Germany,31.63
2012,Germany,27.41
2013,Germany,24.98
2014,Germany,21.28
2015,Germany,17.36
2016,Germany,14.68
2017,Germany,11.89
2018,Germany,9.06
2019,Germany,6.78
2008,Greece,8.9655157464202
2009,Greece,20.3972296040637
2010,Greece,24.3366340171845
2011,Greece,-303.78577724012
2012,Greece,93.1222961445541
2013,Greece,147.439689474096
2014,Greece,130.972215872625
2015,Greece,119.902079949702
2016,Greece,118.160087325041
2017,Greece,172.385140762464
2018,Greece,157.596801408566
2019,Greece,129.226216704093
2020,Greece,105.43752332861
2021,Greece,44.9278138030645
2008,Hungary,13.6466479324022
2009,Hungary,36.3598675047907
2010,Hungary,40.0569517054052
2011,Hungary,47.6391773457173
2012,Hungary,43.1262645885183
2013,Hungary,40.702445692705
2014,Hungary,32.813041061307
2015,Hungary,17.5746152376113
2016,Hungary,9.52961182269418
2017,Hungary,5.11716759624857
2018,Hungary,3.26816357072949
2019,Hungary,2.04634025280296
2020,Hungary,10.0560215450042
2021,Hungary,12.0163940233639
2015,Iceland,9.06818267901117
2016,Iceland,6.75047704527239
2017,Iceland,5.77261672288429
2018,Iceland,6.61137605948629
2019,Iceland,7.97932161780354
2020,Iceland,5.56401003679985
2021,Iceland,5.01685136330613
2022,Iceland,3.6273901908443
2005,Ireland,3.13846472027852
2006,Ireland,4.09468018674358
2007,Ireland,4.87149827822318
2008,Ireland,15.7703668041586
2009,Ireland,68.2438861316121
2010,Ireland,85.6989216473557
2011,Ireland,80.6055501976392
2012,Ireland,91.1607758491471
2013,Ireland,84.7291358660109
2014,Ireland,82.8613406795225
2015,Ireland,61.0754691800706
2016,Ireland,38.6532569678677
2017,Ireland,38.0214416635086
2018,Ireland,18.7311267589272
2019,Ireland,12.0973014740846
2020,Ireland,9.96859299318635
2021,Ireland,7.28793579687591
2005,Italy,36.9297090267557
2006,Italy,30.6977179991974
2007,Italy,23.4681563748163
