Year,GeoAreaName,Type of waste treatment,Value
2004,Croatia,INCINRT_EGY,0.0
2004,Croatia,COMPOST,0.0
2005,Croatia,COMPOST,0.0
2005,Croatia,INCINRT_EGY,0.0
2006,Croatia,INCINRT,0.0
2006,Croatia,COMPOST,0.0
2006,Croatia,INCINRT_EGY,0.0
2007,Croatia,INCINRT,0.0
2007,Croatia,INCINRT_EGY,0.0
2008,Croatia,INCINRT_EGY,0.0
2008,Croatia,INCINRT,0.0
2009,Croatia,INCINRT_EGY,0.0
2009,Croatia,INCINRT,0.0
2010,Croatia,INCINRT,0.0
2010,Croatia,INCINRT_EGY,0.0
2011,Croatia,INCINRT,0.0
2011,Croatia,INCINRT_EGY,0.0
2012,Croatia,INCINRT_EGY,2.0
2012,Croatia,INCINRT,0.0
2013,Croatia,INCINRT,0.0
2013,Croatia,INCINRT_EGY,1000.0
2014,Croatia,INCINRT,0.0
2014,Croatia,INCINRT_EGY,3000.0
2015,Croatia,INCINRT_EGY,0.0
2015,Croatia,INCINRT,0.0
2016,Croatia,INCINRT,0.0
2013,Albania,COMPOST,0.0
2013,Albania,INCINRT,83000.0
2013,Albania,OTHERWM,940159.973
2013,Albania,INCINRT_EGY,92.0
2013,Albania,LANDFILCTL,93076.202
2014,Albania,INCINRT_EGY,44.0
2014,Albania,COMPOST,0.0
2014,Albania,INCINRT,38000.0
2014,Albania,LANDFILCTL,84055.801
2014,Albania,OTHERWM,1228884.033
2015,Albania,LANDFILCTL,720181.824
2015,Albania,OTHERWM,1413233.032
2015,Albania,INCINRT_EGY,58.0
2015,Albania,INCINRT,36000.0
2015,Albania,COMPOST,0.0
2016,Albania,INCINRT,41000.0
2016,Albania,INCINRT_EGY,60000.0
2017,Albania,INCINRT_EGY,43000.0
2017,Albania,INCINRT,20000.0
2018,Albania,INCINRT_EGY,63000.0
2018,Albania,INCINRT,26000.0
2019,Albania,INCINRT,2000.0
2019,Albania,INCINRT_EGY,12000.0
2020,Albania,INCINRT_EGY,12000.0
2020,Albania,INCINRT,1000.0
2021,Albania,INCINRT,0.0
2000,Romania,INCINRT,0.0
2000,Romania,INCINRT_EGY,0.0
2001,Romania,INCINRT,0.0
2001,Romania,INCINRT_EGY,0.0
2002,Romania,INCINRT_EGY,0.0
2002,Romania,INCINRT,0.0
2003,Romania,INCINRT_EGY,0.0
2003,Romania,INCINRT,0.0
2004,Romania,INCINRT,0.0
2004,Romania,INCINRT_EGY,0.0
2005,Romania,INCINRT,0.0
2005,Romania,INCINRT_EGY,0.0
2006,Romania,INCINRT_EGY,0.0
2016,Croatia,INCINRT_EGY,1000.0
2017,Croatia,INCINRT_EGY,1000.0
2017,Croatia,INCINRT,0.0
2018,Croatia,INCINRT,0.0
2018,Croatia,INCINRT_EGY,1000.0
2019,Croatia,INCINRT,0.0
2019,Croatia,INCINRT_EGY,1000.0
2020,Croatia,INCINRT,0.0
2020,Croatia,INCINRT_EGY,3000.0
2021,Croatia,INCINRT,0.0
2021,Croatia,INCINRT_EGY,5000.0
2000,Cyprus,INCINRT_EGY,0.0
2000,Cyprus,INCINRT,0.0
2006,Romania,INCINRT,0.0
2007,Romania,INCINRT_EGY,0.0
2007,Romania,INCINRT,0.0
2008,Romania,INCINRT,0.0
2008,Romania,INCINRT_EGY,0.0
2009,Romania,INCINRT_EGY,0.0
2009,Romania,INCINRT,0.0
2010,Romania,INCINRT,0.0
2010,Romania,INCINRT_EGY,21000.0
2011,Romania,INCINRT,0.0
2011,Romania,INCINRT_EGY,47000.0
2012,Romania,INCINRT_EGY,89000.0
2012,Romania,INCINRT,0.0
2021,Albania,INCINRT_EGY,18000.0
2004,Azerbaijan,LANDFIL,1784000.0
2004,Azerbaijan,COMPOST,0.0
2005,Azerbaijan,COMPOST,0.0
2005,Azerbaijan,LANDFIL,1753000.0
2006,Azerbaijan,COMPOST,0.0
2006,Azerbaijan,LANDFIL,1573000.0
2007,Azerbaijan,LANDFIL,1631000.0
2007,Azerbaijan,COMPOST,0.0
2008,Azerbaijan,LANDFIL,1478000.0
2008,Azerbaijan,COMPOST,0.0
2009,Azerbaijan,LANDFIL,1603000.0
2001,Cyprus,INCINRT_EGY,0.0
2001,Cyprus,INCINRT,0.0
2002,Cyprus,INCINRT,0.0
2002,Cyprus,INCINRT_EGY,0.0
2003,Cyprus,INCINRT_EGY,0.0
2003,Cyprus,INCINRT,0.0
2004,Cyprus,INCINRT_EGY,0.0
2004,Cyprus,INCINRT,0.0
2005,Cyprus,INCINRT,0.0
2005,Cyprus,INCINRT_EGY,0.0
2006,Cyprus,INCINRT,0.0
2006,Cyprus,INCINRT_EGY,0.0
2007,Cyprus,INCINRT,0.0
2013,Romania,INCINRT_EGY,97000.0
2013,Romania,INCINRT,0.0
2014,Romania,INCINRT_EGY,133000.0
2014,Romania,INCINRT,0.0
2015,Romania,INCINRT,0.0
2015,Romania,INCINRT_EGY,116000.0
2016,Romania,INCINRT_EGY,220000.0
2016,Romania,INCINRT,0.0
2017,Romania,INCINRT_EGY,227000.0
2017,Romania,INCINRT,0.0
2018,Romania,INCINRT,0.0
2018,Romania,INCINRT_EGY,241000.0
2019,Romania,INCINRT_EGY,251000.0
2009,Azerbaijan,COMPOST,0.0
2010,Azerbaijan,COMPOST,0.0
2010,Azerbaijan,LANDFIL,1609000.0
2011,Azerbaijan,LANDFIL,1781000.0
2011,Azerbaijan,COMPOST,0.0
2012,Azerbaijan,LANDFIL,1647000.0
2012,Azerbaijan,COMPOST,0.0
2013,Azerbaijan,LANDFILCTL,114000.0
2013,Azerbaijan,INCINRT,386000.0
2013,Azerbaijan,COMPOST,0.0
2013,Azerbaijan,LANDFIL,1217000.0
2007,Cyprus,INCINRT_EGY,0.0
2008,Cyprus,INCINRT_EGY,0.0
2008,Cyprus,INCINRT,0.0
2009,Cyprus,INCINRT,0.0
2009,Cyprus,INCINRT_EGY,0.0
2010,Cyprus,INCINRT_EGY,0.0
2010,Cyprus,INCINRT,0.0
2011,Cyprus,INCINRT,0.0
2011,Cyprus,INCINRT_EGY,0.0
2012,Cyprus,INCINRT_EGY,0.0
2012,Cyprus,INCINRT,0.0
2013,Cyprus,INCINRT_EGY,0.0
2013,Cyprus,INCINRT,0.0
2013,Azerbaijan,INCINRT_EGY,351000.0
2014,Azerbaijan,INCINRT_EGY,438000.0
2014,Azerbaijan,LANDFIL,833000.0
2014,Azerbaijan,INCINRT,451000.0
2014,Azerbaijan,LANDFILCTL,101000.0
2014,Azerbaijan,COMPOST,0.0
2015,Azerbaijan,INCINRT,509000.0
2015,Azerbaijan,INCINRT_EGY,506000.0
2015,Azerbaijan,LANDFILCTL,87000.0
2015,Azerbaijan,COMPOST,0.0
2015,Azerbaijan,LANDFIL,946000.0
2014,Cyprus,INCINRT_EGY,4000.0
2014,Cyprus,INCINRT,0.0
2015,Cyprus,INCINRT,0.0
2015,Cyprus,INCINRT_EGY,0.0
2016,Cyprus,INCINRT,0.0
2016,Cyprus,INCINRT_EGY,2000.0
2017,Cyprus,INCINRT_EGY,2000.0
2017,Cyprus,INCINRT,0.0
2018,Cyprus,INCINRT,0.0
2018,Cyprus,INCINRT_EGY,4000.0
2019,Cyprus,INCINRT_EGY,6000.0
2019,Cyprus,INCINRT,0.0
2020,Cyprus,INCINRT,0.0
2019,Romania,INCINRT,0.0
2020,Romania,INCINRT,0.0
2020,Romania,INCINRT_EGY,298000.0
2021,Romania,INCINRT_EGY,335000.0
2021,Romania,INCINRT,0.0
2006,Serbia,OTHERWM,1040000.0
2006,Serbia,INCINRT,0.0
2006,Serbia,LANDFIL,1040000.0
2006,Serbia,INCINRT_EGY,0.0
2006,Serbia,COMPOST,0.0
2006,Serbia,LANDFILCTL,1040000.0
2007,Serbia,LANDFIL,1240000.0
2007,Serbia,INCINRT_EGY,0.0
2016,Azerbaijan,LANDFILCTL,156000.0
2016,Azerbaijan,COMPOST,0.0
2016,Azerbaijan,LANDFIL,949000.0
2016,Azerbaijan,INCINRT_EGY,462000.0
2016,Azerbaijan,INCINRT,557000.0
2017,Azerbaijan,INCINRT,527000.0
2017,Azerbaijan,LANDFILCTL,170000.0
2017,Azerbaijan,COMPOST,0.0
2017,Azerbaijan,INCINRT_EGY,464000.0
2017,Azerbaijan,LANDFIL,975000.0
2018,Azerbaijan,LANDFILCTL,164000.0
2018,Azerbaijan,COMPOST,0.0
2018,Azerbaijan,LANDFIL,1131000.0
2018,Azerbaijan,INCINRT,547000.0
2018,Azerbaijan,INCINRT_EGY,494000.0
2019,Azerbaijan,COMPOST,0.0
2019,Azerbaijan,LANDFIL,1404000.0
2019,Azerbaijan,INCINRT,542000.0
2019,Azerbaijan,LANDFILCTL,221000.0
2019,Azerbaijan,INCINRT_EGY,513000.0
2020,Azerbaijan,INCINRT_EGY,527000.0
2020,Azerbaijan,LANDFILCTL,238000.0
2020,Cyprus,INCINRT_EGY,8000.0
2021,Cyprus,INCINRT,0.0
2021,Cyprus,INCINRT_EGY,14000.0
2000,Czechia,INCINRT,3000.0
2000,Czechia,INCINRT_EGY,320000.0
2001,Czechia,INCINRT_EGY,357000.0
2001,Czechia,INCINRT,3000.0
2002,Czechia,INCINRT,3000.0
2002,Czechia,INCINRT_EGY,401000.0
2003,Czechia,INCINRT,2000.0
2003,Czechia,INCINRT_EGY,401000.0
2004,Czechia,INCINRT_EGY,404000.0
2004,Czechia,INCINRT,1000.0
2007,Serbia,COMPOST,0.0
2007,Serbia,OTHERWM,1240000.0
2007,Serbia,INCINRT,0.0
2007,Serbia,LANDFILCTL,1240000.0
2008,Serbia,INCINRT,0.0
2008,Serbia,LANDFILCTL,1520000.0
2008,Serbia,OTHERWM,1520000.0
2008,Serbia,INCINRT_EGY,0.0
2008,Serbia,COMPOST,0.0
2008,Serbia,LANDFIL,1520000.0
2009,Serbia,INCINRT_EGY,0.0
2009,Serbia,LANDFILCTL,1580000.0
2009,Serbia,OTHERWM,1580000.0
2005,Czechia,INCINRT,1000.0
2005,Czechia,INCINRT_EGY,381000.0
2006,Czechia,INCINRT_EGY,392000.0
2006,Czechia,INCINRT,2000.0
