Year,GeoAreaName,Value
2005,Austria,73.1
2006,Austria,79.5
2007,Austria,78.7
2008,Austria,79.7
2009,Austria,79.0
2010,Austria,79.9
2011,Austria,81.5
2012,Austria,80.0
2013,Austria,79.0
2014,Austria,79.6
2015,Austria,81.1
2016,Austria,81.8
2017,Austria,80.2
2018,Austria,79.8
2005,Belgium,73.8
2006,Belgium,76.7
2007,Belgium,79.9
2008,Belgium,77.0
2009,Belgium,78.0
2010,Belgium,80.2
2011,Belgium,77.7
2012,Belgium,78.4
2013,Belgium,79.1
2014,Belgium,76.7
2015,Belgium,77.4
2016,Belgium,72.5
2017,Belgium,75.1
2018,Belgium,72.5
2007,Bulgaria,63.8
2008,Bulgaria,65.1
2009,Bulgaria,76.3
2010,Bulgaria,78.4
2011,Bulgaria,82.3
2012,Bulgaria,84.0
2013,Bulgaria,83.5
2014,Bulgaria,84.9
2015,Bulgaria,85.6
2016,Bulgaria,81.5
2017,Bulgaria,83.7
2018,Bulgaria,81.0
2012,Croatia,92.3
2013,Croatia,97.4
2014,Croatia,95.7
2015,Croatia,92.5
2016,Croatia,96.3
2017,Croatia,95.2
2018,Croatia,91.2
2009,Cyprus,79.2
2010,Cyprus,71.6
2011,Cyprus,78.9
2012,Cyprus,86.6
2013,Cyprus,80.3
2014,Cyprus,89.4
2015,Cyprus,91.0
2016,Cyprus,87.8
2017,Cyprus,78.3
2007,Czechia,75.4
2008,Czechia,75.7
2009,Czechia,74.8
2010,Czechia,86.7
2011,Czechia,86.8
2012,Czechia,80.6
2013,Czechia,91.1
2014,Czechia,85.5
2015,Czechia,82.5
2016,Czechia,90.0
2017,Czechia,86.9
2018,Czechia,84.7
2006,Denmark,79.9
2007,Denmark,81.5
2008,Denmark,90.4
2009,Denmark,82.6
2010,Denmark,83.5
2011,Denmark,92.0
2012,Denmark,84.4
2013,Denmark,82.6
2014,Denmark,83.0
2015,Denmark,84.2
2016,Denmark,86.4
2017,Denmark,85.8
2018,Denmark,80.7
2007,Estonia,83.2
2008,Estonia,81.4
2009,Estonia,82.7
2010,Estonia,82.7
