Year,GeoAreaName,Sex,Value
2007,Croatia,FEMALE,1.05
2007,Croatia,BOTHSEX,1.41
2007,Croatia,MALE,1.8
2008,Croatia,FEMALE,1.05
2008,Croatia,MALE,2.23
2008,Croatia,BOTHSEX,1.62
2009,Croatia,FEMALE,1.06
2009,Croatia,BOTHSEX,1.12
2009,Croatia,MALE,1.19
2010,Croatia,MALE,1.43
2010,Croatia,BOTHSEX,1.42
2010,Croatia,FEMALE,1.41
2011,Croatia,FEMALE,0.93
2011,Croatia,BOTHSEX,1.13
2011,Croatia,MALE,1.34
2012,Croatia,BOTHSEX,1.18
2012,Croatia,FEMALE,0.8
2012,Croatia,MALE,1.58
2013,Croatia,FEMALE,0.94
2013,Croatia,BOTHSEX,1.07
2013,Croatia,MALE,1.2
2014,Croatia,MALE,0.92
2014,Croatia,BOTHSEX,0.84
2014,Croatia,FEMALE,0.77
2015,Croatia,FEMALE,0.68
2015,Croatia,BOTHSEX,0.87
2015,Croatia,MALE,1.07
2000,Albania,FEMALE,0.81
2000,Albania,BOTHSEX,4.12
2000,Albania,MALE,7.48
2001,Albania,MALE,11.58
2001,Albania,BOTHSEX,6.98
2001,Albania,FEMALE,2.45
2002,Albania,FEMALE,2.48
2002,Albania,BOTHSEX,6.92
2002,Albania,MALE,11.43
2003,Albania,MALE,9.45
2003,Albania,BOTHSEX,5.37
2016,Croatia,MALE,1.17
2016,Croatia,BOTHSEX,1.04
2016,Croatia,FEMALE,0.92
2017,Croatia,FEMALE,0.83
2017,Croatia,BOTHSEX,1.1
2017,Croatia,MALE,1.38
2018,Croatia,MALE,0.79
2018,Croatia,BOTHSEX,0.58
2018,Croatia,FEMALE,0.37
2003,Albania,FEMALE,1.35
2004,Albania,BOTHSEX,4.28
2004,Albania,MALE,7.36
2004,Albania,FEMALE,1.23
2005,Albania,MALE,8.82
2005,Albania,BOTHSEX,5.08
2005,Albania,FEMALE,1.38
2006,Albania,FEMALE,1.53
2006,Albania,BOTHSEX,3.16
2019,Croatia,MALE,0.95
2019,Croatia,FEMALE,0.66
2019,Croatia,BOTHSEX,0.8
2020,Croatia,MALE,1.05
2020,Croatia,BOTHSEX,0.98
2020,Croatia,FEMALE,0.9
2021,Croatia,FEMALE,0.67
2021,Croatia,BOTHSEX,0.81
2021,Croatia,MALE,0.96
2008,Kosovo,FEMALE,2.87
2008,Kosovo,MALE,9.62
2008,Kosovo,BOTHSEX,6.27
2009,Kosovo,BOTHSEX,4.06
2009,Kosovo,MALE,6.87
2009,Kosovo,FEMALE,1.23
2010,Kosovo,FEMALE,2.23
2010,Kosovo,MALE,9.59
2010,Kosovo,BOTHSEX,5.91
2006,Albania,MALE,4.81
2007,Albania,MALE,5.46
2007,Albania,BOTHSEX,3.53
2007,Albania,FEMALE,1.61
2008,Albania,FEMALE,1.29
2008,Albania,BOTHSEX,3.15
2008,Albania,MALE,5.02
2009,Albania,MALE,5.32
2009,Albania,BOTHSEX,2.9
2000,Serbia,MALE,4.39
2000,Serbia,BOTHSEX,2.87
2000,Serbia,FEMALE,1.46
2001,Serbia,FEMALE,1.85
2001,Serbia,BOTHSEX,3.07
2001,Serbia,MALE,4.38
2002,Serbia,BOTHSEX,2.53
2002,Serbia,FEMALE,1.37
2002,Serbia,MALE,3.78
2003,Serbia,MALE,2.86
2003,Serbia,FEMALE,1.65
2000,Cyprus,BOTHSEX,0.84
2001,Cyprus,BOTHSEX,0.73
2002,Cyprus,BOTHSEX,0.2
2004,Cyprus,MALE,2.34
2004,Cyprus,BOTHSEX,1.57
2004,Cyprus,FEMALE,0.79
