Year,GeoAreaName,Age,Sex,Value
2005,Bosnia and Herzegovina,ALLAGE,BOTHSEX,1.59
2006,Bosnia and Herzegovina,ALLAGE,BOTHSEX,1.7
2010,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.21
2011,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.48
2012,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.54
2014,Bosnia and Herzegovina,<18Y,MALE,1.72
2014,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.28
2015,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.17
2015,Bosnia and Herzegovina,18+,MALE,0.43
2016,Bosnia and Herzegovina,18+,MALE,0.51
2016,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.2
2017,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.29
2018,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.26
2019,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.45
2020,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.51
2005,Albania,ALLAGE,BOTHSEX,2.04
2006,Albania,ALLAGE,BOTHSEX,1.9
2008,Albania,ALLAGE,BOTHSEX,3.66
2009,Albania,ALLAGE,BOTHSEX,3.21
2015,Albania,ALLAGE,BOTHSEX,1.98
2016,Albania,ALLAGE,BOTHSEX,2.57
2017,Albania,18+,BOTHSEX,1.73
2017,Albania,<18Y,BOTHSEX,2.7
2017,Albania,ALLAGE,BOTHSEX,1.88
2007,Bulgaria,ALLAGE,BOTHSEX,3.41
2008,Bulgaria,ALLAGE,BOTHSEX,2.51
2009,Bulgaria,ALLAGE,BOTHSEX,3.82
2010,Bulgaria,ALLAGE,BOTHSEX,4.7
2011,Bulgaria,ALLAGE,BOTHSEX,5.22
2012,Bulgaria,ALLAGE,BOTHSEX,6.16
2013,Bulgaria,ALLAGE,BOTHSEX,5.76
2017,Albania,<18Y,MALE,5.25
2017,Albania,18+,MALE,3.48
2018,Albania,ALLAGE,BOTHSEX,1.29
2018,Albania,<18Y,MALE,4.77
2018,Albania,18+,BOTHSEX,0.97
2018,Albania,<18Y,BOTHSEX,2.45
2014,Bulgaria,ALLAGE,BOTHSEX,5.55
2014,Bulgaria,<18Y,MALE,4.45
2014,Bulgaria,<18Y,FEMALE,1.67
2014,Bulgaria,18+,MALE,12.57
2015,Bulgaria,18+,MALE,9.84
2015,Bulgaria,<18Y,MALE,3.83
2015,Bulgaria,ALLAGE,BOTHSEX,4.3
2018,Albania,18+,MALE,1.95
2019,Albania,<18Y,MALE,10.75
2019,Albania,18+,BOTHSEX,1.41
2019,Albania,<18Y,BOTHSEX,5.5
2019,Albania,ALLAGE,BOTHSEX,2.26
2006,Republic of Moldova,ALLAGE,BOTHSEX,21.79
2007,Republic of Moldova,ALLAGE,BOTHSEX,5.62
2008,Republic of Moldova,ALLAGE,BOTHSEX,5.38
2009,Republic of Moldova,ALLAGE,BOTHSEX,3.68
2012,Republic of Moldova,ALLAGE,BOTHSEX,3.99
2013,Republic of Moldova,ALLAGE,BOTHSEX,3.83
2014,Republic of Moldova,ALLAGE,BOTHSEX,3.47
2014,Republic of Moldova,18+,MALE,8.0
2014,Republic of Moldova,<18Y,MALE,4.97
2015,Republic of Moldova,18+,MALE,7.5
2015,Republic of Moldova,<18Y,MALE,13.37
2015,Republic of Moldova,ALLAGE,BOTHSEX,4.21
2016,Republic of Moldova,<18Y,MALE,6.98
2016,Republic of Moldova,ALLAGE,BOTHSEX,2.85
2016,Republic of Moldova,18+,MALE,5.7
2017,Republic of Moldova,18+,BOTHSEX,3.84
2017,Republic of Moldova,<18Y,BOTHSEX,4.68
2017,Republic of Moldova,18+,FEMALE,7.04
2017,Republic of Moldova,ALLAGE,BOTHSEX,2.45
2017,Republic of Moldova,<18Y,MALE,1.96
2017,Republic of Moldova,<18Y,FEMALE,7.48
2018,Republic of Moldova,18+,MALE,4.58
2018,Republic of Moldova,<18Y,MALE,10.34
2018,Republic of Moldova,ALLAGE,BOTHSEX,2.96
2018,Republic of Moldova,<18Y,BOTHSEX,4.26
2018,Republic of Moldova,18+,BOTHSEX,4.19
2019,Republic of Moldova,18+,FEMALE,7.16
2019,Republic of Moldova,18+,BOTHSEX,3.95
2019,Republic of Moldova,<18Y,BOTHSEX,3.97
2019,Republic of Moldova,<18Y,MALE,2.79
2019,Republic of Moldova,<18Y,FEMALE,5.19
2020,Republic of Moldova,<18Y,MALE,5.57
2020,Republic of Moldova,<18Y,BOTHSEX,4.81
2020,Republic of Moldova,18+,MALE,2.17
2019,Albania,18+,MALE,2.83
2020,Albania,ALLAGE,BOTHSEX,1.67
2020,Albania,18+,MALE,2.03
2020,Albania,<18Y,MALE,8.0
2020,Albania,18+,BOTHSEX,1.01
2020,Republic of Moldova,18+,BOTHSEX,3.03
2020,Republic of Moldova,ALLAGE,BOTHSEX,1.43
2012,Montenegro,ALLAGE,BOTHSEX,1.42
2016,Bulgaria,ALLAGE,BOTHSEX,4.54
2016,Bulgaria,18+,MALE,10.32
2016,Bulgaria,<18Y,MALE,3.2
2016,Bulgaria,18+,FEMALE,0.32
2017,Bulgaria,18+,FEMALE,0.22
2020,Montenegro,<18Y,MALE,9.83
2020,Montenegro,<18Y,BOTHSEX,5.82
2020,Montenegro,ALLAGE,BOTHSEX,1.59
2007,Netherlands,ALLAGE,BOTHSEX,2.06
2008,Netherlands,ALLAGE,BOTHSEX,2.87
2009,Netherlands,ALLAGE,BOTHSEX,2.53
2010,Netherlands,ALLAGE,BOTHSEX,4.51
2011,Netherlands,ALLAGE,BOTHSEX,4.68
2012,Netherlands,ALLAGE,BOTHSEX,7.24
2013,Netherlands,ALLAGE,BOTHSEX,5.6
2014,Netherlands,18+,FEMALE,0.34
2014,Netherlands,<18Y,FEMALE,0.53
2014,Netherlands,ALLAGE,BOTHSEX,4.49
2014,Netherlands,18+,MALE,9.05
2014,Netherlands,<18Y,MALE,7.11
2015,Netherlands,18+,MALE,7.44
2015,Netherlands,<18Y,MALE,7.93
2015,Netherlands,18+,FEMALE,0.42
2015,Netherlands,ALLAGE,BOTHSEX,3.96
2016,Netherlands,ALLAGE,BOTHSEX,3.26
2017,Bulgaria,18+,MALE,9.93
2017,Bulgaria,<18Y,MALE,5.16
2017,Bulgaria,ALLAGE,BOTHSEX,4.5
2018,Bulgaria,<18Y,MALE,7.99
2018,Bulgaria,ALLAGE,BOTHSEX,4.34
2018,Bulgaria,18+,MALE,9.09
2019,Bulgaria,ALLAGE,BOTHSEX,3.97
2020,Bulgaria,18+,BOTHSEX,5.37
2020,Bulgaria,<18Y,BOTHSEX,2.05
2020,Bulgaria,18+,MALE,11.1
2020,Bulgaria,ALLAGE,BOTHSEX,4.81
2020,Bulgaria,<18Y,MALE,3.99
2016,Netherlands,18+,FEMALE,0.49
2016,Netherlands,18+,MALE,6.06
2016,Netherlands,<18Y,MALE,5.81
2017,Netherlands,18+,BOTHSEX,3.35
2017,Netherlands,18+,FEMALE,0.96
2017,Netherlands,<18Y,FEMALE,0.72
2017,Netherlands,ALLAGE,BOTHSEX,3.31
2017,Netherlands,18+,MALE,5.77
2017,Netherlands,<18Y,BOTHSEX,3.26
2017,Netherlands,<18Y,MALE,5.61
2018,Netherlands,<18Y,BOTHSEX,1.24
2021,Bulgaria,ALLAGE,BOTHSEX,4.1
2003,Belarus,ALLAGE,BOTHSEX,3.48
2004,Belarus,ALLAGE,BOTHSEX,4.0
2005,Belarus,ALLAGE,BOTHSEX,3.67
2006,Belarus,ALLAGE,BOTHSEX,10.24
