Year,GeoAreaName,Sex,Value
2006,Belgium,BOTHSEX,42.87
2009,Belgium,BOTHSEX,40.49
2018,Belgium,MALE,52.87
2018,Belgium,BOTHSEX,56.12
2018,Belgium,FEMALE,59.18
2008,Croatia,BOTHSEX,33.0
2010,Croatia,BOTHSEX,61.2
2010,Czechia,BOTHSEX,55.0
2013,Czechia,BOTHSEX,41.0
2008,Denmark,BOTHSEX,71.0
2009,Denmark,BOTHSEX,74.0
2010,Denmark,BOTHSEX,83.0
2011,Denmark,BOTHSEX,84.0
2012,Denmark,BOTHSEX,71.0
2013,Denmark,BOTHSEX,78.0
2014,Denmark,BOTHSEX,77.0
2009,Estonia,BOTHSEX,19.0
2007,France,BOTHSEX,34.6
2008,France,BOTHSEX,35.23
2009,France,BOTHSEX,23.25
2010,France,BOTHSEX,34.83
2011,France,BOTHSEX,40.39
2012,France,BOTHSEX,38.02
2013,France,BOTHSEX,35.62
2014,France,BOTHSEX,45.04
2015,France,BOTHSEX,45.0
2016,France,BOTHSEX,52.0
2017,France,BOTHSEX,49.0
2018,France,BOTHSEX,42.0
2010,Georgia,BOTHSEX,57.0
2012,Germany,BOTHSEX,30.0
2017,Germany,FEMALE,38.8
2017,Germany,MALE,27.3
2017,Germany,BOTHSEX,32.0
2020,Germany,FEMALE,13.1
2020,Germany,MALE,37.2
2020,Germany,BOTHSEX,24.0
2015,Ireland,BOTHSEX,66.0
2019,Ireland,BOTHSEX,67.0
2008,Italy,BOTHSEX,32.0
2016,Italy,BOTHSEX,45.1
2015,Kyrgyzstan,BOTHSEX,36.1
2013,Luxembourg,BOTHSEX,68.5
2006,Netherlands,BOTHSEX,62.2
2007,Netherlands,BOTHSEX,59.4
2013,Netherlands,BOTHSEX,40.2
2007,Poland,BOTHSEX,43.9
2008,Poland,BOTHSEX,56.1
2009,Poland,BOTHSEX,46.6
2013,Poland,BOTHSEX,53.9
2020,Poland,FEMALE,69.6
2020,Poland,MALE,53.3
2020,Poland,BOTHSEX,61.2
2006,Sweden,BOTHSEX,45.0
2007,Sweden,BOTHSEX,44.0
2008,Sweden,BOTHSEX,42.0
2009,Sweden,BOTHSEX,43.0
2010,Sweden,BOTHSEX,45.0
2011,Sweden,BOTHSEX,57.0
2012,Sweden,BOTHSEX,54.0
2013,Sweden,BOTHSEX,48.0
2014,Sweden,BOTHSEX,60.0
2015,Sweden,BOTHSEX,53.0
2016,Sweden,BOTHSEX,44.0
2017,Sweden,BOTHSEX,42.0
2011,Switzerland,BOTHSEX,44.6
2015,Switzerland,BOTHSEX,50.5
2015,Switzerland,BOTHSEX,50.5
