Year,GeoAreaName,Age,Disability status,Location,Population Group,Quantile,Service Attribute,Sex,Value
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,BOTHSEX,98
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,ACCESS,BOTHSEX,98
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,EQUALITY,MALE,90
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,MALE,91
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,MALE,92
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,FEMALE,98
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AFFORD,FEMALE,86
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,FEMALE,92
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,EQUALITY,FEMALE,91
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,QUALITY,BOTHSEX,98
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,EQUALITY,BOTHSEX,93
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,ATTITUDE,BOTHSEX,96
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,AVERAGE,BOTHSEX,95
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,EQUALITY,BOTHSEX,90
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AFFORD,BOTHSEX,88
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,BOTHSEX,92
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,EQUALITY,BOTHSEX,91
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,BOTHSEX,92
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,BOTHSEX,92
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,MALE,97
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AFFORD,MALE,90
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,MALE,92
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,FEMALE,93
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,FEMALE,92
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,AFFORD,BOTHSEX,88
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,QUALITY,BOTHSEX,90
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,ATTITUDE,BOTHSEX,91
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,AVERAGE,BOTHSEX,91
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,ACCESS,BOTHSEX,99
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,AFFORD,BOTHSEX,90
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,AFFORD,BOTHSEX,90
