Year,GeoAreaName,Age,Sex,Value
2021,Austria,46+,MALE,1
2022,Austria,46+,FEMALE,1
2023,Austria,46+,MALE,1
2021,Belgium,<=45Y,FEMALE,1
2022,Belgium,<=45Y,FEMALE,1
2023,Belgium,<=45Y,FEMALE,1
2021,Bosnia and Herzegovina,46+,MALE,3
2022,Bosnia and Herzegovina,46+,MALE,3
2023,Bosnia and Herzegovina,46+,MALE,3
2021,Belarus,46+,FEMALE,1
2022,Belarus,46+,FEMALE,1
2023,Belarus,46+,FEMALE,1
2021,Czechia,46+,MALE,1
2022,Czechia,46+,MALE,1
2023,Czechia,46+,MALE,1
2021,France,46+,MALE,1
2022,France,46+,MALE,1
2023,France,46+,MALE,1
2021,Germany,46+,MALE,1
2022,Germany,46+,MALE,1
2023,Germany,46+,MALE,1
2021,Ireland,46+,MALE,1
2022,Ireland,46+,MALE,1
2023,Ireland,46+,MALE,1
2021,Italy,46+,FEMALE,1
2022,Italy,46+,FEMALE,1
2023,Italy,46+,MALE,1
2021,Kazakhstan,46+,MALE,1
2022,Kazakhstan,46+,MALE,1
2023,Kazakhstan,46+,MALE,1
2021,Netherlands,46+,MALE,1
2022,Netherlands,46+,MALE,1
2023,Netherlands,46+,MALE,1
2021,Poland,46+,MALE,1
2022,Poland,46+,MALE,1
2023,Poland,46+,MALE,1
2021,Romania,46+,FEMALE,1
2022,Romania,46+,MALE,1
2023,Romania,<=45Y,FEMALE,1
2021,Slovenia,46+,MALE,1
2022,Slovenia,46+,MALE,1
2023,Slovenia,46+,MALE,1
2021,Spain,46+,FEMALE,1
2022,Spain,46+,MALE,1
2023,Spain,46+,MALE,1
2021,Switzerland,46+,MALE,1
2022,Switzerland,46+,MALE,1
2023,Switzerland,46+,FEMALE,1
2021,Tajikistan,<=45Y,MALE,1
2022,Tajikistan,<=45Y,MALE,1
2023,Tajikistan,<=45Y,MALE,1
2022,Turkmenistan,46+,MALE,1
2023,Turkmenistan,46+,MALE,1
2021,Uzbekistan,46+,FEMALE,1
2022,Uzbekistan,46+,FEMALE,1
2023,Uzbekistan,46+,FEMALE,1
2023,Uzbekistan,46+,FEMALE,1
