Year,GeoAreaName,Sex,Value
2005,Albania,MALE,3452.92
2005,Albania,BOTHSEX,3376.3
2005,Albania,FEMALE,2601.58
2007,Serbia,BOTHSEX,839.39
2007,Serbia,MALE,958.18
2010,Armenia,FEMALE,1048.0
2010,Armenia,MALE,1311.15
2010,Armenia,BOTHSEX,1229.91
2013,Armenia,MALE,1346.55
2013,Armenia,BOTHSEX,1240.03
2013,Armenia,FEMALE,1000.64
2007,Bulgaria,MALE,1531.67
2007,Bulgaria,FEMALE,983.02
2007,Bulgaria,BOTHSEX,1430.55
2013,Georgia,MALE,1387.73
2013,Georgia,FEMALE,1053.09
2013,Georgia,BOTHSEX,1279.27
2014,Georgia,MALE,1933.27
2014,Georgia,BOTHSEX,1793.14
2014,Georgia,FEMALE,1507.08
2015,Georgia,MALE,1737.1
2015,Georgia,FEMALE,1234.16
2015,Georgia,BOTHSEX,1578.96
2016,Georgia,FEMALE,6108.1
2016,Georgia,MALE,8481.51
2016,Georgia,BOTHSEX,7778.03
2020,Georgia,MALE,1234.21
2020,Georgia,BOTHSEX,1642.77
2020,Georgia,FEMALE,1864.94
2007,Serbia,FEMALE,407.38
2013,Kyrgyzstan,FEMALE,1644.33
2013,Kyrgyzstan,MALE,2424.84
2013,Kyrgyzstan,BOTHSEX,2190.63
