Year,GeoAreaName,Sex,Value
2000,Albania,FEMALE,8
2001,Albania,FEMALE,8
2002,Albania,FEMALE,8
2003,Albania,FEMALE,8
2004,Albania,FEMALE,8
2005,Albania,FEMALE,9
2006,Albania,FEMALE,10
2007,Albania,FEMALE,10
2008,Albania,FEMALE,10
2000,Czechia,FEMALE,30
2001,Czechia,FEMALE,30
2002,Czechia,FEMALE,30
2003,Czechia,FEMALE,34
2004,Czechia,FEMALE,34
2005,Czechia,FEMALE,34
2006,Czechia,FEMALE,34
2007,Czechia,FEMALE,31
2008,Czechia,FEMALE,31
2009,Albania,FEMALE,10
2010,Albania,FEMALE,23
2011,Albania,FEMALE,23
2012,Albania,FEMALE,22
2013,Albania,FEMALE,22
2014,Albania,FEMALE,28
2015,Albania,FEMALE,29
2016,Albania,FEMALE,29
2017,Albania,FEMALE,32
2009,Czechia,FEMALE,31
2010,Czechia,FEMALE,31
2011,Czechia,FEMALE,44
2012,Czechia,FEMALE,44
2013,Czechia,FEMALE,44
2014,Czechia,FEMALE,39
2015,Czechia,FEMALE,38
2016,Czechia,FEMALE,40
2017,Czechia,FEMALE,40
2018,Czechia,FEMALE,44
2019,Czechia,FEMALE,45
2020,Czechia,FEMALE,45
2021,Czechia,FEMALE,46
2022,Czechia,FEMALE,51
2023,Czechia,FEMALE,52
2000,Denmark,FEMALE,67
2001,Denmark,FEMALE,67
2002,Denmark,FEMALE,68
2003,Denmark,FEMALE,68
2004,Denmark,FEMALE,68
2005,Denmark,FEMALE,68
2006,Denmark,FEMALE,66
2007,Denmark,FEMALE,66
2008,Denmark,FEMALE,68
2009,Denmark,FEMALE,68
2010,Denmark,FEMALE,68
2011,Denmark,FEMALE,68
2000,Poland,FEMALE,60
2001,Poland,FEMALE,60
2002,Poland,FEMALE,93
2003,Poland,FEMALE,93
2004,Poland,FEMALE,93
2005,Poland,FEMALE,93
2006,Poland,FEMALE,94
2007,Poland,FEMALE,94
2008,Poland,FEMALE,94
2018,Albania,FEMALE,39
2019,Albania,FEMALE,41
2020,Albania,FEMALE,36
2021,Albania,FEMALE,36
2022,Albania,FEMALE,50
2023,Albania,FEMALE,50
2000,Azerbaijan,FEMALE,13
2001,Azerbaijan,FEMALE,13
2002,Azerbaijan,FEMALE,13
2012,Denmark,FEMALE,70
2013,Denmark,FEMALE,70
2014,Denmark,FEMALE,70
2015,Denmark,FEMALE,68
2016,Denmark,FEMALE,67
2017,Denmark,FEMALE,67
2018,Denmark,FEMALE,67
2019,Denmark,FEMALE,67
2020,Denmark,FEMALE,71
2009,Poland,FEMALE,93
2010,Poland,FEMALE,92
2011,Poland,FEMALE,92
2012,Poland,FEMALE,109
2013,Poland,FEMALE,109
2014,Poland,FEMALE,112
2015,Poland,FEMALE,111
2016,Poland,FEMALE,126
2017,Poland,FEMALE,129
2003,Azerbaijan,FEMALE,13
2004,Azerbaijan,FEMALE,13
2005,Azerbaijan,FEMALE,13
