Year,GeoAreaName,Age,Sex,Value
2009,Albania,15-49,FEMALE,74.5
2018,Albania,15-49,FEMALE,77.2
2010,Armenia,15-49,FEMALE,80.7
2016,Armenia,15-49,FEMALE,75.5
2018,Georgia,15-49,FEMALE,87.8
2012,Kyrgyzstan,15-49,FEMALE,85.4
2020,Republic of Moldova,15-49,FEMALE,79.3
2019,Serbia,15-49,FEMALE,98.3
2012,Tajikistan,15-49,FEMALE,70.4
2017,Tajikistan,15-49,FEMALE,53.5
2019,Turkmenistan,15-49,FEMALE,69.7
2007,Ukraine,15-49,FEMALE,86.3
2019,North Macedonia,15-49,FEMALE,89.7
2022,Uzbekistan,15-49,FEMALE,84.5
2022,Uzbekistan,15-49,FEMALE,84.5
