Year,GeoAreaName,Level/Status,Value
2017,Albania,_T,43.14141
2020,Albania,_T,47.0
2017,Azerbaijan,_T,65.95328
2020,Azerbaijan,_T,57.0
2017,Austria,_T,91.13636
2020,Austria,_T,91.0
2017,Armenia,_T,35.94444
2020,Armenia,_T,52.0
2017,Belgium,_T,77.51984
2020,Belgium,_T,82.0
2017,Bosnia and Herzegovina,_T,60.88889
2020,Bosnia and Herzegovina,_T,53.0
2017,Bulgaria,_T,60.22222
2020,Bulgaria,_T,69.0
2017,Belarus,_T,38.08081
2020,Belarus,_T,54.0
2017,Croatia,_T,89.82323
2020,Croatia,_T,90.0
2017,Cyprus,_T,90.69444
2020,Cyprus,_T,93.0
2017,Czechia,_T,79.32071
2020,Czechia,_T,80.0
2017,Denmark,_T,93.0
2020,Denmark,_T,95.0
2017,Estonia,_T,80.01515
2020,Estonia,_T,85.0
2017,Finland,_T,74.63889
2020,Finland,_T,80.0
2017,France,_T,100.0
2020,France,_T,100.0
2017,Georgia,_T,35.10101
2020,Georgia,_T,44.0
2017,Germany,_T,87.98413
2020,Germany,_T,89.0
2017,Greece,_T,83.23232
2020,Greece,_T,86.0
2017,Hungary,_T,73.28283
2020,Hungary,_T,75.0
2017,Iceland,_T,51.875
2020,Iceland,_T,69.0
2017,Ireland,_T,80.5
2020,Ireland,_T,81.0
2017,Italy,_T,54.52778
2020,Italy,_T,77.0
2017,Kazakhstan,_T,30.18452
2020,Kazakhstan,_T,46.0
2020,Kyrgyzstan,_T,31.0
2017,Latvia,_T,64.25
2020,Latvia,_T,62.0
2017,Liechtenstein,_T,70.0
2020,Liechtenstein,_T,72.0
2017,Lithuania,_T,56.61806
2020,Lithuania,_T,61.0
2017,Luxembourg,_T,90.23413
2020,Luxembourg,_T,89.0
2017,Malta,_T,75.25
2020,Malta,_T,86.0
2017,Republic of Moldova,_T,31.5846
2020,Republic of Moldova,_T,46.0
2017,Montenegro,_T,34.375
2020,Montenegro,_T,35.0
2017,Netherlands,_T,93.19444
2020,Netherlands,_T,92.0
2017,Norway,_T,63.44444
2020,Norway,_T,68.0
2017,Poland,_T,39.5
2020,Poland,_T,74.0
2017,Portugal,_T,74.06944
2020,Portugal,_T,72.0
2017,Romania,_T,72.47475
2020,Romania,_T,77.0
2017,Serbia,_T,29.86364
2020,Serbia,_T,36.0
2017,Slovakia,_T,65.76389
2020,Slovakia,_T,61.0
2017,Slovenia,_T,57.88889
2020,Slovenia,_T,87.0
2017,Spain,_T,82.47727
2020,Spain,_T,87.0
2017,Sweden,_T,88.5
2020,Sweden,_T,86.0
2017,Switzerland,_T,81.35714
2020,Switzerland,_T,81.0
2020,Tajikistan,_T,46.0
2017,Türkiye,_T,69.5
2020,Türkiye,_T,72.0
2020,Turkmenistan,_T,64.0
2017,Ukraine,_T,38.9375
2020,Ukraine,_T,39.0
2017,North Macedonia,_T,22.33333
2020,North Macedonia,_T,33.0
2017,Uzbekistan,_T,45.15404
2020,Uzbekistan,_T,48.0
2020,Uzbekistan,_T,48.0
