Year,GeoAreaName,Age,Sex,Value
2011,Albania,15+,BOTHSEX,36.05745
2014,Albania,15+,BOTHSEX,44.08454
2017,Albania,15+,BOTHSEX,53.14428
2021,Albania,15+,BOTHSEX,61.06778
2011,Azerbaijan,15+,BOTHSEX,16.84401
2014,Azerbaijan,15+,BOTHSEX,36.59474
2017,Azerbaijan,15+,BOTHSEX,31.87307
2011,Austria,15+,BOTHSEX,97.7551
2014,Austria,15+,BOTHSEX,98.09224
2017,Austria,15+,BOTHSEX,98.91395
2021,Austria,15+,BOTHSEX,99.91674
2011,Armenia,15+,BOTHSEX,23.91852
2014,Armenia,15+,BOTHSEX,27.90048
2017,Armenia,15+,BOTHSEX,61.28325
2021,Armenia,15+,BOTHSEX,66.4476
2011,Belgium,15+,BOTHSEX,97.26776
2014,Belgium,15+,BOTHSEX,98.55419
2017,Belgium,15+,BOTHSEX,99.89507
2021,Belgium,15+,BOTHSEX,99.48689
2011,Bosnia and Herzegovina,15+,BOTHSEX,71.23821
2014,Bosnia and Herzegovina,15+,BOTHSEX,69.08089
2017,Bosnia and Herzegovina,15+,BOTHSEX,77.60302
2021,Bosnia and Herzegovina,15+,BOTHSEX,91.01046
2011,Bulgaria,15+,BOTHSEX,65.80623
2014,Bulgaria,15+,BOTHSEX,77.9123
2017,Bulgaria,15+,BOTHSEX,88.16267
2021,Bulgaria,15+,BOTHSEX,84.99643
2011,Belarus,15+,BOTHSEX,69.4656
2014,Belarus,15+,BOTHSEX,81.13759
2017,Belarus,15+,BOTHSEX,93.68441
2011,Croatia,15+,BOTHSEX,93.83819
2014,Croatia,15+,BOTHSEX,92.98119
2017,Croatia,15+,BOTHSEX,95.23848
2021,Croatia,15+,BOTHSEX,97.49065
2011,Cyprus,15+,BOTHSEX,93.45576
2014,Cyprus,15+,BOTHSEX,93.30023
2017,Cyprus,15+,BOTHSEX,90.52654
2021,Cyprus,15+,BOTHSEX,97.15184
2011,Czechia,15+,BOTHSEX,93.41581
2014,Czechia,15+,BOTHSEX,92.83135
2017,Czechia,15+,BOTHSEX,96.75378
2021,Czechia,15+,BOTHSEX,97.29616
2011,Denmark,15+,BOTHSEX,100.0
2014,Denmark,15+,BOTHSEX,100.0
2017,Denmark,15+,BOTHSEX,100.0
2021,Denmark,15+,BOTHSEX,100.0
2011,Estonia,15+,BOTHSEX,97.50256
2014,Estonia,15+,BOTHSEX,99.2515
2017,Estonia,15+,BOTHSEX,98.37492
2021,Estonia,15+,BOTHSEX,100.0
2011,Finland,15+,BOTHSEX,100.0
2014,Finland,15+,BOTHSEX,100.0
2017,Finland,15+,BOTHSEX,100.0
2021,Finland,15+,BOTHSEX,99.18639
2011,France,15+,BOTHSEX,99.36829
2014,France,15+,BOTHSEX,99.54636
2017,France,15+,BOTHSEX,97.60464
2021,France,15+,BOTHSEX,99.60381
2011,Georgia,15+,BOTHSEX,36.87158
2014,Georgia,15+,BOTHSEX,49.13528
2017,Georgia,15+,BOTHSEX,69.77904
2021,Georgia,15+,BOTHSEX,80.29822
2014,Germany,15+,BOTHSEX,99.19064
2017,Germany,15+,BOTHSEX,99.18499
2021,Germany,15+,BOTHSEX,100.0
2011,Greece,15+,BOTHSEX,83.11792
2014,Greece,15+,BOTHSEX,91.3063
2017,Greece,15+,BOTHSEX,91.12808
2021,Greece,15+,BOTHSEX,96.92946
2011,Hungary,15+,BOTHSEX,89.45328
2014,Hungary,15+,BOTHSEX,85.67078
2017,Hungary,15+,BOTHSEX,88.8047
2021,Hungary,15+,BOTHSEX,94.40871
2021,Iceland,15+,BOTHSEX,100.0
2011,Ireland,15+,BOTHSEX,95.9586
2014,Ireland,15+,BOTHSEX,97.1056
2017,Ireland,15+,BOTHSEX,96.51671
2021,Ireland,15+,BOTHSEX,99.47335
2011,Italy,15+,BOTHSEX,77.91343
2014,Italy,15+,BOTHSEX,91.58215
2017,Italy,15+,BOTHSEX,96.16476
2021,Italy,15+,BOTHSEX,98.76288
2011,Kazakhstan,15+,BOTHSEX,44.48271
2014,Kazakhstan,15+,BOTHSEX,62.17725
2017,Kazakhstan,15+,BOTHSEX,67.90781
2021,Kazakhstan,15+,BOTHSEX,87.48636
2011,Kosovo,15+,BOTHSEX,60.99249
2014,Kosovo,15+,BOTHSEX,59.92477
2017,Kosovo,15+,BOTHSEX,63.9756
2021,Kosovo,15+,BOTHSEX,68.90968
2011,Kyrgyzstan,15+,BOTHSEX,5.51311
2014,Kyrgyzstan,15+,BOTHSEX,24.04078
2017,Kyrgyzstan,15+,BOTHSEX,46.26985
2021,Kyrgyzstan,15+,BOTHSEX,51.36827
2011,Latvia,15+,BOTHSEX,95.41305
2014,Latvia,15+,BOTHSEX,96.40703
2017,Latvia,15+,BOTHSEX,98.01203
2021,Latvia,15+,BOTHSEX,98.7382
2011,Lithuania,15+,BOTHSEX,85.38686
2014,Lithuania,15+,BOTHSEX,92.68375
2017,Lithuania,15+,BOTHSEX,96.35566
2021,Lithuania,15+,BOTHSEX,98.54964
2011,Luxembourg,15+,BOTHSEX,98.64304
2014,Luxembourg,15+,BOTHSEX,97.90253
2017,Luxembourg,15+,BOTHSEX,99.85725
2011,Malta,15+,BOTHSEX,97.56233
2014,Malta,15+,BOTHSEX,98.08589
2017,Malta,15+,BOTHSEX,98.25832
2021,Malta,15+,BOTHSEX,97.4518
2011,Republic of Moldova,15+,BOTHSEX,21.90017
2014,Republic of Moldova,15+,BOTHSEX,25.61539
2021,Republic of Moldova,15+,BOTHSEX,73.62337
2011,Montenegro,15+,BOTHSEX,61.15104
2014,Montenegro,15+,BOTHSEX,74.30794
2017,Montenegro,15+,BOTHSEX,78.48055
2011,Netherlands,15+,BOTHSEX,98.83201
2014,Netherlands,15+,BOTHSEX,99.39198
2017,Netherlands,15+,BOTHSEX,99.78546
2021,Netherlands,15+,BOTHSEX,100.0
2014,Norway,15+,BOTHSEX,100.0
2017,Norway,15+,BOTHSEX,100.0
2021,Norway,15+,BOTHSEX,100.0
2011,Poland,15+,BOTHSEX,86.19906
2014,Poland,15+,BOTHSEX,89.31991
2017,Poland,15+,BOTHSEX,97.1256
2021,Poland,15+,BOTHSEX,98.36511
2011,Portugal,15+,BOTHSEX,90.70387
2014,Portugal,15+,BOTHSEX,91.0657
2017,Portugal,15+,BOTHSEX,94.95862
2021,Portugal,15+,BOTHSEX,97.9502
2011,Romania,15+,BOTHSEX,53.25034
2014,Romania,15+,BOTHSEX,68.49097
2017,Romania,15+,BOTHSEX,65.3036
2021,Romania,15+,BOTHSEX,79.99197
2011,Serbia,15+,BOTHSEX,69.5844
2014,Serbia,15+,BOTHSEX,88.11666
2017,Serbia,15+,BOTHSEX,85.94401
2021,Serbia,15+,BOTHSEX,96.259
2011,Slovakia,15+,BOTHSEX,92.77009
2014,Slovakia,15+,BOTHSEX,92.7538
2017,Slovakia,15+,BOTHSEX,91.15578
2021,Slovakia,15+,BOTHSEX,97.10313
2011,Slovenia,15+,BOTHSEX,97.61575
2014,Slovenia,15+,BOTHSEX,97.41671
2017,Slovenia,15+,BOTHSEX,99.43182
2021,Slovenia,15+,BOTHSEX,99.84187
2011,Spain,15+,BOTHSEX,96.24265
2017,Spain,15+,BOTHSEX,98.35013
2021,Spain,15+,BOTHSEX,97.09465
2011,Sweden,15+,BOTHSEX,99.60459
2014,Sweden,15+,BOTHSEX,100.0
2017,Sweden,15+,BOTHSEX,99.79536
2021,Sweden,15+,BOTHSEX,99.59045
2014,Switzerland,15+,BOTHSEX,98.59818
2017,Switzerland,15+,BOTHSEX,99.04539
2021,Switzerland,15+,BOTHSEX,99.8256
2011,Tajikistan,15+,BOTHSEX,3.05236
2014,Tajikistan,15+,BOTHSEX,14.24079
2017,Tajikistan,15+,BOTHSEX,60.2723
2021,Tajikistan,15+,BOTHSEX,44.46566
2011,Türkiye,15+,BOTHSEX,89.06436
2014,Türkiye,15+,BOTHSEX,71.09725
2017,Türkiye,15+,BOTHSEX,89.75962
2021,Türkiye,15+,BOTHSEX,82.52074
2011,Turkmenistan,15+,BOTHSEX,0.55177
2017,Turkmenistan,15+,BOTHSEX,57.79177
2011,Ukraine,15+,BOTHSEX,48.54243
2014,Ukraine,15+,BOTHSEX,64.4634
2017,Ukraine,15+,BOTHSEX,68.72163
2021,Ukraine,15+,BOTHSEX,87.80831
2011,North Macedonia,15+,BOTHSEX,78.57264
2014,North Macedonia,15+,BOTHSEX,84.50485
2017,North Macedonia,15+,BOTHSEX,89.71305
2021,North Macedonia,15+,BOTHSEX,92.41866
2011,Uzbekistan,15+,BOTHSEX,27.04527
2014,Uzbekistan,15+,BOTHSEX,43.05931
2017,Uzbekistan,15+,BOTHSEX,38.58828
2021,Uzbekistan,15+,BOTHSEX,53.32583
2021,Uzbekistan,15+,BOTHSEX,53.32583
