Year,GeoAreaName,Age,Sex,Value
2005,Austria,15-24,BOTHSEX,11.84
2005,Austria,15-24,MALE,13.49
2005,Austria,15-24,FEMALE,10.14
2006,Austria,15-24,FEMALE,9.43
2006,Austria,15-24,BOTHSEX,11.22
2006,Austria,15-24,MALE,12.95
2007,Austria,15-24,BOTHSEX,10.71
2007,Austria,15-24,MALE,12.18
2007,Austria,15-24,FEMALE,9.18
2008,Austria,15-24,FEMALE,9.21
2008,Austria,15-24,MALE,11.48
2008,Austria,15-24,BOTHSEX,10.37
2009,Austria,15-24,BOTHSEX,11.73
2009,Austria,15-24,MALE,13.3
2009,Austria,15-24,FEMALE,10.1
2010,Austria,15-24,MALE,12.64
2010,Austria,15-24,BOTHSEX,10.79
2010,Austria,15-24,FEMALE,8.88
2011,Austria,15-24,MALE,12.53
2011,Austria,15-24,BOTHSEX,10.56
2011,Austria,15-24,FEMALE,8.52
2012,Austria,15-24,MALE,11.93
2012,Austria,15-24,FEMALE,8.32
2012,Austria,15-24,BOTHSEX,10.16
2013,Austria,15-24,FEMALE,8.65
2013,Austria,15-24,BOTHSEX,10.34
2013,Austria,15-24,MALE,11.96
2019,Poland,15-24,BOTHSEX,8.13
2019,Poland,15-24,MALE,6.83
2019,Poland,15-24,FEMALE,9.5
2020,Poland,15-24,MALE,7.79
2020,Poland,15-24,BOTHSEX,8.63
2020,Poland,15-24,FEMALE,9.52
2021,Poland,15-24,FEMALE,11.94
2021,Poland,15-24,BOTHSEX,11.2
2021,Poland,15-24,MALE,10.51
2014,Austria,15-24,MALE,12.64
2014,Austria,15-24,FEMALE,8.8
2014,Austria,15-24,BOTHSEX,10.76
2015,Austria,15-24,BOTHSEX,11.04
2015,Austria,15-24,FEMALE,9.01
2015,Austria,15-24,MALE,12.97
2016,Austria,15-24,BOTHSEX,10.91
2016,Austria,15-24,MALE,12.6
2016,Austria,15-24,FEMALE,9.11
2017,Austria,15-24,BOTHSEX,10.45
2017,Austria,15-24,FEMALE,7.54
2017,Austria,15-24,MALE,13.19
2018,Austria,15-24,BOTHSEX,10.42
2018,Austria,15-24,FEMALE,8.75
2018,Austria,15-24,MALE,12.01
2019,Austria,15-24,MALE,12.72
2019,Austria,15-24,FEMALE,9.22
2019,Austria,15-24,BOTHSEX,11.01
2004,Portugal,15-24,MALE,9.71
2004,Portugal,15-24,FEMALE,10.8
2004,Portugal,15-24,BOTHSEX,10.25
2005,Portugal,15-24,BOTHSEX,11.09
2005,Portugal,15-24,MALE,10.19
2005,Portugal,15-24,FEMALE,12.02
2006,Portugal,15-24,BOTHSEX,10.61
2006,Portugal,15-24,MALE,9.86
2006,Portugal,15-24,FEMALE,11.38
2007,Portugal,15-24,MALE,9.76
2007,Portugal,15-24,FEMALE,12.61
2007,Portugal,15-24,BOTHSEX,11.16
2008,Portugal,15-24,BOTHSEX,10.23
2008,Portugal,15-24,MALE,8.92
2008,Portugal,15-24,FEMALE,11.58
2009,Portugal,15-24,BOTHSEX,11.21
2009,Portugal,15-24,MALE,10.66
2009,Portugal,15-24,FEMALE,11.78
2010,Portugal,15-24,BOTHSEX,11.44
2010,Portugal,15-24,MALE,10.41
2010,Portugal,15-24,FEMALE,12.5
2011,Portugal,15-24,MALE,12.19
2011,Portugal,15-24,FEMALE,12.92
2011,Portugal,15-24,BOTHSEX,12.55
2012,Portugal,15-24,MALE,14.57
2012,Portugal,15-24,BOTHSEX,13.91
2012,Portugal,15-24,FEMALE,13.23
2013,Portugal,15-24,MALE,14.2
2013,Portugal,15-24,FEMALE,13.94
2013,Portugal,15-24,BOTHSEX,14.07
2014,Portugal,15-24,BOTHSEX,12.28
2014,Portugal,15-24,MALE,12.29
2014,Portugal,15-24,FEMALE,12.28
2015,Portugal,15-24,FEMALE,12.16
2015,Portugal,15-24,BOTHSEX,11.27
2015,Portugal,15-24,MALE,10.4
2016,Portugal,15-24,MALE,10.82
2016,Portugal,15-24,FEMALE,10.28
2016,Portugal,15-24,BOTHSEX,10.55
2017,Portugal,15-24,MALE,9.18
2017,Portugal,15-24,BOTHSEX,9.34
2017,Portugal,15-24,FEMALE,9.5
2018,Portugal,15-24,BOTHSEX,8.37
2018,Portugal,15-24,MALE,8.35
2018,Portugal,15-24,FEMALE,8.39
2019,Portugal,15-24,BOTHSEX,8.02
2019,Portugal,15-24,FEMALE,8.62
2019,Portugal,15-24,MALE,7.44
2020,Portugal,15-24,FEMALE,8.77
2020,Portugal,15-24,BOTHSEX,9.06
2020,Portugal,15-24,MALE,9.35
2021,Portugal,15-24,FEMALE,7.32
2021,Portugal,15-24,MALE,8.14
2021,Portugal,15-24,BOTHSEX,7.74
2020,Austria,15-24,FEMALE,8.5
2020,Austria,15-24,BOTHSEX,11.42
2020,Austria,15-24,MALE,14.21
2021,Austria,15-24,BOTHSEX,12.26
2021,Austria,15-24,MALE,14.07
2021,Austria,15-24,FEMALE,10.34
2018,Armenia,15-24,FEMALE,34.26
2018,Armenia,15-24,BOTHSEX,33.59
2018,Armenia,15-24,MALE,32.87
2004,Romania,15-24,FEMALE,21.45
2004,Romania,15-24,MALE,21.29
2004,Romania,15-24,BOTHSEX,21.37
2005,Romania,15-24,FEMALE,21.64
2005,Romania,15-24,BOTHSEX,20.81
2005,Romania,15-24,MALE,20.0
