Year,GeoAreaName,Value
2016,Kazakhstan,0.0
2017,Kazakhstan,51902.17391
2018,Kazakhstan,0.0
2019,Kazakhstan,0.0
2020,Kazakhstan,0.0
2015,Kyrgyzstan,0.0
2016,Kyrgyzstan,0.0
2017,Kyrgyzstan,0.0
2018,Kyrgyzstan,449.44281
2019,Kyrgyzstan,301.53395
2017,Netherlands,0.0
2018,Netherlands,0.0
2019,Netherlands,0.0
2017,Norway,0.0
2005,Romania,531.28325
2006,Romania,5350457.81417
2007,Romania,1236.51725
2008,Romania,4711.18345
2009,Romania,206.60479
2010,Romania,570.18786
2011,Romania,65.60388
2012,Romania,66680.41059
2013,Romania,315.51429
2014,Romania,89604.38314
2015,Romania,1099.68295
2016,Romania,10.34687
2017,Romania,4591.98026
2018,Romania,0.0
2020,Serbia,0.0
2016,Slovenia,16833.0
2017,Slovenia,452.613
2018,Slovenia,114320.0
2019,Slovenia,1968276.0
2020,Slovenia,1546864.22668
2015,Sweden,0.0
2016,Sweden,0.0
2005,Albania,0.0
2006,Albania,0.0
2007,Albania,0.0
2008,Albania,0.0
2009,Albania,0.0
2010,Albania,0.0
2011,Albania,0.0
2012,Albania,0.0
2013,Albania,0.0
2014,Albania,0.0
2015,Albania,0.0
2016,Albania,0.0
2017,Sweden,0.0
2018,Sweden,0.0
2019,Sweden,0.0
2020,Sweden,0.0
2005,Switzerland,0.0
2006,Switzerland,0.0
2007,Switzerland,0.0
2008,Switzerland,0.0
2009,Switzerland,0.0
2010,Switzerland,0.0
2011,Switzerland,0.0
2012,Switzerland,0.0
2013,Switzerland,0.0
2014,Switzerland,0.0
2015,Switzerland,0.0
2016,Switzerland,0.0
2017,Switzerland,0.0
2018,Switzerland,0.0
2018,Albania,0.0
2019,Albania,0.0
2020,Albania,0.0
2019,Armenia,0.0
2020,Armenia,0.0
2005,Bulgaria,0.0
2019,Switzerland,0.0
2015,Tajikistan,0.0
2016,Tajikistan,0.0
2017,Tajikistan,0.0
2018,Tajikistan,0.0
2019,Tajikistan,0.0
2020,Tajikistan,0.0
2005,Türkiye,0.0
2006,Türkiye,0.0
2007,Türkiye,0.0
2008,Türkiye,0.0
2009,Türkiye,0.0
2006,Bulgaria,0.0
2007,Bulgaria,0.0
2008,Bulgaria,0.0
2009,Bulgaria,0.0
2010,Bulgaria,0.0
2011,Bulgaria,0.0
2010,Türkiye,0.0
2011,Türkiye,0.0
2012,Türkiye,0.0
2013,Türkiye,0.0
2014,Türkiye,0.0
2019,Turkmenistan,0.0
2005,Ukraine,0.0
2006,Ukraine,217821.78218
2007,Ukraine,0.0
2008,Ukraine,1518833.53584
2009,Ukraine,1463189.23914
2010,Ukraine,1638187.40864
2011,Ukraine,0.0
2012,Ukraine,0.0
2013,Ukraine,0.0
2014,Ukraine,0.0
2015,Ukraine,0.0
2016,Ukraine,0.0
2017,Ukraine,300790.21349
2018,Ukraine,137377.25409
2019,Ukraine,351458.58483
2020,Ukraine,390506.52819
2019,Uzbekistan,0.0
2020,Uzbekistan,0.0
2012,Bulgaria,673425.00673
2013,Bulgaria,0.0
2014,Bulgaria,0.0
2015,Bulgaria,42525.01038
2016,Bulgaria,0.0
2017,Bulgaria,9792.00063
2018,Bulgaria,4354865.45564
2019,Bulgaria,67495.99028
2020,Bulgaria,0.0
2015,Belarus,0.0
2016,Belarus,0.0
2017,Belarus,0.0
2018,Belarus,0.0
2019,Belarus,0.0
2020,Belarus,0.0
2017,Croatia,4911659.12898
2017,Cyprus,0.0
2015,Denmark,0.0
2016,Denmark,0.0
2017,Denmark,0.0
2018,Denmark,0.0
2019,Denmark,0.0
2020,Denmark,0.0
2005,Estonia,0.0
2006,Estonia,0.0
2007,Estonia,0.0
2008,Estonia,0.0
2009,Estonia,0.0
2010,Estonia,0.0
2011,Estonia,0.0
2012,Estonia,0.0
2013,Estonia,0.0
2014,Estonia,0.0
2015,Estonia,0.0
2016,Estonia,0.0
2017,Estonia,0.0
2018,Estonia,0.0
2015,Finland,0.0
2016,Finland,0.0
2017,Finland,0.0
2018,Finland,0.0
2019,Finland,0.0
2017,France,0.0
2017,Georgia,0.0
2018,Georgia,0.0
2019,Georgia,0.0
2020,Georgia,0.0
2020,Hungary,0.0
2015,Ireland,0.0
2016,Ireland,0.0
2017,Ireland,85825.45323
2005,Kazakhstan,0.0
2006,Kazakhstan,0.0
2007,Kazakhstan,0.0
2008,Kazakhstan,0.0
2009,Kazakhstan,0.0
2010,Kazakhstan,0.0
2011,Kazakhstan,0.0
2012,Kazakhstan,0.0
2013,Kazakhstan,0.0
2005,Estonia,0.0
2006,Estonia,0.0
2007,Estonia,0.0
2008,Estonia,0.0
2009,Estonia,0.0
2010,Estonia,0.0
2011,Estonia,0.0
2012,Estonia,0.0
2013,Estonia,0.0
2014,Estonia,0.0
2015,Estonia,0.0
2016,Estonia,0.0
2017,Estonia,0.0
2018,Estonia,0.0
2015,Finland,0.0
2016,Finland,0.0
2017,Finland,0.0
2018,Finland,0.0
2019,Finland,0.0
2017,France,0.0
2017,Georgia,0.0
2018,Georgia,0.0
2019,Georgia,0.0
2020,Georgia,0.0
2020,Hungary,0.0
2015,Ireland,0.0
2016,Ireland,0.0
2017,Ireland,85825.45323
2005,Kazakhstan,0.0
2006,Kazakhstan,0.0
2007,Kazakhstan,0.0
2008,Kazakhstan,0.0
2009,Kazakhstan,0.0
2010,Kazakhstan,0.0
2011,Kazakhstan,0.0
2012,Kazakhstan,0.0
2005,Albania,0.0
2006,Albania,0.0
2007,Albania,0.0
2008,Albania,0.0
2009,Albania,0.0
2010,Albania,0.0
2013,Kazakhstan,0.0
2014,Kazakhstan,0.0
2015,Kazakhstan,0.0
2016,Kazakhstan,0.0
2017,Kazakhstan,51902.17391
2018,Kazakhstan,0.0
2011,Albania,0.0
2012,Albania,0.0
2013,Albania,0.0
2014,Albania,0.0
2015,Albania,0.0
2016,Albania,0.0
2019,Kazakhstan,0.0
2020,Kazakhstan,0.0
2015,Kyrgyzstan,0.0
2016,Kyrgyzstan,0.0
2017,Kyrgyzstan,0.0
2018,Kyrgyzstan,449.44281
2018,Albania,0.0
2019,Albania,0.0
2020,Albania,0.0
2019,Armenia,0.0
2020,Armenia,0.0
2005,Bulgaria,0.0
2019,Kyrgyzstan,301.53395
2017,Netherlands,0.0
2018,Netherlands,0.0
2019,Netherlands,0.0
2017,Norway,0.0
2005,Romania,531.28325
2006,Romania,5350457.81417
2007,Romania,1236.51725
2008,Romania,4711.18345
2009,Romania,206.60479
2010,Romania,570.18786
