Year,GeoAreaName,Value
2010,Albania,1
2016,Albania,1
2020,Albania,1
2022,Albania,1
2010,Azerbaijan,0
2016,Azerbaijan,0
2020,Azerbaijan,1
2022,Azerbaijan,1
2010,Austria,1
2016,Austria,1
2020,Austria,1
2022,Austria,1
2010,Armenia,1
2016,Armenia,1
2020,Armenia,1
2022,Armenia,1
2010,Belgium,1
2016,Belgium,1
2020,Belgium,1
2022,Belgium,1
2010,Bosnia and Herzegovina,0
2016,Bosnia and Herzegovina,1
2020,Bosnia and Herzegovina,1
2022,Bosnia and Herzegovina,1
2010,Bulgaria,1
2016,Bulgaria,1
2020,Bulgaria,1
2022,Bulgaria,1
2010,Belarus,0
2016,Belarus,1
2020,Belarus,1
2022,Belarus,1
2010,Croatia,1
2016,Croatia,1
2020,Croatia,1
2022,Croatia,1
2010,Cyprus,0
2016,Cyprus,0
2020,Cyprus,1
2022,Cyprus,1
2010,Czechia,1
2016,Czechia,1
2020,Czechia,1
2022,Czechia,1
2010,Denmark,1
2016,Denmark,1
2020,Denmark,1
2022,Denmark,1
2010,Estonia,1
2016,Estonia,1
2020,Estonia,1
2022,Estonia,1
2010,Finland,1
2016,Finland,1
2020,Finland,1
2022,Finland,1
2010,France,1
2016,France,1
2020,France,1
2022,France,1
2010,Georgia,1
2016,Georgia,1
2020,Georgia,1
2022,Georgia,1
2010,Germany,1
2016,Germany,1
2020,Germany,1
2022,Germany,1
2010,Greece,0
2016,Greece,1
2020,Greece,1
2022,Greece,1
2010,Hungary,1
2016,Hungary,1
2020,Hungary,1
2022,Hungary,1
2010,Iceland,1
2016,Iceland,1
2020,Iceland,1
2022,Iceland,1
2010,Ireland,1
2016,Ireland,1
2020,Ireland,1
2022,Ireland,1
2010,Italy,1
2016,Italy,1
2020,Italy,1
2022,Italy,1
2010,Kazakhstan,1
2016,Kazakhstan,1
2020,Kazakhstan,1
2022,Kazakhstan,1
2010,Kyrgyzstan,0
2016,Kyrgyzstan,0
2020,Kyrgyzstan,1
2022,Kyrgyzstan,1
2010,Latvia,1
2016,Latvia,1
2020,Latvia,1
2022,Latvia,1
2010,Liechtenstein,0
2016,Liechtenstein,0
2020,Liechtenstein,0
2022,Liechtenstein,0
2010,Lithuania,1
2016,Lithuania,1
2020,Lithuania,1
2022,Lithuania,1
2010,Luxembourg,1
2016,Luxembourg,1
2020,Luxembourg,1
2022,Luxembourg,1
2010,Malta,1
2016,Malta,1
2020,Malta,1
2022,Malta,1
2010,Republic of Moldova,1
2016,Republic of Moldova,1
2020,Republic of Moldova,1
2022,Republic of Moldova,1
2010,Montenegro,0
2016,Montenegro,1
2020,Montenegro,1
2022,Montenegro,1
2010,Netherlands,1
2016,Netherlands,1
2020,Netherlands,1
2022,Netherlands,1
2010,Norway,1
2016,Norway,1
2020,Norway,1
2022,Norway,1
2010,Poland,1
2016,Poland,1
2020,Poland,1
2022,Poland,1
2010,Portugal,1
2016,Portugal,1
2020,Portugal,1
2022,Portugal,1
2010,Romania,0
2016,Romania,1
2020,Romania,1
2022,Romania,1
2010,Serbia,0
2016,Serbia,1
2020,Serbia,1
2022,Serbia,1
2010,Slovakia,1
2016,Slovakia,1
2020,Slovakia,1
2022,Slovakia,1
2010,Slovenia,1
2016,Slovenia,1
2020,Slovenia,1
2022,Slovenia,1
2010,Spain,1
2016,Spain,1
2020,Spain,1
2022,Spain,1
2010,Sweden,1
2016,Sweden,1
2020,Sweden,1
2022,Sweden,1
2010,Switzerland,1
2016,Switzerland,1
2020,Switzerland,1
2022,Switzerland,1
2010,Tajikistan,0
2016,Tajikistan,1
2020,Tajikistan,1
2022,Tajikistan,1
2010,Türkiye,0
2016,Türkiye,1
2020,Türkiye,1
2022,Türkiye,1
2010,Turkmenistan,0
2016,Turkmenistan,1
2020,Turkmenistan,1
2022,Turkmenistan,1
2010,Ukraine,1
2016,Ukraine,1
2020,Ukraine,1
2022,Ukraine,1
2010,North Macedonia,1
2016,North Macedonia,1
2020,North Macedonia,1
2022,North Macedonia,1
2010,Uzbekistan,0
2016,Uzbekistan,0
2020,Uzbekistan,1
2022,Uzbekistan,1
2022,Uzbekistan,1
