Year,GeoAreaName,Value
2022,Albania,1
2016,Austria,0
2020,Austria,0
2022,Austria,0
2020,Armenia,0
2022,Armenia,0
2020,Belgium,1
2022,Belgium,1
2016,Bosnia and Herzegovina,0
2020,Bosnia and Herzegovina,0
2022,Bosnia and Herzegovina,0
2020,Belarus,1
2022,Belarus,1
2020,Croatia,1
2022,Croatia,1
2016,Cyprus,1
2020,Cyprus,1
2022,Cyprus,1
2016,Czechia,1
2020,Czechia,0
2022,Czechia,0
2016,Denmark,1
2020,Denmark,1
2022,Denmark,1
2016,Estonia,1
2020,Estonia,1
2022,Estonia,1
2016,Finland,0
2020,Finland,1
2022,Finland,1
2016,France,0
2020,France,1
2020,Georgia,0
2022,Germany,1
2020,Greece,0
2016,Hungary,0
2020,Hungary,1
2022,Hungary,1
2020,Ireland,1
2020,Italy,0
2022,Italy,1
2020,Kazakhstan,0
2020,Kyrgyzstan,1
2020,Latvia,1
2020,Liechtenstein,1
2022,Liechtenstein,1
2016,Lithuania,0
2020,Lithuania,1
2022,Lithuania,1
2020,Luxembourg,0
2020,Malta,1
2022,Malta,1
2020,Republic of Moldova,1
2016,Montenegro,0
2020,Montenegro,0
2022,Montenegro,1
2016,Netherlands,1
2016,Norway,1
2020,Norway,1
2022,Norway,1
2016,Poland,0
2020,Poland,1
2022,Poland,1
2016,Portugal,0
2020,Portugal,1
2022,Portugal,1
2020,Romania,0
2022,Romania,0
2020,Serbia,0
2022,Serbia,0
2016,Slovakia,1
2020,Slovakia,0
2022,Slovakia,1
2016,Slovenia,0
2020,Slovenia,1
2022,Slovenia,1
2016,Spain,1
2020,Spain,1
2016,Sweden,1
2020,Sweden,1
2022,Sweden,1
2016,Switzerland,1
2020,Switzerland,1
2022,Switzerland,1
2020,Türkiye,1
2020,Ukraine,0
2022,Ukraine,0
2020,North Macedonia,0
2020,North Macedonia,0
