Year,GeoAreaName,Value
2016,Armenia,-2.02631
2017,Armenia,13.9703
2018,Armenia,4.80531
2019,Armenia,11.51091
2020,Armenia,-13.971
2021,Armenia,3.66536
1971,Belgium,4.91926
1972,Belgium,5.91935
1973,Belgium,8.14996
1974,Belgium,2.80443
1975,Belgium,0.85573
1976,Belgium,5.08408
1977,Belgium,2.63126
1978,Belgium,2.49633
1979,Belgium,5.13144
1980,Belgium,-0.8128
1981,Belgium,0.41794
1982,Belgium,2.43851
1983,Belgium,-0.1502
1984,Belgium,0.36902
1985,Belgium,2.70844
1986,Belgium,2.7189
1987,Belgium,1.73533
1988,Belgium,3.31803
1989,Belgium,3.30773
1990,Belgium,3.17453
1991,Belgium,3.0203
1992,Belgium,1.90816
1993,Belgium,-0.44834
1994,Belgium,2.39494
1995,Belgium,1.57605
1996,Belgium,1.96338
1997,Belgium,1.53308
1998,Belgium,3.13908
1999,Belgium,2.11263
2000,Belgium,2.81687
2001,Belgium,0.94325
2002,Belgium,0.6116
2003,Belgium,0.71785
2004,Belgium,1.06418
2005,Belgium,1.44428
2006,Belgium,1.77486
2007,Belgium,2.09228
2008,Belgium,1.37497
2009,Belgium,0.58452
2010,Belgium,3.00906
2011,Belgium,0.86543
2012,Belgium,1.46746
2013,Belgium,1.66925
2014,Belgium,0.55201
2015,Belgium,1.5851
2016,Belgium,1.57005
2017,Belgium,1.89223
2018,Belgium,1.94494
2019,Belgium,1.68817
2020,Belgium,-8.32109
2021,Belgium,5.54642
2001,Bosnia and Herzegovina,4.66434
2002,Bosnia and Herzegovina,5.47205
2003,Bosnia and Herzegovina,4.49713
2004,Bosnia and Herzegovina,3.28523
2005,Bosnia and Herzegovina,4.84107
2006,Bosnia and Herzegovina,3.70271
2007,Bosnia and Herzegovina,5.34485
2008,Bosnia and Herzegovina,5.05121
2009,Bosnia and Herzegovina,-4.271
1997,Albania,-17.9704
1998,Albania,-5.38134
1999,Albania,2.93409
2000,Albania,6.19822
2001,Albania,3.99111
2002,Albania,7.17256
2003,Albania,10.39298
2004,Albania,3.68703
2005,Albania,6.39377
2006,Albania,6.92426
2007,Albania,12.73648
1992,Hungary,1.77184
1993,Hungary,4.37662
1994,Hungary,0.45424
1995,Hungary,-7.33177
1996,Hungary,-2.44314
1997,Hungary,2.03366
1998,Hungary,4.8337
1999,Hungary,6.65397
2000,Hungary,3.10124
2001,Hungary,4.53795
2002,Hungary,7.88336
1996,Serbia,2.53215
1997,Serbia,4.06684
1998,Serbia,2.81984
1999,Serbia,-9.39464
2000,Serbia,5.06496
2001,Serbia,1.55857
2002,Serbia,9.18926
2003,Serbia,2.69437
2004,Serbia,12.69256
2005,Serbia,2.36313
2006,Serbia,10.53613
2008,Albania,10.12853
2009,Albania,0.71375
2010,Albania,1.67042
2011,Albania,1.77125
2012,Albania,0.12898
2013,Albania,1.83658
2014,Albania,2.81394
2015,Albania,1.18273
2016,Albania,2.12682
2017,Albania,2.44345
2018,Albania,3.21554
2007,Serbia,7.67989
2008,Serbia,4.49313
2009,Serbia,-3.34559
2010,Serbia,-0.61006
2011,Serbia,1.41171
2012,Serbia,-1.70116
2013,Serbia,-1.6888
2014,Serbia,-0.09887
2015,Serbia,-0.63651
2016,Serbia,1.89077
2017,Serbia,2.20886
2010,Bosnia and Herzegovina,0.09176
2011,Bosnia and Herzegovina,-0.15862
2012,Bosnia and Herzegovina,-0.65288
2013,Bosnia and Herzegovina,0.0509
2014,Bosnia and Herzegovina,1.92101
2015,Bosnia and Herzegovina,1.60808
2016,Bosnia and Herzegovina,2.20181
2017,Bosnia and Herzegovina,1.09859
2018,Bosnia and Herzegovina,1.96691
2019,Bosnia and Herzegovina,2.27595
1981,Bulgaria,4.52727
2003,Hungary,8.39018
2004,Hungary,2.01473
2005,Hungary,2.85335
2006,Hungary,1.53402
2007,Hungary,1.04167
2008,Hungary,-1.27671
2009,Hungary,-6.72263
2010,Hungary,-1.24158
2011,Hungary,0.85646
2012,Hungary,-2.23917
2013,Hungary,-0.14172
2018,Serbia,3.11466
2019,Serbia,3.66882
2020,Serbia,-1.8694
2021,Serbia,7.74801
1994,Slovakia,0.98973
1995,Slovakia,5.39508
1996,Slovakia,7.80288
1997,Slovakia,3.75104
1998,Slovakia,4.9601
1999,Slovakia,-0.65236
2000,Slovakia,2.52561
2019,Albania,2.22499
2020,Albania,-3.52953
2021,Albania,4.06901
1993,Azerbaijan,-25.3
1994,Azerbaijan,-26.8
1995,Azerbaijan,-2.6
1996,Azerbaijan,9.5
1997,Azerbaijan,11.9
1998,Azerbaijan,13.9
1999,Azerbaijan,12.2
2000,Azerbaijan,21.7467
1982,Bulgaria,5.27874
1983,Bulgaria,2.30775
1984,Bulgaria,5.15531
1985,Bulgaria,-0.10825
1986,Bulgaria,1.90389
1987,Bulgaria,5.7151
1988,Bulgaria,6.55994
1989,Bulgaria,-3.8165
1990,Bulgaria,5.69632
1991,Bulgaria,-25.04989
1992,Bulgaria,-2.4
2014,Hungary,2.41218
2015,Hungary,3.78591
2016,Hungary,4.71497
2017,Hungary,5.00728
2018,Hungary,5.10784
2019,Hungary,4.99697
2020,Hungary,-1.15635
2021,Hungary,4.89923
1991,Iceland,3.00777
1992,Iceland,-3.23601
1993,Iceland,-4.64022
2001,Azerbaijan,-3.12391
2002,Azerbaijan,12.4293
2003,Azerbaijan,5.77708
2004,Azerbaijan,10.65243
2005,Azerbaijan,21.19787
2006,Azerbaijan,36.37123
2007,Azerbaijan,18.08754
2008,Azerbaijan,6.58532
2009,Azerbaijan,6.38911
2010,Azerbaijan,-14.97175
2011,Azerbaijan,23.90537
1993,Bulgaria,-2.9
1994,Bulgaria,-4.4
1995,Bulgaria,18.57948
1996,Bulgaria,3.42249
1997,Bulgaria,-32.30506
1998,Bulgaria,-2.74984
1999,Bulgaria,7.09609
2000,Bulgaria,8.99853
2001,Bulgaria,7.66989
2002,Bulgaria,5.68429
2003,Bulgaria,6.52114
2012,Azerbaijan,2.2
1971,Austria,6.71818
1972,Austria,6.08016
1973,Austria,5.37183
1974,Austria,2.99211
1975,Austria,3.24728
1976,Austria,4.54441
1977,Austria,6.42988
1978,Austria,-1.70553
1979,Austria,4.74673
1980,Austria,2.51991
1994,Iceland,2.87392
1995,Iceland,2.1619
1996,Iceland,5.03112
1997,Iceland,6.28834
1998,Iceland,11.78169
1999,Iceland,7.27965
2000,Iceland,3.94889
2001,Iceland,-2.78931
2002,Iceland,-0.72479
2003,Iceland,5.93856
2004,Iceland,7.14868
2004,Bulgaria,9.45919
2005,Bulgaria,7.29318
2006,Bulgaria,8.50636
2007,Bulgaria,11.47641
2008,Bulgaria,3.48485
2009,Bulgaria,-4.26759
2010,Bulgaria,2.37838
2011,Bulgaria,1.99348
2012,Bulgaria,3.74794
2013,Bulgaria,-3.88102
2014,Bulgaria,1.39668
2005,Iceland,11.6643
2006,Iceland,3.84961
2007,Iceland,6.61762
2008,Iceland,-6.69593
2009,Iceland,-12.49893
2010,Iceland,-0.26176
2011,Iceland,2.14377
2012,Iceland,1.81968
2013,Iceland,1.06833
2014,Iceland,2.90545
2015,Iceland,4.48601
1981,Austria,1.27539
1982,Austria,1.9231
1983,Austria,5.43425
1984,Austria,-2.1276
1985,Austria,1.81088
1986,Austria,2.19296
1987,Austria,2.41781
1988,Austria,2.40789
1989,Austria,3.58816
1990,Austria,4.23484
1991,Austria,2.99499
2016,Iceland,6.73372
2017,Iceland,7.96519
2018,Iceland,4.81166
2019,Iceland,1.89249
2020,Iceland,-2.92134
2021,Iceland,7.74126
1971,Ireland,3.23768
1972,Ireland,5.14845
1973,Ireland,7.17833
1974,Ireland,1.64226
1975,Ireland,0.82428
1992,Austria,3.47929
1993,Austria,0.10592
1994,Austria,2.04302
1995,Austria,0.85243
1996,Austria,2.93894
1997,Austria,0.42008
1998,Austria,2.90528
1999,Austria,2.41754
2000,Austria,3.11643
2001,Austria,1.28093
2002,Austria,0.68197
1976,Ireland,2.83003
1977,Ireland,6.76955
1978,Ireland,9.11128
1979,Ireland,4.43391
1980,Ireland,0.42891
1981,Ireland,1.69869
1982,Ireland,-7.05779
1983,Ireland,0.85187
1984,Ireland,2.0095
1985,Ireland,4.59121
1986,Ireland,2.01272
2015,Bulgaria,2.8198
2016,Bulgaria,2.22243
2017,Bulgaria,2.5302
2018,Bulgaria,3.72097
2019,Bulgaria,5.9633
2020,Bulgaria,-0.56728
2021,Bulgaria,8.78066
1991,Belarus,-6.23756
1992,Belarus,-5.48106
1993,Belarus,-4.89722
1994,Belarus,-13.9836
2003,Austria,1.74285
2004,Austria,2.32089
2005,Austria,2.24842
2006,Austria,2.09239
2007,Austria,1.10372
2008,Austria,0.94632
2009,Austria,0.85065
2010,Austria,0.99439
2011,Austria,1.34508
2012,Austria,0.52192
2013,Austria,-0.07902
2014,Austria,0.30368
2015,Austria,0.48794
2016,Austria,1.54535
2017,Austria,1.95656
2018,Austria,1.10699
2019,Austria,0.54929
2020,Austria,-8.02594
2021,Austria,3.55443
1995,Armenia,9.65185
1996,Armenia,4.09165
1997,Armenia,8.01118
1987,Ireland,3.3247
1988,Ireland,4.48533
1989,Ireland,6.51855
1990,Ireland,1.41354
1991,Ireland,1.80488
1992,Ireland,2.88673
