Year,GeoAreaName,Education level,Sex,Type of skill,Value
2011,Croatia,PRIMAR,MALE,SKILL_READ,98.57218
2011,Croatia,PRIMAR,BOTHSEX,SKILL_READ,98.99943
2011,Croatia,PRIMAR,FEMALE,SKILL_READ,99.43163
2011,Croatia,PRIMAR,BOTHSEX,SKILL_MATH,60.42025
2012,Croatia,LOWSEC,FEMALE,SKILL_READ,90.55
2012,Croatia,LOWSEC,MALE,SKILL_MATH,71.18
2012,Croatia,LOWSEC,MALE,SKILL_READ,72.41
2012,Croatia,LOWSEC,BOTHSEX,SKILL_MATH,70.13055
2012,Croatia,LOWSEC,BOTHSEX,SKILL_READ,81.30265
2012,Croatia,LOWSEC,FEMALE,SKILL_MATH,69.03
2015,Croatia,LOWSEC,MALE,SKILL_MATH,70.00217
2015,Croatia,PRIMAR,MALE,SKILL_MATH,70.12963
2015,Croatia,LOWSEC,MALE,SKILL_READ,75.04488
2015,Croatia,PRIMAR,BOTHSEX,SKILL_MATH,67.45963
2015,Croatia,LOWSEC,FEMALE,SKILL_READ,84.85115
2015,Croatia,LOWSEC,FEMALE,SKILL_MATH,66.06913
2015,Croatia,LOWSEC,BOTHSEX,SKILL_READ,80.13412
2015,Croatia,PRIMAR,FEMALE,SKILL_MATH,64.66322
2015,Croatia,LOWSEC,BOTHSEX,SKILL_MATH,67.96101
2018,Croatia,LOWSEC,MALE,SKILL_READ,71.77993
2018,Croatia,LOWSEC,BOTHSEX,SKILL_MATH,68.83926
2018,Croatia,LOWSEC,BOTHSEX,SKILL_READ,78.42116
2015,Lithuania,PRIMAR,BOTHSEX,SKILL_MATH,80.65363
2015,Lithuania,LOWSEC,MALE,SKILL_MATH,73.3412
2015,Lithuania,LOWSEC,FEMALE,SKILL_MATH,75.87877
2015,Lithuania,PRIMAR,FEMALE,SKILL_MATH,81.89937
2015,Lithuania,LOWSEC,BOTHSEX,SKILL_READ,74.89369
2015,Lithuania,LOWSEC,FEMALE,SKILL_READ,82.19042
2015,Lithuania,PRIMAR,MALE,SKILL_MATH,79.40758
2018,Croatia,LOWSEC,FEMALE,SKILL_MATH,68.12548
2018,Croatia,LOWSEC,FEMALE,SKILL_READ,84.97514
2018,Croatia,LOWSEC,MALE,SKILL_MATH,69.56254
2019,Croatia,PRIMAR,FEMALE,SKILL_MATH,67.43319
2019,Croatia,PRIMAR,BOTHSEX,SKILL_MATH,70.00589
2019,Croatia,PRIMAR,MALE,SKILL_MATH,72.68054
2001,Cyprus,PRIMAR,BOTHSEX,SKILL_READ,86.75684
2016,Lithuania,PRIMAR,BOTHSEX,SKILL_READ,97.26508
2016,Lithuania,PRIMAR,FEMALE,SKILL_READ,97.94287
2016,Lithuania,PRIMAR,MALE,SKILL_READ,96.64123
2018,Lithuania,LOWSEC,FEMALE,SKILL_MATH,76.21067
2018,Lithuania,LOWSEC,MALE,SKILL_READ,68.24674
2018,Lithuania,LOWSEC,MALE,SKILL_MATH,72.59561
2018,Lithuania,LOWSEC,BOTHSEX,SKILL_MATH,74.36356
2001,Cyprus,PRIMAR,MALE,SKILL_READ,83.5945
2001,Cyprus,PRIMAR,FEMALE,SKILL_READ,90.12563
2003,Cyprus,PRIMAR,BOTHSEX,SKILL_MATH,67.61257
2003,Cyprus,PRIMAR,MALE,SKILL_MATH,69.08512
2003,Cyprus,PRIMAR,FEMALE,SKILL_MATH,66.08614
2012,Cyprus,LOWSEC,BOTHSEX,SKILL_READ,67.24018
2012,Cyprus,LOWSEC,BOTHSEX,SKILL_MATH,57.97041
2015,Cyprus,LOWSEC,BOTHSEX,SKILL_MATH,57.40545
2000,Albania,LOWSEC,MALE,SKILL_READ,19.4
2000,Albania,LOWSEC,BOTHSEX,SKILL_MATH,36.61129
2000,Albania,LOWSEC,BOTHSEX,SKILL_READ,29.7
2000,Albania,LOWSEC,MALE,SKILL_MATH,32.79
2000,Albania,LOWSEC,FEMALE,SKILL_READ,39.56
2000,Albania,LOWSEC,FEMALE,SKILL_MATH,40.27
2009,Albania,LOWSEC,FEMALE,SKILL_MATH,33.67
2015,Switzerland,LOWSEC,MALE,SKILL_READ,75.57881
2018,Switzerland,LOWSEC,MALE,SKILL_MATH,83.74712
2018,Switzerland,LOWSEC,FEMALE,SKILL_READ,81.55817
2018,Switzerland,LOWSEC,MALE,SKILL_READ,71.69719
2018,Switzerland,LOWSEC,FEMALE,SKILL_MATH,82.53235
2018,Switzerland,LOWSEC,BOTHSEX,SKILL_MATH,83.17198
2018,Switzerland,LOWSEC,BOTHSEX,SKILL_READ,76.36594
2018,Lithuania,LOWSEC,FEMALE,SKILL_READ,83.35755
2018,Lithuania,LOWSEC,BOTHSEX,SKILL_READ,75.6367
